"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2021-09-12T17:00:00Z","ARZ","18","9","1.67","31","45","39","4","TEN","29","8","1.2","34","35"
"2021-09-12T17:00:00Z","ATL","25","11","1.28","22","32","-33","7","PHI","33","17","1.27","37","32"
"2021-09-14T00:15:00Z","BLT","22","14","1.77","26","54","27","25","LV","26","9","1.27","30","53"
"2021-09-12T17:00:00Z","BUF","26","8","1.44","29","34","-62","-19","PIT","35","15","1.17","21","43"
"2021-09-12T17:00:00Z","CAR","31","14","1.64","22","50","1","3","NYJ","28","12","1.2","25","40"
"2021-09-13T00:20:00Z","CHI","24","13","1.32","21","33","-52","14","LA","32","19","1.27","25","32"
"2021-09-12T17:00:00Z","CIN","21","13","1.28","20","30","-11","-24","MIN","31","13","1.42","31","42"
"2021-09-12T20:25:00Z","CLV","18","16","1.21","28","39","15","54","KC","27","13","1.17","24","46"
"2021-09-10T00:20:00Z","DAL","24","15","1.25","35","29","-28","19","TB","32","12","0.82","19","37"
"2021-09-12T20:25:00Z","DEN","23","6","1.36","15","40","21","-7","NYG","28","15","1.19","17","59"
"2021-09-12T17:00:00Z","DET","24","15","1.35","29","52","-11","24","SF","34","13","1.36","20","40"
"2021-09-12T20:25:00Z","GB","23","10","1.4","17","35","-18","-16","NO","30","15","0.95","21","33"
"2021-09-12T17:00:00Z","HST","27","12","1.29","19","32","24","-5","JAX","28","10","1.47","32","38"
"2021-09-12T17:00:00Z","IND","24","10","1.53","30","53","38","16","SEA","25","17","2.05","32","44"
"2021-09-12T17:00:00Z","JAX","25","14","1.06","7","71","21","43","HST","27","15","2.64","35","31"
"2021-09-12T20:25:00Z","KC","22","7","1.59","16","19","-33","10","CLV","29","17","1.32","28","46"
"2021-09-13T00:20:00Z","LA","23","11","1.45","37","41","-31","32","CHI","31","14","1.26","16","50"
"2021-09-12T17:00:00Z","LAC","20","8","1.3","23","35","3","16","WAS","27","17","1.43","19","26"
"2021-09-14T00:15:00Z","LV","24","7","1.3","25","28","-28","-20","BLT","30","11","1.3","20","35"
"2021-09-12T20:25:00Z","MIA","30","13","1.23","32","38","-17","5","NE","29","12","0.43","28","43"
"2021-09-12T17:00:00Z","MIN","22","15","1.62","38","37","2","54","CIN","29","8","1.96","27","37"
"2021-09-12T20:25:00Z","NE","22","21","1.53","32","47","26","53","MIA","29","15","1.42","17","59"
"2021-09-12T20:25:00Z","NO","22","12","1.57","29","69","-13","43","GB","29","17","1.39","24","54"
"2021-09-12T20:25:00Z","NYG","33","13","1.53","18","61","-29","-41","DEN","33","18","1.46","20","45"
"2021-09-12T17:00:00Z","NYJ","25","12","1.4","16","50","-11","36","CAR","30","15","0.83","18","39"
"2021-09-12T17:00:00Z","PHI","24","19","1.52","17","47","5","60","ATL","28","10","1.16","24","46"
"2021-09-12T17:00:00Z","PIT","22","7","1.32","32","34","-6","16","BUF","28","10","1.3","28","43"
"2021-09-12T17:00:00Z","SEA","24","11","1.31","22","36","-1","3","IND","35","18","1.21","21","43"
"2021-09-12T17:00:00Z","SF","24","12","1.54","25","36","2","69","DET","28","14","1.69","32","56"
"2021-09-10T00:20:00Z","TB","20","9","1.17","22","59","13","39","DAL","30","10","2.64","25","48"
"2021-09-12T17:00:00Z","TEN","23","10","1.15","30","47","-38","38","ARZ","34","18","2","22","27"
"2021-09-12T17:00:00Z","WAS","22","17","1.27","30","43","7","29","LAC","30","9","2.36","23","48"
