CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Russell Wilson (20380150),Russell Wilson,20380150,CPT,16500,SEA@WAS 11/29/2021 09:45PM ET,SEA,16.97
,,,,,,,WR,Terry McLaurin (20380151),Terry McLaurin,20380151,CPT,15900,SEA@WAS 11/29/2021 09:45PM ET,WAS,17.07
,,,,,,,WR,Tyler Lockett (20380152),Tyler Lockett,20380152,CPT,15300,SEA@WAS 11/29/2021 09:45PM ET,SEA,14.87
,,,,,,,QB,Taylor Heinicke (20380153),Taylor Heinicke,20380153,CPT,14700,SEA@WAS 11/29/2021 09:45PM ET,WAS,18.3
,,,,,,,WR,DK Metcalf (20380154),DK Metcalf,20380154,CPT,13200,SEA@WAS 11/29/2021 09:45PM ET,SEA,16.07
,,,,,,,RB,Antonio Gibson (20380155),Antonio Gibson,20380155,CPT,12900,SEA@WAS 11/29/2021 09:45PM ET,WAS,12.79
,,,,,,,QB,Russell Wilson (20380206),Russell Wilson,20380206,FLEX,11000,SEA@WAS 11/29/2021 09:45PM ET,SEA,16.97
,,,,,,,RB,J.D. McKissic (20380156),J.D. McKissic,20380156,CPT,10800,SEA@WAS 11/29/2021 09:45PM ET,WAS,10.53
,,,,,,,WR,Terry McLaurin (20380207),Terry McLaurin,20380207,FLEX,10600,SEA@WAS 11/29/2021 09:45PM ET,WAS,17.07
,,,,,,,WR,Tyler Lockett (20380208),Tyler Lockett,20380208,FLEX,10200,SEA@WAS 11/29/2021 09:45PM ET,SEA,14.87
,,,,,,,RB,Alex Collins (20380157),Alex Collins,20380157,CPT,9900,SEA@WAS 11/29/2021 09:45PM ET,SEA,7.49
,,,,,,,QB,Taylor Heinicke (20380209),Taylor Heinicke,20380209,FLEX,9800,SEA@WAS 11/29/2021 09:45PM ET,WAS,18.3
,,,,,,,TE,Gerald Everett (20380158),Gerald Everett,20380158,CPT,9300,SEA@WAS 11/29/2021 09:45PM ET,SEA,6.9
,,,,,,,QB,Geno Smith (20380159),Geno Smith,20380159,CPT,9000,SEA@WAS 11/29/2021 09:45PM ET,SEA,14.07
,,,,,,,QB,Kyle Allen (20380160),Kyle Allen,20380160,CPT,9000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,QB,Kyle Shurmur (20380161),Kyle Shurmur,20380161,CPT,9000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,QB,Ryan Fitzpatrick (20380162),Ryan Fitzpatrick,20380162,CPT,9000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0.72
,,,,,,,QB,Jacob Eason (20380163),Jacob Eason,20380163,CPT,9000,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,DK Metcalf (20380210),DK Metcalf,20380210,FLEX,8800,SEA@WAS 11/29/2021 09:45PM ET,SEA,16.07
,,,,,,,RB,Antonio Gibson (20380211),Antonio Gibson,20380211,FLEX,8600,SEA@WAS 11/29/2021 09:45PM ET,WAS,12.79
,,,,,,,WR,DeAndre Carter (20380164),DeAndre Carter,20380164,CPT,8400,SEA@WAS 11/29/2021 09:45PM ET,WAS,6.4
,,,,,,,RB,DeeJay Dallas (20380165),DeeJay Dallas,20380165,CPT,7800,SEA@WAS 11/29/2021 09:45PM ET,SEA,2.82
,,,,,,,WR,Curtis Samuel (20380166),Curtis Samuel,20380166,CPT,7500,SEA@WAS 11/29/2021 09:45PM ET,WAS,3.35
,,,,,,,RB,J.D. McKissic (20380212),J.D. McKissic,20380212,FLEX,7200,SEA@WAS 11/29/2021 09:45PM ET,WAS,10.53
,,,,,,,TE,Logan Thomas (20380167),Logan Thomas,20380167,CPT,7200,SEA@WAS 11/29/2021 09:45PM ET,WAS,8.68
,,,,,,,DST,Seahawks  (20380168),Seahawks ,20380168,CPT,6900,SEA@WAS 11/29/2021 09:45PM ET,SEA,4.9
,,,,,,,RB,Alex Collins (20380213),Alex Collins,20380213,FLEX,6600,SEA@WAS 11/29/2021 09:45PM ET,SEA,7.49
,,,,,,,DST,WAS Football Team  (20380169),WAS Football Team ,20380169,CPT,6600,SEA@WAS 11/29/2021 09:45PM ET,WAS,4.5
,,,,,,,K,Joey Slye (20380170),Joey Slye,20380170,CPT,6300,SEA@WAS 11/29/2021 09:45PM ET,WAS,9
,,,,,,,TE,Gerald Everett (20380214),Gerald Everett,20380214,FLEX,6200,SEA@WAS 11/29/2021 09:45PM ET,SEA,6.9
,,,,,,,QB,Geno Smith (20380219),Geno Smith,20380219,FLEX,6000,SEA@WAS 11/29/2021 09:45PM ET,SEA,14.07
,,,,,,,QB,Kyle Allen (20380215),Kyle Allen,20380215,FLEX,6000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,QB,Kyle Shurmur (20380217),Kyle Shurmur,20380217,FLEX,6000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,QB,Ryan Fitzpatrick (20380218),Ryan Fitzpatrick,20380218,FLEX,6000,SEA@WAS 11/29/2021 09:45PM ET,WAS,0.72
,,,,,,,QB,Jacob Eason (20380216),Jacob Eason,20380216,FLEX,6000,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,K,Jason Myers (20380171),Jason Myers,20380171,CPT,6000,SEA@WAS 11/29/2021 09:45PM ET,SEA,5.6
,,,,,,,WR,Cam Sims (20380172),Cam Sims,20380172,CPT,5700,SEA@WAS 11/29/2021 09:45PM ET,WAS,3.11
,,,,,,,WR,DeAndre Carter (20380220),DeAndre Carter,20380220,FLEX,5600,SEA@WAS 11/29/2021 09:45PM ET,WAS,6.4
,,,,,,,TE,John Bates (20380173),John Bates,20380173,CPT,5400,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.39
