QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,WR,Cooper Kupp (20285883),Cooper Kupp,20285883,WR/FLEX,9600,LAR@GB 11/28/2021 04:25PM ET,LAR,27.66
,,,,,,,,,,RB,Jonathan Taylor (20285637),Jonathan Taylor,20285637,RB/FLEX,9100,TB@IND 11/28/2021 01:00PM ET,IND,26.04
,,,,,,,,,,RB,Christian McCaffrey (20285639),Christian McCaffrey,20285639,RB/FLEX,9000,CAR@MIA 11/28/2021 01:00PM ET,CAR,20.67
,,,,,,,,,,WR,Davante Adams (20285885),Davante Adams,20285885,WR/FLEX,8600,LAR@GB 11/28/2021 04:25PM ET,GB,21.19
,,,,,,,,,,RB,Austin Ekeler (20285641),Austin Ekeler,20285641,RB/FLEX,8400,LAC@DEN 11/28/2021 04:05PM ET,LAC,22.48
,,,,,,,,,,WR,Justin Jefferson (20285887),Justin Jefferson,20285887,WR/FLEX,8300,MIN@SF 11/28/2021 04:25PM ET,MIN,20.58
,,,,,,,,,,RB,Najee Harris (20285643),Najee Harris,20285643,RB/FLEX,8200,PIT@CIN 11/28/2021 01:00PM ET,PIT,20.22
,,,,,,,,,,RB,Dalvin Cook (20285645),Dalvin Cook,20285645,RB/FLEX,8100,MIN@SF 11/28/2021 04:25PM ET,MIN,17.78
,,,,,,,,,,WR,Deebo Samuel (20285889),Deebo Samuel,20285889,WR/FLEX,7900,MIN@SF 11/28/2021 04:25PM ET,SF,22.61
,,,,,,,,,,QB,Tom Brady (20285569),Tom Brady,20285569,QB,7600,TB@IND 11/28/2021 01:00PM ET,TB,25.92
,,,,,,,,,,RB,Joe Mixon (20285647),Joe Mixon,20285647,RB/FLEX,7500,PIT@CIN 11/28/2021 01:00PM ET,CIN,18.93
,,,,,,,,,,WR,Keenan Allen (20285891),Keenan Allen,20285891,WR/FLEX,7400,LAC@DEN 11/28/2021 04:05PM ET,LAC,17.9
,,,,,,,,,,QB,Jalen Hurts (20285570),Jalen Hurts,20285570,QB,7300,PHI@NYG 11/28/2021 01:00PM ET,PHI,23.64
,,,,,,,,,,WR,Ja'Marr Chase (20285893),Ja'Marr Chase,20285893,WR/FLEX,7300,PIT@CIN 11/28/2021 01:00PM ET,CIN,19.12
,,,,,,,,,,WR,Mike Evans (20285895),Mike Evans,20285895,WR/FLEX,7200,TB@IND 11/28/2021 01:00PM ET,TB,18.19
,,,,,,,,,,WR,A.J. Brown (20285897),A.J. Brown,20285897,WR/FLEX,7100,TEN@NE 11/28/2021 01:00PM ET,TEN,13.25
,,,,,,,,,,QB,Matthew Stafford (20285571),Matthew Stafford,20285571,QB,7100,LAR@GB 11/28/2021 04:25PM ET,LAR,22.94
,,,,,,,,,,WR,Chris Godwin (20285899),Chris Godwin,20285899,WR/FLEX,7000,TB@IND 11/28/2021 01:00PM ET,TB,18.61
,,,,,,,,,,RB,Derrick Henry (20285649),Derrick Henry,20285649,RB/FLEX,7000,TEN@NE 11/28/2021 01:00PM ET,TEN,26.04
,,,,,,,,,,QB,Aaron Rodgers (20285572),Aaron Rodgers,20285572,QB,6900,LAR@GB 11/28/2021 04:25PM ET,GB,20.90
,,,,,,,,,,RB,Leonard Fournette (20285651),Leonard Fournette,20285651,RB/FLEX,6800,TB@IND 11/28/2021 01:00PM ET,TB,15.24
,,,,,,,,,,WR,Adam Thielen (20285901),Adam Thielen,20285901,WR/FLEX,6700,MIN@SF 11/28/2021 04:25PM ET,MIN,17.16
,,,,,,,,,,WR,Diontae Johnson (20285903),Diontae Johnson,20285903,WR/FLEX,6600,PIT@CIN 11/28/2021 01:00PM ET,PIT,18.11
,,,,,,,,,,QB,Justin Herbert (20285573),Justin Herbert,20285573,QB,6600,LAC@DEN 11/28/2021 04:05PM ET,LAC,24.98
,,,,,,,,,,RB,Cordarrelle Patterson (20285653),Cordarrelle Patterson,20285653,RB/FLEX,6500,ATL@JAX 11/28/2021 01:00PM ET,ATL,17.96
,,,,,,,,,,WR,DeVonta Smith (20285905),DeVonta Smith,20285905,WR/FLEX,6400,PHI@NYG 11/28/2021 01:00PM ET,PHI,13.04
,,,,,,,,,,TE,George Kittle (20286277),George Kittle,20286277,TE/FLEX,6400,MIN@SF 11/28/2021 04:25PM ET,SF,13.73
,,,,,,,,,,RB,Saquon Barkley (20285655),Saquon Barkley,20285655,RB/FLEX,6300,PHI@NYG 11/28/2021 01:00PM ET,NYG,12.68
,,,,,,,,,,QB,Kirk Cousins (20285574),Kirk Cousins,20285574,QB,6300,MIN@SF 11/28/2021 04:25PM ET,MIN,21.69
,,,,,,,,,,WR,DJ Moore (20285907),DJ Moore,20285907,WR/FLEX,6200,CAR@MIA 11/28/2021 01:00PM ET,CAR,15.42
,,,,,,,,,,QB,Joe Burrow (20285575),Joe Burrow,20285575,QB,6200,PIT@CIN 11/28/2021 01:00PM ET,CIN,19.13
,,,,,,,,,,RB,James Robinson (20285657),James Robinson,20285657,RB/FLEX,6200,ATL@JAX 11/28/2021 01:00PM ET,JAX,15.86
,,,,,,,,,,QB,Ryan Tannehill (20285576),Ryan Tannehill,20285576,QB,6100,TEN@NE 11/28/2021 01:00PM ET,TEN,18.13
,,,,,,,,,,RB,Damien Harris (20285659),Damien Harris,20285659,RB/FLEX,6100,TEN@NE 11/28/2021 01:00PM ET,NE,12.85
,,,,,,,,,,TE,Kyle Pitts (20286279),Kyle Pitts,20286279,TE/FLEX,6100,ATL@JAX 11/28/2021 01:00PM ET,ATL,11.85
,,,,,,,,,,WR,Chase Claypool (20285909),Chase Claypool,20285909,WR/FLEX,6000,PIT@CIN 11/28/2021 01:00PM ET,PIT,12.6
,,,,,,,,,,RB,Aaron Jones (20285661),Aaron Jones,20285661,RB/FLEX,6000,LAR@GB 11/28/2021 04:25PM ET,GB,16.49
,,,,,,,,,,WR,Jaylen Waddle (20285911),Jaylen Waddle,20285911,WR/FLEX,5900,CAR@MIA 11/28/2021 01:00PM ET,MIA,13.96
,,,,,,,,,,RB,AJ Dillon (20285663),AJ Dillon,20285663,RB/FLEX,5900,LAR@GB 11/28/2021 04:25PM ET,GB,10.04
,,,,,,,,,,WR,Brandin Cooks (20285913),Brandin Cooks,20285913,WR/FLEX,5800,NYJ@HOU 11/28/2021 01:00PM ET,HOU,14.34
,,,,,,,,,,QB,Carson Wentz (20285577),Carson Wentz,20285577,QB,5800,TB@IND 11/28/2021 01:00PM ET,IND,17.29
