"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Justin Jefferson","WR","MIN","DET","8500","21.4%","21.0%","20.7%","9400","17.3%"
"Ja'Marr Chase","WR","CIN","@CLE","8400","0.9%","2.0%","2.7%","9300","1.1%"
"Amon-Ra St. Brown","WR","DET","@MIN","8300","5.3%","6.0%","6.4%","8800","7.2%"
"Saquon Barkley","RB","PHI","@NYG","8200","5.4%","6.8%","7.8%","9000","8.7%"
"Kyren Williams","RB","LA","LV","8100","24.0%","21.7%","20.2%","8600","31.0%"
"A.J. Brown","WR","PHI","@NYG","8000","1.6%","2.6%","3.2%","8900","1.8%"
"Stefon Diggs","WR","HOU","@GB","7700","2.1%","3.8%","4.9%","8600","1.8%"
"Jayden Daniels","QB","WAS","CAR","7600","25.3%","22.4%","20.5%","9100","20.9%"
"Jordan Mason","RB","SF","KC","7600","0.8%","1.2%","1.5%","8800","0.8%"
"Josh Allen","QB","BUF","TEN","7500","0.6%","1.1%","1.5%","9200","1.4%"
"Malik Nabers","WR","NYG","PHI","7500","19.1%","18.5%","18.1%","8300","14.5%"
"Jalen Hurts","QB","PHI","@NYG","7300","2.2%","3.2%","3.8%","8500","5.7%"
"Kenneth Walker III","RB","SEA","@ATL","7300","23.1%","21.1%","19.8%","7500","28.6%"
"Tyreek Hill","WR","MIA","@IND","7300","0.3%","0.4%","0.5%","7900","0.6%"
"Joe Mixon","RB","HOU","@GB","7200","9.5%","10.4%","11.0%","8400","6.1%"
"Jayden Reed","WR","GB","HOU","7200","3.3%","4.3%","5.0%","7600","11.2%"
"C.J. Stroud","QB","HOU","@GB","7100","0.3%","0.4%","0.5%","8400","0.9%"
"Bijan Robinson","RB","ATL","SEA","7100","21.2%","19.6%","18.5%","8200","14.9%"
"Davante Adams","WR","NYJ","@PIT","7100","0.0%","0.0%","0.0%","6900","3.4%"
"Patrick Mahomes","QB","KC","@SF","7000","0.5%","0.6%","0.8%","8000","3.0%"
"James Cook","RB","BUF","TEN","7000","4.2%","5.6%","6.5%","7900","6.2%"
"Deebo Samuel Sr.","WR","SF","KC","7000","2.7%","4.0%","4.8%","8200","2.4%"
"Jordan Love","QB","GB","HOU","6900","1.4%","2.1%","2.6%","8700","2.1%"
"Jahmyr Gibbs","RB","DET","@MIN","6900","1.8%","3.5%","4.6%","7800","3.1%"
"Drake London","WR","ATL","SEA","6900","36.4%","31.1%","27.6%","7500","31.3%"
"DeVonta Smith","WR","PHI","@NYG","6900","0.4%","1.2%","1.7%","7700","0.7%"
"Joe Burrow","QB","CIN","@CLE","6800","0.5%","1.2%","1.7%","8200","1.6%"
"Terry McLaurin","WR","WAS","CAR","6800","9.0%","9.7%","10.2%","7200","17.6%"
"DK Metcalf","WR","SEA","@ATL","6800","7.8%","7.4%","7.2%","8100","4.8%"
"De'Von Achane","RB","MIA","@IND","6700","0.8%","2.3%","3.2%","6900","9.0%"
"David Montgomery","RB","DET","@MIN","6600","0.3%","0.5%","0.6%","8100","0.5%"
"Isaac Guerendo","RB","SF","KC","6600","0.0%","0.0%","0.0%","6000","0.0%"
"Diontae Johnson","WR","CAR","@WAS","6600","13.6%","13.4%","13.3%","7100","15.2%"
"Jared Goff","QB","DET","@MIN","6500","0.3%","0.5%","0.6%","7800","1.5%"
"Chuba Hubbard","RB","CAR","@WAS","6500","38.5%","33.0%","29.4%","7400","28.9%"
"Aaron Jones","RB","MIN","DET","6500","23.4%","21.1%","19.5%","7200","23.4%"
"Tank Dell","WR","HOU","@GB","6500","7.9%","7.9%","7.9%","7000","13.1%"
"Brock Purdy","QB","SF","KC","6400","3.6%","4.1%","4.4%","7700","8.0%"
"Brian Robinson Jr.","RB","WAS","CAR","6400","11.3%","11.5%","11.7%","8000","4.7%"
"Josh Jacobs","RB","GB","HOU","6400","10.3%","11.0%","11.4%","7300","12.5%"
"Tee Higgins","WR","CIN","@CLE","6400","10.8%","10.9%","11.0%","7800","2.3%"
"Xavier Worthy","WR","KC","@SF","6400","0.3%","0.4%","0.5%","7300","0.5%"
"Kirk Cousins","QB","ATL","SEA","6300","10.9%","9.9%","9.3%","7200","9.4%"
"Tony Pollard","RB","TEN","@BUF","6300","30.4%","26.9%","24.6%","7100","22.9%"
"Travis Kelce","TE","KC","@SF","6300","10.1%","10.3%","10.4%","7100","15.6%"
"Brandon Aiyuk","WR","SF","KC","6300","11.0%","10.1%","9.5%","6800","13.8%"
"Sam Darnold","QB","MIN","DET","6200","14.0%","13.7%","13.6%","7500","14.5%"
"Tyrone Tracy Jr.","RB","NYG","PHI","6200","0.3%","0.4%","0.5%","6200","1.2%"
"Devin Singletary","RB","NYG","PHI","6200","0.3%","0.4%","0.5%","6200","0.5%"
"Michael Pittman Jr.","WR","IND","MIA","6200","0.3%","0.4%","0.5%","6700","0.5%"
"Raheem Mostert","RB","MIA","@IND","6100","0.3%","0.4%","0.5%","6300","0.5%"
"Wan'Dale Robinson","WR","NYG","PHI","6100","0.3%","0.5%","0.7%","6600","0.7%"
"Anthony Richardson","QB","IND","MIA","6000","4.5%","5.0%","5.4%","7400","6.4%"
"Kareem Hunt","RB","KC","@SF","6000","4.2%","6.4%","7.9%","7700","1.5%"
