"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Breece Hall","NYJ","@TEN","RB","7400","22.4","4.8","37.1","45.0","35785520","10.5","37.5"
"Cooper Kupp","LA","@ARI","WR","7600","22.4","4.4","28.6","36.8","35785808","9.1","38.7"
"Deebo Samuel Sr.","SF","@MIN","WR","6800","20.7","4.3","24.9","29.5","35785820","7.4","37.4"
"Jordan Mason","SF","@MIN","RB","5200","17.0","3.7","43.0","59.0","35785586","6.2","32.0"
"Jayden Daniels","WAS","NYG","QB","6200","21.6","2.5","14.5","16.8","35785441","11.0","33.4"
"Rashee Rice","KC","CIN","WR","6700","18.5","2.3","20.2","22.6","35785822","6.8","34.1"
"Kyren Williams","LA","@ARI","RB","6800","18.7","2.2","25.2","29.3","35785528","7.7","33.0"
"Patrick Mahomes","KC","CIN","QB","7000","23.4","1.8","15.0","17.0","35785434","13.0","34.5"
"Garrett Wilson","NYJ","@TEN","WR","7100","18.8","1.8","12.1","10.4","35785814","7.0","33.6"
"Chargers ","LAC","@CAR","DST","3400","9.6","1.8","9.4","8.2","35786561","3.1","17.2"
"Chris Godwin","TB","@DET","WR","6000","16.5","1.6","18.9","22.0","35785836","5.7","30.9"
"Amon-Ra St. Brown","DET","TB","WR","8100","20.5","1.5","17.5","16.1","35785804","7.7","36.4"
"Daniel Jones","NYG","@WAS","QB","5300","17.9","1.4","5.0","5.0","35785453","9.0","28.3"
"Jaguars ","JAX","CLE","DST","3100","8.5","1.4","11.2","11.0","35786565","2.2","16.2"
"Seahawks ","SEA","@NE","DST","3000","8.4","1.4","8.5","10.6","35786568","2.3","15.9"
"Justin Jefferson","MIN","SF","WR","8300","20.7","1.3","7.8","5.0","35785802","7.6","36.5"
"Steelers ","PIT","@DEN","DST","3500","9.2","1.3","4.9","3.8","35786560","2.8","17.0"
"Broncos ","DEN","PIT","DST","2800","7.7","1.2","8.2","8.2","35786571","1.8","14.9"
"Commanders ","WAS","NYG","DST","3000","8.2","1.2","7.2","8.8","35786567","2.0","15.7"
"Jahmyr Gibbs","DET","TB","RB","6600","17.1","1.0","15.2","16.1","35785532","6.5","31.2"
"Zach Charbonnet","SEA","@NE","RB","5800","15.5","1.0","12.0","15.0","35785554","6.3","27.7"
"Giants ","NYG","@WAS","DST","2700","7.3","1.0","5.2","5.0","35786573","1.2","14.8"
"James Conner","ARI","LA","RB","6400","16.5","0.8","10.1","8.9","35785536","6.3","30.1"
"Sam Darnold","MIN","SF","QB","5200","17.0","0.8","3.0","2.7","35785454","8.4","26.6"
"Ravens ","BAL","LV","DST","3700","9.2","0.8","3.5","1.8","35786558","2.9","16.8"
"Kyler Murray","ARI","LA","QB","6600","21.1","0.7","9.5","9.8","35785437","11.2","32.5"
"Baker Mayfield","TB","@DET","QB","5900","19.0","0.7","7.7","8.2","35785444","9.6","29.3"
"Lions ","DET","TB","DST","2900","7.4","0.7","4.4","3.7","35786569","1.2","15.1"
"Packers ","GB","IND","DST","2600","6.9","0.7","4.2","4.5","35786574","1.0","14.1"
"Patriots ","NE","SEA","DST","2800","7.2","0.7","5.0","5.0","35786570","1.3","14.5"
"J.K. Dobbins","LAC","@CAR","RB","5400","14.3","0.6","15.5","14.6","35785572","5.5","26.3"
"Rhamondre Stevenson","NE","SEA","RB","6200","15.8","0.6","13.4","14.0","35785542","6.6","27.9"
"Colts ","IND","@GB","DST","3300","8.2","0.6","8.5","10.0","35786563","2.1","15.6"
"Justin Fields","PIT","@DEN","QB","5400","17.2","0.5","6.8","7.2","35785450","8.5","27.3"
"Alvin Kamara","NO","@DAL","RB","7000","17.3","0.4","9.5","8.3","35785524","7.4","30.4"
"Cardinals ","ARI","LA","DST","2300","6.0","0.4","7.0","9.5","35786581","0.2","13.1"
"Chiefs ","KC","CIN","DST","3200","7.8","0.4","2.0","1.3","35786564","1.6","15.3"
"Rachaad White","TB","@DET","RB","6300","15.8","0.3","8.5","7.0","35785540","6.3","28.6"
"Jerome Ford","CLE","@JAX","RB","5900","14.8","0.2","10.1","9.6","35785550","6.1","27.1"
"Brandon Aiyuk","SF","@MIN","WR","6500","16.1","0.2","6.4","4.0","35785826","4.7","31.0"
"Andrei Iosivas","CIN","@KC","WR","3800","10.6","0.1","19.1","23.9","35785932","2.8","21.7"
