"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Christian McCaffrey","SF","RB","25.9","23.2","19.4","22.0","24.5","43.5","39.9"
"Alvin Kamara","NO","RB","23.7","20.8","17.0","19.7","22.5","39.8","36.1"
"Josh Allen","BUF","QB","22.9","22.6","21.8","21.8","21.8","34.7","34.6"
"Jalen Hurts","PHI","QB","22.7","22.4","21.8","21.8","21.8","35.4","35.2"
"Lamar Jackson","BAL","QB","22.2","22.0","21.2","21.2","21.2","34.7","34.5"
"Jayden Daniels","WAS","QB","20.8","20.5","19.8","19.8","19.8","32.4","32.1"
"Brock Purdy","SF","QB","20.7","20.5","19.6","19.6","19.6","31.6","31.4"
"Joe Mixon","HOU","RB","20.9","19.3","16.6","18.1","19.5","35.5","33.6"
"De'Von Achane","MIA","RB","19.6","17.1","14.1","16.5","18.9","34.7","31.4"
"Joe Burrow","CIN","QB","20.1","19.9","18.8","18.8","18.8","30.7","30.6"
"Bo Nix","DEN","QB","19.5","19.3","18.8","18.8","18.8","30.2","30.0"
"Breece Hall","NYJ","RB","19.6","17.4","14.7","16.7","18.8","34.4","31.6"
"Kyren Williams","LA","RB","19.8","18.5","16.1","17.3","18.5","34.2","32.6"
"Saquon Barkley","PHI","RB","20.0","18.8","16.4","17.4","18.5","35.0","33.6"
"Bijan Robinson","ATL","RB","19.1","16.8","14.0","16.2","18.4","33.5","30.4"
"Patrick Mahomes","KC","QB","19.2","19.0","18.3","18.3","18.3","29.2","29.1"
"Chase Brown","CIN","RB","19.0","16.8","14.1","16.1","18.2","32.7","30.0"
"Justin Herbert","LAC","QB","19.1","18.9","18.2","18.2","18.2","29.3","29.2"
"Ja'Marr Chase","CIN","WR","18.9","15.6","11.5","14.7","17.9","34.1","29.4"
"Jahmyr Gibbs","DET","RB","18.5","16.9","14.7","16.2","17.7","34.9","32.7"
"Justin Jefferson","MIN","WR","18.5","15.5","11.4","14.4","17.5","33.3","28.7"
"Amon-Ra St. Brown","DET","WR","18.2","15.0","11.2","14.3","17.4","33.1","28.5"
"C.J. Stroud","HOU","QB","18.4","18.1","17.4","17.4","17.4","28.4","28.3"
"Jameis Winston","CLE","QB","18.3","18.1","17.3","17.3","17.3","28.7","28.5"
"Russell Wilson","PIT","QB","18.2","17.9","17.3","17.3","17.3","28.6","28.4"
"Geno Smith","SEA","QB","18.0","17.7","16.9","16.9","16.9","27.9","27.8"
"Puka Nacua","LA","WR","17.6","14.6","10.7","13.7","16.7","32.6","28.2"
"Jared Goff","DET","QB","17.4","17.3","16.6","16.6","16.6","27.1","27.1"
"Nico Collins","HOU","WR","17.5","14.6","10.9","13.7","16.6","31.9","27.6"
"Tua Tagovailoa","MIA","QB","17.5","17.3","16.6","16.6","16.6","26.8","26.7"
"Deebo Samuel","SF","WR","17.2","14.7","11.6","14.1","16.5","33.4","29.6"
"Aaron Rodgers","NYJ","QB","17.1","17.0","16.4","16.4","16.4","26.9","26.7"
"Sam Darnold","MIN","QB","17.1","16.8","16.3","16.3","16.3","26.4","26.3"
"Drake Maye","NE","QB","17.0","16.8","16.3","16.3","16.3","26.4","26.2"
"A.J. Brown","PHI","WR","17.2","14.4","10.7","13.5","16.3","31.6","27.4"
"Kenneth Walker III","SEA","RB","16.8","14.8","12.4","14.3","16.2","29.8","27.2"
"Davante Adams","NYJ","WR","16.8","13.8","10.1","13.1","16.1","30.5","26.1"
"Jordan Love","GB","QB","16.9","16.7","16.0","16.0","16.0","26.4","26.3"
"Tyreek Hill","MIA","WR","16.8","14.2","10.9","13.5","16.0","31.6","27.7"
