"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","@SEA","20.3","30.4","219.8","1.39","0.63","5.4","31.4","0.28",,"0.0",
"James Conner","RB","ARI","@SEA",,"0.0",,,,"16.6","75.9","0.63","3.0","21.6","0.11"
"Emari Demercado","RB","ARI","@SEA",,"0.0",,,,"2.2","10.3","0.07","1.2","8.8","0.04"
"Trey Benson","RB","ARI","@SEA",,"0.0",,,,"5.3","24.2","0.16","0.6","4.5","0.02"
"Marvin Harrison Jr.","WR","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","3.8","54.5","0.39"
"Greg Dortch","WR","ARI","@SEA",,"0.0",,,,"0.1","0.8","0.01","1.5","15.8","0.10"
"Zach Pascal","WR","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","0.0","0.5","0.00"
"Michael Wilson","WR","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","2.7","34.2","0.22"
"Zay Jones","WR","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","0.6","7.7","0.05"
"Tip Reiman","TE","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Elijah Higgins","TE","ARI","@SEA",,"0.0",,,,"0.0","0.0","0.00","1.3","13.0","0.11"
"Trey McBride","TE","ARI","@SEA",,"0.0",,,,"0.1","0.5","0.01","5.5","58.0","0.34"
"Bryce Young","QB","CAR","KC","18.9","30.8","188.3","0.95","0.82","2.7","15.4","0.08",,"0.0",
"Jonathon Brooks","RB","CAR","KC",,"0.0",,,,"5.4","21.7","0.10","1.4","9.4","0.04"
"Chuba Hubbard","RB","CAR","KC",,"0.0",,,,"15.8","63.2","0.38","3.1","20.0","0.07"
"Raheem Blackshear","RB","CAR","KC",,"0.0",,,,"0.2","0.9","0.01","0.2","1.6","0.01"
"Xavier Legette","WR","CAR","KC",,"0.0",,,,"0.7","3.3","0.02","3.4","38.8","0.21"
"Adam Thielen","WR","CAR","KC",,"0.0",,,,"0.0","0.0","0.00","2.5","27.1","0.14"
"David Moore","WR","CAR","KC",,"0.0",,,,"0.0","0.0","0.00","2.2","25.9","0.14"
"Jalen Coker","WR","CAR","KC",,"0.0",,,,"0.0","0.0","0.00","2.0","25.9","0.11"
"Deven Thompkins","WR","CAR","KC",,"0.0",,,,"0.2","1.2","0.01","0.2","1.8","0.01"
