"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",22,0.843,2.65,20.7,23.6,13.9,14.1,14.5,1,1,1,1,"1",NA,NA,63
"2","Ezekiel Elliott","RB","DAL",19.3,0.593,0.509,18.9,19.9,11.3,12.3,10.7,2,2,3,2,"1",NA,NA,41
"3","Aaron Jones","RB","GB",18.8,0.489,0.849,18,20.7,10.8,11.4,11.5,3,3,2,3,"2",NA,NA,33
"4","Dalvin Cook","RB","MIN",18,0.656,1.21,17.3,19.8,9.92,10.7,10.7,4,4,4,4,"3",NA,NA,44
"5","Clyde Edwards-Helaire","RB","KC",16.8,1.58,0.131,15.6,18.1,8.71,8.93,8.97,5,5,9,5,"3",NA,NA,91
"6","Josh Jacobs","RB","LVR",16.6,1.08,1.18,15.3,18.2,8.58,8.64,9.03,6,6,8,6,"4",NA,NA,79
"7","Travis Kelce","TE","KC",14.3,0.801,1.99,13.1,16.2,8.43,8.1,9.16,7,9,6,1,"1",NA,NA,43
"8","DeAndre Hopkins","WR","ARI",16.8,2,0.534,14.1,19.9,7.47,6.08,9.03,8,21,7,1,"1",NA,NA,87
"9","Miles Sanders","RB","PHI",15.4,0.38,0.06,15.1,16.8,7.4,8.46,7.71,9,7,16,7,"4",NA,NA,26
"10","Austin Ekeler","RB","LAC",15.4,0.925,0.11,14.6,18.9,7.34,7.97,9.79,10,10,5,8,"4",NA,NA,69
"11","Kenyan Drake","RB","ARI",15.3,0.756,0.165,14.5,16.2,7.23,7.84,7.07,11,11,23,9,"4",NA,NA,54
"12","Jonathan Taylor","RB","IND",15.1,0.838,0.0335,14.4,16.8,7.06,7.75,7.71,12,12,17,10,"5",NA,NA,60
"13","Melvin Gordon","RB","DEN",15.1,0.211,0.00333,14.3,15.6,7.03,7.71,6.43,13,13,33,11,"5",NA,NA,7
"14","Chris Carson","RB","SEA",15.1,0.084,0.0282,14.9,15.5,7.02,8.32,6.4,14,8,34,12,"5",NA,NA,3
"15","Mike Davis","RB","CAR",15,2.2,0.15,12.8,17.3,7,6.17,8.17,15,19,14,13,"5",NA,NA,99
"16","Davante Adams","WR","GB",16.3,1.26,0.0105,14.1,18.2,6.93,6.09,7.4,16,20,20,2,"1",NA,NA,63
"17","Tyler Lockett","WR","SEA",16.3,1.79,0.699,14.5,19.6,6.92,6.55,8.74,17,17,10,3,"1",NA,NA,83
"18","Darrell Henderson","RB","LAR",14.9,1.09,0.0387,14,17.4,6.85,7.42,8.23,18,15,12,14,"5",NA,NA,80
"19","James Robinson","RB","JAC",14.9,0.845,0.57,14.2,15.8,6.81,7.54,6.7,19,14,27,15,"6",NA,NA,64
"20","Mark Andrews","TE","BAL",12.3,0.875,0.186,11.1,15,6.44,6.04,7.96,20,22,15,2,"1",NA,NA,54
"21","Darren Waller","TE","LVR",12.1,1.74,0.889,9.46,15.2,6.26,4.42,8.21,21,41,13,3,"2",NA,NA,97
"22","Nick Chubb","RB","CLE",14.3,0.754,0.196,13.4,15.8,6.24,6.79,6.69,22,16,28,16,"6",NA,NA,53
"23","Calvin Ridley","WR","ATL",15.6,1.08,0.585,13.3,18.3,6.22,5.29,7.44,23,29,19,4,"2",NA,NA,56
"24","Joe Mixon","RB","CIN",14.1,0.236,0.113,11.1,14.3,6.04,4.46,5.18,24,40,48,17,"6",NA,NA,11
"25","Devin Singletary","RB","BUF",14,0.475,0.34,12.6,14.9,5.93,6.02,5.75,25,23,40,18,"7",NA,NA,31
"26","Lamar Jackson","QB","BAL",25.5,0.6,0.255,24.3,26.1,5.69,6.45,5.11,26,18,49,1,"1",NA,NA,20
"27","Tyreek Hill","WR","KC",15,1.25,0.164,13.7,17.4,5.64,5.71,6.55,27,27,30,5,"2",NA,NA,62
"28","Ronald Jones","RB","TB",13.6,1.15,0.762,12.5,15.9,5.59,5.91,6.8,28,25,24,19,"8",NA,NA,83
"29","Amari Cooper","WR","DAL",14.9,2.36,0.0414,12.7,19.2,5.47,4.73,8.32,29,36,11,6,"2",NA,NA,94
"30","Russell Wilson","QB","SEA",25.2,0.921,1.59,23.9,26.5,5.43,5.98,5.48,31,24,44,2,"2",NA,NA,51
