"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Joe Burrow","CIN","QB","2563722","robust",269.3,7.66504200000002,1.8625,0.29652,0.9,0.14826,10.2825,0.444780000000001,0.109282263749083,0.014826,0.146666666666667,0,0.05,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","2565045","robust",275.4975,9.11798999999997,1.91,0.103782,0.955,0.0911922433411461,20.2875,0.444780000000001,0.19,0.029652,0.06,0,0.19,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dak Prescott","DAL","QB","2555260","robust",267.31,7.82812799999996,2,0.207564,0.534819203268641,0.247398291391958,14.115,1.616034,0.105,0.044478,0.22,0,0.26,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jimmy Garoppolo","SF","QB","2543801","robust",89,0,0.45,0,0.55,0,1.5,0,0.00875,0,0.1,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","Thumb",17,2021
"5","Tom Brady","TB","QB","2504211","robust",292.4,6.81996000000003,2.2525,0.489258,0.39479585542369,0.163086,4.215,1.808772,0.095,0.009884,0.0866666666666667,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Kirk Cousins","MIN","QB","2532820","robust",315,0,1,NA,1,NA,17,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illness",17,2021
"7","Josh Allen","BUF","QB","2560955","robust",278.3,12.7651859999999,2.3,0.44478,0.8,0.116505896055527,40.15,7.11648,0.3,0,0.18,0,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Johnson","BAL","QB","264","robust",152.5,224.6139,1.005,1.475187,0.5,0.7413,5.025,7.375935,0,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Patrick Mahomes","KC","QB","2558125","robust",290.205,17.0499,2.0675,0.044478,0.475312223027959,0.311346,19.2858333333333,1.279978,0.102229490177122,0.00661088427320229,0.116666666666667,0,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Matthew Stafford","LAR","QB","79860","robust",285.155,2.62420199999997,2,0.0741299999999997,0.702610887560031,0.192738,5.07,3.7065,0.0616666666666667,0.054362,0.0766666666666667,0,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Trevor Lawrence","JAC","QB","2566163","robust",207.945,8.96973000000002,0.555,0.18953844409213,1.12073267154544,0.298323332197117,22.605,3.024504,0.115,0.059304,0.3875,0.22239,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aaron Rodgers","GB","QB","2506363","robust",268.85,10.82298,2.475,0.44478,0.308794738507049,0.14826,9.25,4.358844,0.1,0.044478,0.07,0,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Derek Carr","LVR","QB","2543499","robust",258,4.43297400000001,1.155,0.29652,0.846615325738806,0.113361527761418,7.645,2.090466,0.07,0.0444438635376475,0.4375,0.0926625,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Kyler Murray","ARI","QB","2562382","robust",253.485,22.83204,1.5175,0.192738,0.629050626209515,0.14826,32.7825,2.535246,0.255,0.163086,0.153333333333333,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Sean Mannion","MIN","QB","2552576","robust",228.9,23.86986,1.025,0.0741300000000001,0.875596343591677,0.14826,10.3,1.92738,0.07,0.044478,0.176666666666667,0.034594,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Tua Tagovailoa","MIA","QB","2564499","robust",237,12.016473,1.27,0.22239,0.75,0.30336649088076,10.705,4.010433,0.125,0.109661780041825,0.133333333333333,0.02471,0.1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ben Roethlisberger","PIT","QB","2506109","robust",238.17,12.6021,1.25,0.44478,0.83,0.142151014728144,2.70416666666667,1.025465,0.025,0.039536,0.33125,0.0926625,0.19,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Davis Mills","HOU","QB","2566136","robust",229.3,5.53009799999998,1.165,0.118608,0.700503710710216,0.14826,4.68,6.997872,0.05,0.0474432,0.116666666666667,0.012355,0.1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Andy Dalton","CHI","QB","2495143","robust",223.425,26.53854,1.1,0.252042,0.39,0.506840671707317,9.3,5.144622,0.07,0.059304,0.0933333333333333,0.034594,0.1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Nick Foles","CHI","QB","2532842","robust",202.5,70.4235,0.8,0.29652,0.294444444444444,0.140023333333333,8,0,0.1,0,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Mac Jones","NE","QB","2566334","robust",223.89,16.23447,1.43836690829688,0.467019,0.675788276447072,0.14826,14.59,3.839934,0.123327219731315,0.103782,0.0966666666666667,0.00247100000000001,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Russell Wilson","SEA","QB","2532975","robust",230.445,6.59015699999999,1.815,0.14826,0.587802370460548,0.071334734197412,15.5,3.7065,0.0826065804426647,0.00741300000000001,0.113333333333333,0.009884,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
