"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Justin Herbert","LAC","QB","2565045","robust",294.97,17.0499,2,0.133434,0.7,0.29652,15.3125,3.40998,0.2,0.044478,0.17875,0.0630105,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",294.35,12.053538,2.225,0.22239,0.7,0.14826,3.225,1.18608,0.105,0.014826,0.0975,0.00741300000000001,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Patrick Mahomes","KC","QB","2558125","robust",311.7,5.75248799999999,2.5,0.29652,0.55,0.14826,20.3,1.03782,0.155,0.103782,0.0725,0.0037065,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Derek Carr","LVR","QB","2543499","robust",285.2175,13.8326580000001,1.8,0.29652,0.662091753679221,0.0975795319903747,7.885,2.2239,0.1,0,0.2025,0.00741300000000001,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","2560955","robust",288.9475,12.45384,2.2,0.163086,0.456003405203922,0.14826,36.34,3.143112,0.5,0.044478,0.245,0.066717,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Kirk Cousins","MIN","QB","2532820","robust",272.555,3.55823999999997,2,0.14826,0.851266196537094,0.252042,7.3,1.734642,0.0225,0,0.18375,0.0481845,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Matthew Stafford","LAR","QB","79860","robust",281.13,13.93644,2,0.0889560000000001,0.7075,0.14826,6.5525,4.00302,0.08,0.044478,0.10875,0.0259455,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Dak Prescott","DAL","QB","2555260","robust",282.9675,2.66868000000002,2.0075,0.29652,0.8225,0.0444779999999999,14.225,3.11346,0.1,0.029652,0.21,0.014826,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Sam Darnold","CAR","QB","2561036","robust",255.795,27.887706,1.575,0.29652,0.749693780902845,0.14826,12.845,6.37518,0.2425,0.103782,0.1975,0.00741300000000001,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Russell Wilson","SEA","QB","2532975","robust",259.725,13.86231,2,0.0889560000000001,0.440207824477941,0.14826,24.0225,3.157938,0.1,0.014826,0.1125,0.037065,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ben Roethlisberger","PIT","QB","2506109","robust",257,33.684672,1.46,0.22239,1,0.103782,2.868,0.96369,0.015,0,0.045,0.014826,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Matt Ryan","ATL","QB","310","robust",267.3075,10.67472,1.7075,0.163086,0.8,0.156531949166028,6.475,1.03782,0.085,0,0.215,0.022239,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Kyler Murray","ARI","QB","2562382","robust",261.7275,6.36035400000003,1.6875,0.37065,0.929160384809913,0.14826,34.71,3.67684800000001,0.5,0.0593040000000001,0.1375,0.0555975,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Aaron Rodgers","GB","QB","2506363","robust",260.005,23.187864,2.0875,0.14826,0.457580402365037,0.14826,9.83,4.017846,0.1,0,0.0975,0.00741300000000001,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Baker Mayfield","CLE","QB","2560800","robust",261.495,8.16171299999999,1.6,0.0889559999999999,0.8,0.145370168981082,14.545,1.4826,0.13,0.066717,0.14,0.07413,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Taylor Heinicke","WAS","QB","2553656","robust",255.1,8.74734000000001,1.67,0.177912,0.964681324730805,0.0889560000000001,16.4125,5.78214,0.2,0.044478,0.0825,0.0185325,0.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Joe Burrow","CIN","QB","2563722","robust",257.6025,8.435994,1.955,0.0889560000000001,0.75,0.0278387051258156,11.155,3.454458,0.15,0.07413,0.14,0.059304,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Jalen Hurts","PHI","QB","2564832","robust",243.7,16.75338,1.5975,0.14826,0.8,0.0481341550580431,51.3075,11.8608,0.5125,0.177912,0.195,0.00741300000000001,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Jimmy Garoppolo","SF","QB","2543801","robust",247.865,10.682133,1.68,0.29652,0.818585858585859,0.14826,7.7,2.37216,0.1,0.029652,0.305,0.14826,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Mac Jones","NE","QB","2566334","robust",240.55,16.649598,1.245,0.103782,0.919781893708518,0.0963689999999999,9.95,5.515272,0.1,0.126021,0.08,0.044478,0.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Teddy Bridgewater","DEN","QB","2543465","robust",253.89,9.57018300000002,1.465,0.163086,0.596336948031755,0.22239,15.655,0.163086,0.13,0.07413,0.09375,0.00926625000000001,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Jared Goff","DET","QB","2555334","robust",252.9875,5.88592200000004,1.23,0.281694,0.905,0.118608,9.9,2.29803,0.1,0,0.2025,0.00741300000000001,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Daniel Jones","NYG","QB","2562299","robust",229.095,12.631752,1,0,0.9775,0.044478,33.2925,2.475942,0.1525,0.044478,0.39375,0.0185325,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
