"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",313.3925,15.708147,2.4725,0.407715,0.755,0.163086,17.685,3.254307,0.19,0.00741300000000001,0.08,0.014826,0.17,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",271.2375,19.325691,1.67,0.37065,0.6825,0.0889560000000001,1.405,1.022994,0.045,0.037065,0.135,0.0481845,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Joe Burrow","CIN","QB","2563722","robust",284.7475,3.45445800000006,1.935,0.0741300000000001,0.8925,0.081543,15.165,3.869586,0.1675,0.029652,0.07,0.022239,0.16,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Kirk Cousins","MIN","QB","2532820","robust",276.65,7.30921800000005,1.9225,0.0889560000000001,0.7,0.0296519999999999,5.07,2.468529,0.085,0.022239,0.075,0.0185325,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Justin Herbert","LAC","QB","2565045","robust",264.0775,20.0151,1.6925,0.229803,0.8475,0.244629,10.58,2.209074,0.0775,0.037065,0.065,0.0259455,0.19,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Geno Smith","SEA","QB","2539335","robust",258.275,20.7564,1.8225,0.14826,0.865,0.111195,17,1.816185,0.1025,0.066717,0.19,0.081543,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jarrett Stidham","LVR","QB","2562746","robust",254.2275,22.127805,1.6975,0.252042,1,0.0815430000000001,12.1025,3.313611,0.065,0.088956,0.11,0.007413,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Trevor Lawrence","JAC","QB","2566163","robust",262.0175,11.475324,1.5825,0.303933,0.8025,0.214977,18.9525,1.682751,0.2125,0.07413,0.25,0.111195,0.16,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Toe",18,2022
"9","Josh Allen","BUF","QB","2560955","robust",253.3125,10.556112,1.925,0.0815430000000002,0.8675,0.0963690000000001,47.5175,3.402567,0.4525,0.155673,0.215,0.0630105,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Dak Prescott","DAL","QB","2555260","robust",248.085,13.454595,1.81,0.163086,0.93,0.22239,17.37,2.29803,0.1225,0.081543,0.155,0.0333585,0.26,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Jalen Hurts","PHI","QB","2564832","robust",217.4675,40.0302,1.4775,0.44478,0.44,0.385476,46.75,6.263985,0.665,0.318759,0.13,0.051891,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Shoulder",18,2022
"12","Aaron Rodgers","GB","QB","2506363","robust",247.6125,4.29954000000001,1.9325,0.133434,0.515,0.140847,8.9425,3.817695,0.105,0.022239,0.09,0.007413,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jared Goff","DET","QB","2555334","robust",251.5275,11.942343,1.5875,0.163086,0.73,0.229803,4.6875,3.402567,0.0375,0.044478,0.19,0.081543,0.24,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Joe Flacco","NYJ","QB","382","robust",218.325,33.773628,1,0.29652,0.7075,0.237216,0.555,0.548562,0.0225,0.029652,0.115,0.0630105,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Brock Purdy","SF","QB","2568216","robust",229.1475,13.3434,1.7075,0.118608,0.8025,0.259455,7.6275,6.805134,0.105,0.051891,0.075,0.0185325,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Sam Darnold","CAR","QB","2561036","robust",200.1775,8.98455600000002,1.0025,0.0593040000000002,0.625,0.192738,17.0625,1.905141,0.175,0.022239,0.2,0.07413,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
