"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","weighted",308.872949741663,13.0471450925582,2.18104274307186,0.148547044403946,0.761465476749648,0.171994144654269,20.9088821042743,1.01487405366168,0.179140441521841,0.0406757675494312,0.0913868013151714,0.0106735292178633,0.17,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Kirk Cousins","MIN","QB","10700","weighted",275.323302019728,18.9330208331863,1.95567872240488,0.101394833959789,0.768844527947393,0.165397576339412,5.11028651949272,0.841119499592996,0.0715453264443401,0.0411870476677537,0.0960310004697041,0.0267195382716084,0.13,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","14779","weighted",282.352268670737,10.8723087201694,1.95676373884453,0.207512051588046,0.884715829027713,0.159649880709648,12.3683278534523,2.58135684749341,0.104570220760921,0.00813802347765982,0.0799025364020667,0.0249049015083478,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jimmy Garoppolo","LVR","QB","11760","weighted",246.375904180366,25.5886784858945,1.4125880695162,0.318562032630977,0.887829967120714,0.199952559048155,4.53178017848755,1.7915404337064,0.077627994363551,0.0403788183990435,0.0788985439173321,0.0374440988511489,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","13589","weighted",251.171094410521,22.762656037676,1.79441052137154,0.26357990245989,0.94870831376233,0.100483981488581,41.0118929074683,5.18116323253667,0.3188304368248,0.0833555510606653,0.193159934241428,0.0298383025415989,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Joe Burrow","CIN","QB","14777","weighted",259.666928135275,21.8997228765534,1.8905777360263,0.214810879787555,0.870277125410991,0.0823709165309828,16.22152184124,5.12104702875846,0.197106622827619,0.0306948329635405,0.11139032409582,0.0492356698879928,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tua Tagovailoa","MIA","QB","14778","weighted",270.352057303899,9.13671076059366,1.79719116956318,0.151698861122317,0.871432597463598,0.151204116023984,7.09845467355566,2.93948818460147,0.0760826679192109,0.0400021678401134,0.104644199154533,0.0183483234670804,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Geno Smith","SEA","QB","11150","weighted",255.569271958666,16.3617390103073,1.86129168623767,0.140560220874004,0.566871770784406,0.296730702458736,16.9274166275247,4.8946522706599,0.095974635979333,0.0536403728644537,0.200704556129638,0.0616552042468675,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Baker Mayfield","TB","QB","13590","weighted",245.894471582903,16.5073055207215,1.30094880225458,0.178691483685329,0.819760450915923,0.14487762146364,8.94047440112729,3.41806071209579,0.0883795209018319,0.0440982402064433,0.159805072804133,0.0498098030166956,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jared Goff","DET","QB","12611","weighted",260.690685767966,11.5620246865465,1.75164396430249,0.156931778500187,0.711146077970878,0.24486600426075,4.33560356975106,1.7215222877769,0.041507750117426,0.046344092022915,0.194163926726163,0.0670722956163495,0.24,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
