"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Brock Purdy","SF","QB","15698","weighted",275.236572126003,14.5922782829889,1.9280146460537,0.284511838575488,0.753157038242474,0.204767945424083,12.8452905963036,1.01723944063221,0.0818185516680228,0.0592362801439259,0.228824247355574,0.0331347117693882,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Dak Prescott","DAL","QB","12620","weighted",255.818626641869,16.8333262443793,1.71857607811229,0.243249494780546,0.812408462164361,0.140801401707654,11.5411658723701,1.22592088412673,0.0866720911310008,0.0384777913937378,0.134578925956062,0.0249249207469265,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Jordan Love","GB","QB","14782","weighted",260.908610949669,10.2138189999447,1.92971114727421,0.143726784071045,0.584165988608625,0.312179229718836,11.1400546321051,1.81526221108974,0.0965174938974776,0.0769644761898282,0.140221724979658,0.0306675132399054,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Knee",2024,5
"4","Joe Burrow","CIN","QB","14777","weighted",254.704163082646,9.90559742643056,1.80543938161107,0.159172749601023,0.571436126932465,0.307260843275336,11.2474293850982,1.57507122278543,0.0817615947925142,0.0591708300959985,0.226114727420667,0.0173918032318106,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Geno Smith","SEA","QB","11150","weighted",255.696626176915,9.97973400106561,1.36679820992677,0.302238509507443,0.846611065907242,0.130236562614011,15.3195710798559,3.33730309240941,0.0971521562245728,0.0465682530894053,0.140221724979658,0.0306675132399054,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C.J. Stroud","HOU","QB","16150","weighted",254.728671974892,13.6781587972865,1.69148087876322,0.254178237938137,0.556822620016273,0.307323706520407,11.7506933627804,0.689695315146644,0.0778030919446705,0.0546894152019178,0.162711554109032,0.0297262827676372,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Trevor Lawrence","JAC","QB","15237","weighted",241.330960130187,16.2351941801231,1.27738405207486,0.264692429752685,0.83539869812856,0.215701905280145,15.5916924328723,1.24525019648485,0.137607811228641,0.0797054452286529,0.283071602929211,0.0196014399388774,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matthew Stafford","LAR","QB","9431","weighted",246.205048820179,11.5790115137236,1.18634662327095,0.183536629646465,0.815895036615134,0.150902793819297,3.35942171335581,0.822159684414204,0.0145809601301871,0.0264091550497635,0.220360048820179,0.0387849788544231,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Patrick Mahomes","KC","QB","13116","weighted",241.816684877368,8.1290700240254,1.39866965012205,0.323584390492811,0.681501220504475,0.363172499703969,22.9341834243868,1.56447357686527,0.105126118795769,0.0554675490389127,0.143043124491456,0.0336472398966962,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Baker Mayfield","TB","QB","13590","weighted",241.322876322213,7.65988202152015,1.72741253051261,0.21834403091136,0.828816110659072,0.173613054551547,12.1582134139254,0.979731853387709,0.121859235150529,0.0668949795724607,0.13740032546786,0.0277525015481131,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
