,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Keenan Allen,!,0,WR,WR1,9000,LAC,@ GB,12,23.25,9.9,17.1,23.8,28.72,28.72,0,13.87,48.52,28.72,28.72,100,,46,3.2
JaMarr Chase,,0,WR,WR1,8700,CIN,@ BAL,3,21.75,12.7,21.4,21.4,28.23,28.23,0,9.18,53.63,28.23,28.23,100,,37,3.2
C.J. Stroud,,0,QB,QB1,7000,HOU,vs ARI,29,26.75,9.7,0,21.6,27.25,27.25,0,12.7,46.65,27.25,27.25,100,,55,3.9
Jalen Hurts,,0,QB,QB1,8300,PHI,@ KC,6,21.75,11.3,26.7,25.1,26.22,26.22,0,9.27,48.82,26.22,26.22,100,,45,3.2
Christian McCaffrey,,0,RB,RB1,9300,SF,vs TB,1,26.75,10.8,21.8,25.7,26.1,26.1,0,9.9,47.7,26.1,26.1,100,,54,2.8
Tyreek Hill,,0,WR,WR1,9300,MIA,vs LV,19,29.25,11.8,21.3,26.7,24.1,24.1,0,6.4,47.7,24.1,24.1,100,,39,2.6
Lamar Jackson,,0,QB,QB1,7900,BAL,vs CIN,25,24.75,11.1,21.2,20,23.88,23.88,0,7.23,46.08,23.88,23.88,100,,48,3
Dak Prescott,,0,QB,QB1,7300,DAL,@ CAR,2,25.75,9.2,18.1,21.5,23.04,23.04,0,9.24,41.44,23.04,23.04,100,,55,3.2
Austin Ekeler,,0,RB,RB1,8600,LAC,@ GB,25,23.25,9.9,22.5,18.7,22.72,22.72,0,7.87,42.52,22.72,22.72,100,,43,2.6
A.J. Brown,,0,WR,WR1,8900,PHI,@ KC,16,21.75,10.8,18.6,24.6,22.55,22.55,0,6.35,44.15,22.55,22.55,100,,37,2.5
Justin Herbert,,0,QB,QB1,7600,LAC,@ GB,3,23.25,8.3,18.2,22.1,21.8,21.8,0,9.35,38.4,21.8,21.8,100,,63,2.9
Josh Allen,,0,QB,QB1,8200,BUF,vs NYJ,1,23.5,9.3,27,24.6,21.77,21.77,0,7.82,40.37,21.77,21.77,100,,61,2.7
Patrick Mahomes,,0,QB,QB1,8000,KC,vs PHI,23,23.75,8.6,27,21.2,21.74,21.74,0,8.84,38.94,21.74,21.74,100,,66,2.7
CeeDee Lamb,,0,WR,WR1,9200,DAL,@ CAR,5,25.75,10.1,18.6,23.8,21.29,21.29,0,6.14,41.49,21.29,21.29,100,,41,2.3
De'Von Achane,!,0,RB,RB2,6600,MIA,vs LV,30,29.25,18.6,0,27.9,21.04,21.04,0,0,58.24,21.04,21.04,100,,33,3.2
Raheem Mostert,,0,RB,RB1,6900,MIA,vs LV,30,29.25,10.6,11,19.7,20.81,20.81,0,4.91,42.01,20.81,20.81,100,,9,3
Tua Tagovailoa,,0,QB,QB1,7700,MIA,vs LV,10,29.25,8.8,19.4,20.7,20.62,20.62,0,7.42,38.22,20.62,20.62,100,,49,2.7
Russell Wilson,,0,QB,QB1,5200,DEN,vs MIN,9,22,8.2,16.1,18.5,20.57,20.57,0,8.27,36.97,20.57,20.57,100,,59,4
Joe Burrow,,0,QB,QB1,6800,CIN,@ BAL,4,21.75,8.8,23.8,17.2,20.51,20.51,0,7.31,38.11,20.51,20.51,100,,58,3
Sam Howell,,0,QB,QB1,6300,WAS,vs NYG,17,23.25,8.1,19.3,20.6,20.27,20.27,0,8.12,36.47,20.27,20.27,100,,60,3.2
Joshua Dobbs,,0,QB,QB1,5700,MIN,@ DEN,27,19,9.9,12.4,18.6,19.62,19.62,0,4.77,39.42,19.62,19.62,100,,17,3.4
Geno Smith,,0,QB,QB1,5900,SEA,@ LAR,7,22.75,8.9,19.5,15.6,19.39,19.39,0,6.04,37.19,19.39,19.39,100,,37,3.3
Justin Fields,,0,QB,QB1,6900,CHI,@ DET,26,20.25,10.6,21.2,19.5,19.25,19.25,0,3.35,40.45,19.25,19.25,100,,40,2.8
Kyler Murray,,0,QB,QB1,6100,ARI,@ HOU,24,21.75,8.6,19.9,18.3,19.23,19.23,0,6.33,36.43,19.23,19.23,100,,61,3.2
Cooper Kupp,,0,WR,WR1,8100,LAR,vs SEA,28,23.75,10.4,24.2,14.7,19.13,19.13,0,3.53,39.93,19.13,19.13,100,,44,2.4
Travis Kelce,,0,TE,TE1,8100,KC,vs PHI,26,23.75,9.1,19.7,18.3,19.1,19.1,0,5.45,37.3,19.1,19.1,100,,48,2.4
Brock Purdy,,0,QB,QB1,5800,SF,vs TB,14,26.75,7.9,12.3,19.4,19.1,19.1,0,7.25,34.9,19.1,19.1,100,,50,3.3
Jahmyr Gibbs,,0,RB,RB2,7000,DET,vs CHI,6,27.25,9.8,0,17.9,19.04,19.04,0,4.34,38.64,19.04,19.04,100,,45,2.7
Joe Mixon,,0,RB,RB1,6100,CIN,@ BAL,3,21.75,9.3,17.3,13.3,18.53,18.53,0,4.58,37.13,18.53,18.53,100,,41,3
Tony Pollard,,0,RB,RB1,6600,DAL,@ CAR,29,25.75,8.8,16.3,13,18.47,18.47,0,5.27,36.07,18.47,18.47,100,,19,2.8
James Conner,,0,RB,RB1,5700,ARI,@ HOU,20,21.75,10.4,15.7,11.6,18.34,18.34,0,2.74,39.14,18.34,18.34,100,,27,3.2
Baker Mayfield,,0,QB,QB1,5300,TB,@ SF,13,14.75,6.5,11,17.5,18.26,18.26,0,8.51,31.26,18.26,18.26,100,,59,3.4
Mike Evans,,0,WR,WR1,7400,TB,@ SF,29,14.75,10.2,15.6,17.6,18.2,18.2,0,2.9,38.6,18.2,18.2,100,,40,2.5
Trevor Lawrence,,0,QB,QB1,6000,JAC,vs TEN,15,22.75,7.1,19.1,15.1,18.15,18.15,0,7.5,32.35,18.15,18.15,100,,56,3
Jared Goff,,0,QB,QB1,6600,DET,vs CHI,28,27.25,8.5,18.3,19.3,18.08,18.08,0,5.33,35.08,18.08,18.08,100,,53,2.7
Matthew Stafford,,0,QB,QB1,6400,LAR,vs SEA,20,23.75,7.1,13.6,15.9,17.89,17.89,0,7.24,32.09,17.89,17.89,100,,61,2.8
Amon-Ra St. Brown,,0,WR,WR1,8800,DET,vs CHI,6,27.25,10.4,17.5,23.7,17.87,17.87,0,2.27,38.67,17.87,17.87,100,,41,2
Marquise Brown,,0,WR,WR1,5300,ARI,@ HOU,13,21.75,7.7,13.3,11.7,17.68,17.68,0,6.13,33.08,17.68,17.68,100,,39,3.3
Stefon Diggs,,0,WR,WR1,9100,BUF,vs NYJ,25,23.5,9.9,21.1,21.8,17.4,17.4,0,2.55,37.2,17.4,17.4,100,,43,1.9
Garrett Wilson,!,0,WR,WR1,6400,NYJ,@ BUF,4,16.5,7.6,13.3,14.9,17.32,17.32,0,5.92,32.52,17.32,17.32,100,,45,2.7
Jordan Love,,0,QB,QB1,5600,GB,vs LAC,19,20.25,8.5,2.9,17.8,16.97,16.97,0,4.22,33.97,16.97,16.97,100,,18,3
Tyler Lockett,!,0,WR,WR2,6500,SEA,@ LAR,18,22.75,9.8,15.5,13.5,16.35,16.35,0,1.65,35.95,16.35,16.35,100,,26,2.5
Travis Etienne,,0,RB,RB1,7200,JAC,vs TEN,12,22.75,9.6,13.1,19.3,16.29,16.29,0,1.89,35.49,16.29,16.29,100,,37,2.3
Chris Godwin,,0,WR,WR2,6600,TB,@ SF,29,14.75,9.3,15.4,12.1,16.21,16.21,0,2.26,34.81,16.21,16.21,100,,36,2.5
Tank Dell,,0,WR,WR2,5900,HOU,vs ARI,1,26.75,10.3,0,15.6,16.16,16.16,0,0.71,36.76,16.16,16.16,100,,34,2.7
Saquon Barkley,,0,RB,RB1,7100,NYG,@ WAS,18,14.25,9.8,18.5,15.8,16.08,16.08,0,1.38,35.68,16.08,16.08,100,,47,2.3
Josh Jacobs,,0,RB,RB1,6800,LV,@ MIA,17,16.25,9.1,20.4,14.9,16.08,16.08,0,2.43,34.28,16.08,16.08,100,,46,2.4
Tommy DeVito,,0,QB,QB1,5000,NYG,@ WAS,32,14.25,3,0,10.8,15.99,15.99,0,11.49,21.99,15.99,15.99,100,,72,3.2
Nico Collins,,0,WR,WR1,6700,HOU,vs ARI,1,26.75,7.6,9.7,16.1,15.89,15.89,0,4.49,31.09,15.89,15.89,100,,22,2.4
Brian Robinson,,0,RB,RB1,5800,WAS,vs NYG,27,23.25,7.3,9.6,14.6,15.86,15.86,0,4.91,30.46,15.86,15.86,100,,39,2.7
Puka Nacua,,0,WR,WR2,7100,LAR,vs SEA,28,23.75,10.7,0,19,15.58,15.58,0,0,36.98,15.58,15.58,100,,44,2.2
DeVonta Smith,,0,WR,WR2,7000,PHI,@ KC,16,21.75,8.5,15.9,13.6,15.52,15.52,0,2.77,32.52,15.52,15.52,100,,38,2.2
Courtland Sutton,,0,WR,WR1,5200,DEN,vs MIN,21,22,6.7,10.8,13.7,15.43,15.43,0,5.38,28.83,15.43,15.43,100,,39,3
D'Andre Swift,,0,RB,RB1,6700,PHI,@ KC,9,21.75,7.6,13.9,15.2,15.37,15.37,0,3.97,30.57,15.37,15.37,100,,50,2.3
Terry McLaurin,,0,WR,WR1,5800,WAS,vs NYG,24,23.25,7.6,14.2,12.3,15.28,15.28,0,3.88,30.48,15.28,15.28,100,,46,2.6
Javonte Williams,,0,RB,RB1,5500,DEN,vs MIN,8,22,6.5,10.7,11.2,15.21,15.21,0,5.46,28.21,15.21,15.21,100,,45,2.8
Jaylen Waddle,,0,WR,WR2,7600,MIA,vs LV,19,29.25,8.9,16.4,14.3,15.2,15.2,0,1.85,33,15.2,15.2,100,,43,2
DJ Moore,,0,WR,WR1,5600,CHI,@ DET,11,20.25,8.8,12.2,16.9,15.15,15.15,0,1.95,32.75,15.15,15.15,100,,37,2.7
Devin Singletary,,0,RB,RB1,5300,HOU,vs ARI,26,26.75,6.5,11.5,7.2,15.12,15.12,0,5.37,28.12,15.12,15.12,100,,40,2.9
