,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Alvin Kamara,,0,RB,RB1,8200,NO,vs CLE,20,21.5,10.5,17.9,21.3,0,0,0,0,0,0.8185,24.74,107.95,0.96,33.43,0.2718,8.69,6.72,54.7,0.25,0,0,0,0,0,0,30.25,30.25,0,14.5,51.25,30.25,30.25,17,0,100,,74,48,3.7,12.9,1.6,2,1,1,4,1,1,0.01,0.01,0.11,,,,1.22,13.25,58.18,0.54,6.39,5,41.63,0.22,,,,,,,
Jalen Hurts,,0,QB,QB1,7900,PHI,vs WAS,9,26.75,10.7,22.9,24.3,1,34.63,285.37,1.72,0.75,0.2828,10.23,46.36,0.93,10.23,0,0,0,0,0,0,0,0,0,0,0,27.76,27.76,0,11.71,49.16,27.76,27.76,16,0,100,,42,49,3.5,18.74,2.4,2,1,1,7,2,2,25.9,16.63,196.29,0.56,1.97,1.13,85.2,8.83,41.17,0.73,0.03,0.01,0.04,,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8000,DET,vs JAC,15,30.5,9.8,22.4,17.6,0,0,0,0,0,0,0,0,0,12.66,0.3352,12.66,9.66,101.67,0.87,0,0,0,0,0,0,25.05,25.05,0,10.35,44.65,25.05,25.05,1,0,100,,2,46,3.1,41.7,5.2,5,1,1,6,3,3,0.02,0.02,0.12,,0.02,0.02,7.86,0.35,3.16,0.02,8.72,6.47,72.14,0.49,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,@ PIT,15,25.75,10.8,22.3,27.4,1,31.4,254.81,1.97,0.55,0.2924,9.11,54.56,0.25,9.11,0,0,0,0,0,0,0,0,0,0,0,24.48,24.48,0,8.28,46.08,24.48,24.48,23,0,100,,58,51,3.1,15.88,2,1,2,2,6,4,4,25.33,16.41,194.96,0.51,1.93,1.55,98.18,10.06,60.78,0.32,0.02,,,,,,,,,,
Davante Adams,,0,WR,WR2,7200,NYJ,vs IND,14,23.5,11.2,16.1,13.5,0,0,0,0,0,0,0,0,0,12.82,0.2926,12.82,8.1,101.58,0.98,0,0,0,0,0,0,24.14,24.14,0,7.34,46.54,24.14,24.14,30,0,100,,72,41,3.4,13.2,1.8,10,2,2,14,5,5,0.01,0.01,0.23,,0.01,,1.53,0.02,-0.01,,9.64,6.18,76.85,0.68,,,,,,,
Christian McCaffrey,,0,RB,RB1,8300,SF,vs SEA,22,27.25,10.7,25.9,16.7,0,0,0,0,0,0.5162,16.17,77.3,0.62,22.72,0.1914,6.55,5.29,50.39,0.35,0,0,0,0,0,0,23.88,23.88,0,7.83,45.28,23.88,23.88,13,0,100,,63,54,2.9,14.6,1.8,1,2,2,3,6,6,0.04,0.02,0.9,,,0.02,8.49,14.15,67.1,0.56,6.94,5.6,48.27,0.32,,,,,,,
Patrick Mahomes,,0,QB,QB1,6800,KC,@ BUF,22,22.25,8.5,19.3,17.1,1,37.17,286.73,1.98,0.75,0.2223,6.87,33.9,0.23,6.87,0,0,0,0,0,0,0,0,0,0,0,23.41,23.41,0,10.66,40.41,23.41,23.41,18,0,100,,48,65,3.4,17.84,2.6,7,3,3,18,7,7,37.16,24.76,291.98,0.69,1.6,2.23,103.46,4.06,20.67,0.14,0.04,0.02,0.07,,,,,,,,
Jayden Daniels,,0,QB,QB1,7500,WAS,@ PHI,1,22.75,7.6,0,19.5,1,35.44,285.55,1.31,0.23,0.2611,8.37,46.17,0.34,8.37,0,0,0,0,0,0,0,0,0,0,0,23.09,23.09,0,11.69,38.29,23.09,23.09,24,0,100,,64,61,3.1,14.44,1.9,4,4,4,11,8,8,26.2,18,214.7,0.2,2,0.9,103.41,8.5,46.4,0.4,,,,,,,,,,,
Josh Allen,,0,QB,QB1,7800,BUF,vs KC,12,24.75,9.1,25.2,20.8,1,30.51,237.02,1.59,0.68,0.2307,7.72,40.38,0.62,7.72,0,0,0,0,0,0,0,0,0,0,0,22.92,22.92,0,9.27,41.12,22.92,22.92,8,0,100,,21,62,2.9,24.98,3.2,3,5,5,8,9,9,33.24,20.98,240.46,0.78,1.82,1.75,92.25,6.87,37.75,0.54,0.03,0.02,0.27,0.02,,,,,,,
