rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,2024.3,BAL,2,LV,0.0,2.3,0.0,0.9,0.9,0.1,0.6,0.0,16.2,10.7
2,2024.14,IND,2,GB,0.0,2.7,0.0,1.1,0.8,0.0,0.5,0.0,18.9,10.5
3,2024.29,LAC,2,CAR,0.0,2.6,0.0,0.8,0.8,0.0,0.6,0.0,16.4,10.4
4,2024.28,PIT,2,DEN,0.0,2.3,0.0,0.9,0.8,0.0,0.6,0.0,17.0,10.3
5,2024.24,NYJ,2,TEN,0.0,2.4,0.0,0.8,0.8,0.0,0.6,0.0,18.7,10.2
6,2024.9,DAL,2,NO,0.0,2.6,0.0,0.9,0.7,0.0,0.5,0.0,19.7,9.8
7,2024.13,HOU,2,CHI,0.0,2.3,0.0,0.9,0.8,0.0,0.5,0.0,19.8,9.7
8,2024.31,SF,2,MIN,0.0,2.7,0.0,1.0,0.7,0.0,0.4,0.0,20.0,9.5
9,2024.30,SEA,2,NE,0.0,2.3,0.0,0.8,0.8,0.0,0.5,0.0,17.1,9.5
10,2024.15,JAX,2,CLE,0.0,2.6,0.0,1.0,0.6,0.0,0.4,0.0,19.0,9.2
11,2024.10,DEN,2,PIT,0.0,2.1,0.0,0.8,0.7,0.0,0.5,0.0,19.7,9.1
12,2024.21,NE,2,SEA,0.0,2.3,0.0,0.8,0.6,0.0,0.5,0.0,20.7,9.1
13,2024.26,PHI,2,ATL,0.0,2.3,0.0,0.8,0.7,0.0,0.4,0.0,20.3,8.7
14,2024.16,KC,2,CIN,0.0,2.5,0.0,0.9,0.7,0.0,0.5,0.0,21.2,8.7
15,2024.35,WAS,2,NYG,0.0,2.1,0.0,0.9,0.8,0.0,0.5,0.0,21.2,8.5
16,2024.23,NYG,2,WAS,0.0,2.6,0.0,1.0,0.6,0.0,0.4,0.0,22.8,8.2
17,2024.8,CLE,2,JAX,0.0,2.4,0.0,0.9,0.6,0.0,0.4,0.0,22.6,7.8
18,2024.12,GB,2,IND,0.0,2.2,0.0,0.9,0.7,0.0,0.4,0.0,21.8,7.8
19,2024.11,DET,2,TB,0.0,2.3,0.0,0.8,0.7,0.0,0.4,0.0,22.2,7.7
20,2024.34,TEN,2,NYJ,0.0,2.4,0.0,0.8,0.6,0.0,0.4,0.0,22.3,7.6
21,2024.19,MIA,2,BUF,0.0,2.2,0.0,0.9,0.6,0.0,0.4,0.0,23.3,7.6
22,2024.5,CAR,2,LAC,0.0,2.1,0.0,0.7,0.7,0.0,0.4,0.0,22.6,7.3
23,2024.32,LAR,2,ARI,0.0,2.1,0.0,0.8,0.6,0.0,0.4,0.0,25.1,7.3
24,2024.7,CIN,2,KC,0.0,2.3,0.0,0.9,0.5,0.0,0.3,0.0,26.5,6.9
25,2024.1,ARI,2,LAR,0.0,2.3,0.0,0.8,0.6,0.0,0.3,0.0,24.0,6.9
26,2024.22,NO,2,DAL,0.0,2.3,0.0,0.8,0.5,0.0,0.3,0.0,26.0,6.7
27,2024.2,ATL,2,PHI,0.0,2.1,0.0,0.9,0.5,0.0,0.3,0.0,26.9,6.7
28,2024.4,BUF,2,MIA,0.0,2.2,0.0,0.8,0.5,0.0,0.3,0.0,25.3,6.6
29,2024.6,CHI,2,HOU,0.0,2.3,0.0,0.7,0.5,0.0,0.3,0.0,25.8,6.5
30,2024.20,MIN,2,SF,0.0,2.0,0.0,0.8,0.5,0.0,0.3,0.0,26.0,6.4
31,2024.25,LV,2,BAL,0.0,2.0,0.0,0.7,0.5,0.0,0.3,0.0,25.5,6.2
32,2024.33,TB,2,DET,0.0,2.2,0.0,0.8,0.5,0.0,0.3,0.0,29.1,5.6
