rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19781,Lamar Jackson,BAL,QB,5,CIN,218.1,1.4,0.7,56.4,0.4,0.0,0.0,0.0,,,0.0,0.0,21.4
2,23235,Jayden Daniels,WAS,QB,5,CLE,199.5,1.3,0.8,52.8,0.6,0.0,0.0,0.0,,,0.0,0.0,21.0
3,19801,Josh Allen,BUF,QB,5,HOU,235.4,1.6,0.8,32.3,0.5,0.0,0.0,0.0,,,0.0,0.0,20.9
4,23241,Brock Purdy,SF,QB,5,ARI,256.8,1.8,0.7,14.5,0.2,0.0,0.0,0.0,,,0.0,0.0,19.2
5,21841,Jordan Love,GB,QB,5,LAR,247.2,1.9,0.8,11.3,0.1,0.0,0.0,0.0,,,0.0,0.0,18.2
6,21693,Joe Burrow,CIN,QB,5,BAL,255.7,1.8,0.7,10.8,0.1,0.0,0.0,0.0,,,0.0,0.0,18.2
7,23239,C.J. Stroud,HOU,QB,5,BUF,261.9,1.7,0.7,11.4,0.1,0.0,0.0,0.0,,,0.0,0.0,18.1
8,18878,Alvin Kamara,NO,RB,5,KC,0.0,0.0,0.0,69.6,0.4,4.1,34.2,0.2,,,0.0,0.0,18.0
9,23212,Kyren Williams,LAR,RB,5,GB,0.0,0.0,0.0,79.4,0.8,2.9,19.2,0.1,,,0.0,0.0,18.0
10,22492,Justin Fields,PIT,QB,5,DAL,189.3,1.2,0.7,43.8,0.4,0.0,0.0,0.0,,,0.0,0.0,17.9
11,20889,Kyler Murray,ARI,QB,5,SF,210.4,1.2,0.7,37.5,0.3,0.0,0.0,0.0,,,0.0,0.0,17.9
12,21756,Nico Collins,HOU,WR,5,BUF,0.0,0.0,0.0,0.3,0.0,6.1,87.0,0.5,,,0.0,0.0,17.7
13,18890,Patrick Mahomes,KC,QB,5,NO,232.5,1.5,0.8,20.6,0.2,0.0,0.0,0.0,,,0.0,0.0,17.6
14,21679,CeeDee Lamb,DAL,WR,5,PIT,0.0,0.0,0.0,6.8,0.1,5.5,77.8,0.5,,,0.0,0.0,17.5
15,14895,Geno Smith,SEA,QB,5,NYG,251.2,1.6,0.7,12.9,0.1,0.0,0.0,0.0,,,0.0,0.0,17.4
