"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Jayden Daniels","QB","WAS","TEN","22.9","32","21","235","1.29","0.58","9.3","52.8","0.64","-","-","-","-","-","-","-","-"
"2","Jalen Hurts","QB","PHI","BLT","22.8","30","20","233","1.25","0.53","10.0","44.7","0.80","-","-","-","-","-","-","-","-"
"3","Alvin Kamara","RB","NO","LA","22.6","","0","0","0","0","18.0","80.2","0.58","5.5","45.2","0.20","-","-","-","-","-"
"4","Lamar Jackson","QB","BLT","PHI","21.6","30","19","231","1.78","0.47","7.3","41.7","0.28","-","-","-","-","-","-","-","-"
"5","Joe Mixon","RB","HST","JAX","21.5","","0","0","0","0","22.7","93.5","0.88","3.4","27.1","0.15","-","-","-","-","-"
"6","Patrick Mahomes","QB","KC","LV","20.5","37","26","260","2.05","0.81","3.4","20.7","0.13","-","-","-","-","-","-","-","-"
"7","Anthony Richardson","QB","IND","NE","20.2","30","16","214","1.05","0.70","8.9","46.8","0.65","-","-","-","-","-","-","-","-"
"8","Josh Allen","QB","BUF","SF","20.2","32","20","229","1.38","0.72","6.7","32.9","0.52","-","-","-","-","-","-","-","-"
"9","Chase Brown","RB","CIN","PIT","20.1","","0","0","0","0","18.6","78.3","0.57","4.8","32.1","0.17","-","-","-","-","-"
"10","Puka Nacua","WR","LA","NO","20.1","","0","0","0","0","0.4","2.0","0.02","7.1","95.8","0.52","-","-","-","-","-"
"11","Joe Burrow","QB","CIN","PIT","19.9","39","26","284","1.94","0.71","2.5","10.6","0.10","-","-","-","-","-","-","-","-"
"12","Bijan Robinson","RB","ATL","LAC","19.7","","0","0","0","0","17.0","79.5","0.50","4.5","34.9","0.14","-","-","-","-","-"
"13","Tee Higgins","WR","CIN","PIT","19.6","","0","0","0","0","-","-","-","6.8","87.8","0.68","-","-","-","-","-"
"14","Ja'Marr Chase","WR","CIN","PIT","19.5","","0","0","0","0","0.1","0.6","0.01","6.7","89.3","0.64","-","-","-","-","-"
"15","Justin Herbert","QB","LAC","ATL","19.4","33","22","250","1.67","0.41","4.0","22.3","0.17","-","-","-","-","-","-","-","-"
"16","Cooper Kupp","WR","LA","NO","19.3","","0","0","0","0","0.1","0.6","0.01","7.1","82.4","0.64","-","-","-","-","-"
"17","Saquon Barkley","RB","PHI","BLT","19.0","","0","0","0","0","19.4","97.0","0.68","2.5","21.3","0.11","-","-","-","-","-"
"18","Bo Nix","QB","DEN","CLV","18.5","32","21","230","1.46","0.43","4.6","26.3","0.24","-","-","-","-","-","-","-","-"
"19","Kyren Williams","RB","LA","NO","18.4","","0","0","0","0","19.3","83.1","0.89","2.6","16.2","0.12","-","-","-","-","-"
"20","Amon-Ra St. Brown","WR","DET","CHI","18.1","","0","0","0","0","0.1","0.6","0.01","6.4","75.8","0.68","-","-","-","-","-"
"21","Chuba Hubbard","RB","CAR","TB","18.0","","0","0","0","0","17.3","79.1","0.62","3.6","22.0","0.12","-","-","-","-","-"
"22","Breece Hall","RB","NYJ","SEA","18.0","","0","0","0","0","15.4","68.8","0.46","4.0","35.5","0.15","-","-","-","-","-"
"23","Sam Darnold","QB","MIN","ARZ","17.8","33","22","255","1.63","0.82","4.4","15.0","0.13","-","-","-","-","-","-","-","-"
"24","Kenneth Walker III","RB","SEA","NYJ","17.8","","0","0","0","0","17.4","65.7","0.73","3.5","28.3","0.10","-","-","-","-","-"
"25","Jahmyr Gibbs","RB","DET","CHI","17.7","","0","0","0","0","15.7","81.8","0.80","2.1","21.8","0.07","-","-","-","-","-"
