"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Washington Commanders","DST","WAS","TEN","9.6","3.8","0.9","0.6","0.2","0.0","-","-","-","-"
"2","Dallas Cowboys","DST","DAL","NYG","9.2","3.0","0.8","0.6","0.2","0.0","-","-","-","-"
"3","Buffalo Bills","DST","BUF","SF","9.1","2.4","1.0","0.6","0.2","0.0","-","-","-","-"
"4","Denver Broncos","DST","DEN","CLV","9.1","3.2","0.9","0.5","0.2","0.0","-","-","-","-"
"5","Indianapolis Colts","DST","IND","NE","8.7","2.9","0.9","0.6","0.2","0.0","-","-","-","-"
"6","Detroit Lions","DST","DET","CHI","8.4","3.2","0.7","0.5","0.2","0.0","-","-","-","-"
"7","Houston Texans","DST","HST","JAX","8.4","2.6","0.8","0.5","0.2","0.0","-","-","-","-"
"8","Kansas City Chiefs","DST","KC","LV","8.2","2.2","0.7","0.4","0.2","0.0","-","-","-","-"
"9","New York Jets","DST","NYJ","SEA","8.2","3.2","0.8","0.5","0.2","0.0","-","-","-","-"
"10","Tampa Bay Buccaneers","DST","TB","CAR","7.6","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"11","Arizona Cardinals","DST","ARZ","MIN","7.5","3.0","0.8","0.6","0.2","0.0","-","-","-","-"
"12","Los Angeles Chargers","DST","LAC","ATL","7.3","2.8","0.8","0.5","0.2","0.0","-","-","-","-"
"13","Seattle Seahawks","DST","SEA","NYJ","7.1","2.3","0.7","0.4","0.1","0.0","-","-","-","-"
"14","Minnesota Vikings","DST","MIN","ARZ","6.9","2.3","0.6","0.5","0.1","0.0","-","-","-","-"
"15","New York Giants","DST","NYG","DAL","6.8","2.3","0.5","0.5","0.1","0.0","-","-","-","-"
"16","New England Patriots","DST","NE","IND","6.5","2.0","0.7","0.6","0.2","0.0","-","-","-","-"
"17","Green Bay Packers","DST","GB","MIA","6.4","2.2","0.7","0.5","0.2","0.0","-","-","-","-"
"18","Jacksonville Jaguars","DST","JAX","HST","6.3","2.5","0.8","0.4","0.2","0.0","-","-","-","-"
"19","Pittsburgh Steelers","DST","PIT","CIN","6.3","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"20","Tennessee Titans","DST","TEN","WAS","6.1","2.7","0.6","0.4","0.1","0.0","-","-","-","-"
"21","New Orleans Saints","DST","NO","LA","6.0","2.3","0.8","0.5","0.2","0.0","-","-","-","-"
"22","Los Angeles Rams","DST","LA","NO","5.9","1.9","0.6","0.4","0.1","0.0","-","-","-","-"
"23","Miami Dolphins","DST","MIA","GB","5.8","1.6","1.0","0.5","0.2","0.0","-","-","-","-"
"24","Cincinnati Bengals","DST","CIN","PIT","5.8","2.2","0.5","0.5","0.1","0.0","-","-","-","-"
"25","Baltimore Ravens","DST","BLT","PHI","5.7","2.8","0.5","0.5","0.2","0.0","-","-","-","-"
"26","Cleveland Browns","DST","CLV","DEN","5.5","2.4","0.4","0.4","0.1","0.0","-","-","-","-"
"27","Carolina Panthers","DST","CAR","TB","5.3","2.0","0.7","0.6","0.2","0.0","-","-","-","-"
"28","Las Vegas Raiders","DST","LV","KC","5.2","2.1","0.8","0.5","0.2","0.0","-","-","-","-"
"29","San Francisco 49ers","DST","SF","BUF","5.0","1.9","0.7","0.4","0.2","0.0","-","-","-","-"
"30","Atlanta Falcons","DST","ATL","LAC","4.6","1.8","0.4","0.4","0.1","0.0","-","-","-","-"
"31","Chicago Bears","DST","CHI","DET","4.4","2.1","0.7","0.4","0.2","0.0","-","-","-","-"
"32","Philadelphia Eagles","DST","PHI","BLT","4.2","1.8","0.5","0.4","0.1","0.0","-","-","-","-"
