"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Indianapolis Colts","DST","IND","CHI","7.6","4.0","0.7","0.5","0.2","0.0","-","-","-","-"
"2","Green Bay Packers","DST","GB","TEN","7.6","3.0","1.1","0.6","0.2","0.0","-","-","-","-"
"3","New York Giants","DST","NYG","CLV","7.4","3.4","0.8","0.6","0.2","0.0","-","-","-","-"
"4","Cincinnati Bengals","DST","CIN","WAS","7.1","3.1","0.7","0.8","0.2","0.0","-","-","-","-"
"5","Houston Texans","DST","HST","MIN","7.1","2.8","1.0","0.6","0.2","0.0","-","-","-","-"
"6","Chicago Bears","DST","CHI","IND","7.0","2.2","1.2","0.6","0.2","0.0","-","-","-","-"
"7","New Orleans Saints","DST","NO","PHI","6.9","2.4","1.1","0.5","0.2","0.0","-","-","-","-"
"8","Cleveland Browns","DST","CLV","NYG","6.9","3.1","0.8","0.5","0.2","0.0","-","-","-","-"
"9","Buffalo Bills","DST","BUF","JAX","6.9","2.8","0.9","0.5","0.2","0.0","-","-","-","-"
"10","Baltimore Ravens","DST","BLT","DAL","6.8","2.7","1.0","0.5","0.2","0.0","-","-","-","-"
"11","Tampa Bay Buccaneers","DST","TB","DEN","6.7","1.7","1.4","0.3","0.2","0.0","-","-","-","-"
"12","Minnesota Vikings","DST","MIN","HST","6.4","3.3","0.5","0.5","0.2","0.0","-","-","-","-"
"13","San Francisco 49ers","DST","SF","LA","6.4","2.9","0.8","0.4","0.2","0.0","-","-","-","-"
"14","Dallas Cowboys","DST","DAL","BLT","6.3","2.6","0.8","0.5","0.2","0.0","-","-","-","-"
"15","Detroit Lions","DST","DET","ARZ","6.1","2.6","0.7","0.6","0.2","0.0","-","-","-","-"
"16","Carolina Panthers","DST","CAR","LV","5.8","2.8","0.5","0.5","0.1","0.0","-","-","-","-"
"17","Atlanta Falcons","DST","ATL","KC","5.8","2.3","0.8","0.5","0.2","0.0","-","-","-","-"
"18","Denver Broncos","DST","DEN","TB","5.7","2.5","0.6","0.5","0.2","0.0","-","-","-","-"
"19","New York Jets","DST","NYJ","NE","5.5","2.3","0.6","0.5","0.1","0.0","-","-","-","-"
"20","Los Angeles Rams","DST","LA","SF","5.4","2.1","0.7","0.4","0.2","0.0","-","-","-","-"
"21","Arizona Cardinals","DST","ARZ","DET","5.3","1.9","0.7","0.4","0.2","0.0","-","-","-","-"
"22","Kansas City Chiefs","DST","KC","ATL","5.2","2.2","0.6","0.5","0.1","0.0","-","-","-","-"
"23","Seattle Seahawks","DST","SEA","MIA","5.2","2.1","0.6","0.5","0.1","0.0","-","-","-","-"
"24","Los Angeles Chargers","DST","LAC","PIT","5.2","2.5","0.3","0.6","0.1","0.0","-","-","-","-"
"25","Pittsburgh Steelers","DST","PIT","LAC","5.2","1.7","0.8","0.4","0.2","0.0","-","-","-","-"
"26","New England Patriots","DST","NE","NYJ","5.1","2.2","0.6","0.4","0.1","0.0","-","-","-","-"
"27","Washington Commanders","DST","WAS","CIN","5.1","2.4","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Miami Dolphins","DST","MIA","SEA","5.0","2.5","0.5","0.4","0.1","0.0","-","-","-","-"
"29","Las Vegas Raiders","DST","LV","CAR","4.9","2.4","0.4","0.4","0.1","0.0","-","-","-","-"
"30","Tennessee Titans","DST","TEN","GB","4.9","2.2","0.3","0.6","0.1","0.0","-","-","-","-"
"31","Philadelphia Eagles","DST","PHI","NO","4.7","1.7","0.6","0.4","0.1","0.0","-","-","-","-"
"32","Jacksonville Jaguars","DST","JAX","BUF","4.2","1.7","0.4","0.4","0.1","0.0","-","-","-","-"
