"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Kyler Murray",ARI,"at SEA","5 out of 5 stars","A+","25.5"
"2","Patrick Mahomes II",KC,"at LV","3 out of 5 stars","A","24.9"
"3","Russell Wilson",SEA,"vs. ARI","4 out of 5 stars","A","23.6"
"4","Justin Herbert",LAC,"vs. NYJ","4 out of 5 stars","A","22.7"
"5","Lamar Jackson",BAL,"vs. TEN","5 out of 5 stars","A-","21.7"
"6","Ben Roethlisberger",PIT,"at JAC","5 out of 5 stars","B+","20.7"
"7","Deshaun Watson",HOU,"vs. NE","1 out of 5 stars","B","20.0"
"8","Aaron Rodgers",GB,"at IND","1 out of 5 stars","B","19.4"
"9","Matt Ryan",ATL,"at NO","3 out of 5 stars","B","18.9"
"10","Cam Newton",NE,"at HOU","3 out of 5 stars","B","18.4"
"11","Tom Brady",TB,"vs. LAR","1 out of 5 stars","B-","18.0"
"12","Jameis Winston",NO,"vs. ATL","5 out of 5 stars","C+","17.7"
"13","Carson Wentz",PHI,"at CLE","3 out of 5 stars","C+","17.4"
"14","Joe Burrow",CIN,"at WAS","3 out of 5 stars","C","17.2"
"15","Derek Carr",LV,"vs. KC","3 out of 5 stars","C","16.9"
"16","Matthew Stafford",DET,"at CAR","2 out of 5 stars","C","16.5"
"17","Tua Tagovailoa",MIA,"at DEN","3 out of 5 stars","C-","16.3"
"18","Kirk Cousins",MIN,"vs. DAL","4 out of 5 stars","D+","16.1"
"19","Ryan Tannehill",TEN,"at BAL","3 out of 5 stars","D+","15.9"
"20","Philip Rivers",IND,"vs. GB","2 out of 5 stars","D","15.7"
"21","Jared Goff",LAR,"at TB","2 out of 5 stars","D","15.6"
"22","Alex Smith",WAS,"vs. CIN","5 out of 5 stars","D-","15.4"
"23","Andy Dalton",DAL,"at MIN","3 out of 5 stars","F","15.2"
"24","Baker Mayfield",CLE,"vs. PHI","4 out of 5 stars","F","14.9"
"25","Teddy Bridgewater",CAR,"vs. DET","4 out of 5 stars","F","14.3"
"26","Drew Lock",DEN,"vs. MIA","3 out of 5 stars","F","13.8"
"27","Jake Luton",JAC,"vs. PIT","1 out of 5 stars","F","13.1"
"28","Joe Flacco",NYJ,"at LAC","4 out of 5 stars","F","6.6"
"29","Taysom Hill",NO,"vs. ATL","5 out of 5 stars","F","12.6"
"30","Phillip Walker",CAR,"vs. DET","4 out of 5 stars","F","4.3"
"31","Jalen Hurts",PHI,"at CLE","3 out of 5 stars","F","1.9"
"32","Sam Darnold",NYJ,"at LAC","4 out of 5 stars","F","1.0"
"33","Chase Daniel",DET,"at CAR","2 out of 5 stars","F","1.0"
"34","Brett Rypien",DEN,"vs. MIA","3 out of 5 stars","F","1.0"
"35","Jarrett Stidham",NE,"at HOU","3 out of 5 stars","F","0.9"
"36","Jacoby Brissett",IND,"vs. GB","2 out of 5 stars","F","0.9"
"37","Mike Glennon",JAC,"vs. PIT","1 out of 5 stars","F","0.9"
"38","Dwayne Haskins",WAS,"vs. CIN","5 out of 5 stars","F","0.9"
"39","Robert Griffin III",BAL,"vs. TEN","5 out of 5 stars","F","0.9"
"40","Mason Rudolph",PIT,"at JAC","5 out of 5 stars","F","0.9"
"41","Mike White",NYJ,"at LAC","4 out of 5 stars","F","0.9"
"42","Garrett Gilbert",DAL,"at MIN","3 out of 5 stars","F","0.8"
