"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"vs. PHI","3 out of 5 stars","A+","14.8"
"2","Tyreek Hill",KC,"vs. DEN","2 out of 5 stars","A+","14.4"
"3","D.K. Metcalf",SEA,"vs. NYG","3 out of 5 stars","A+","13.8"
"4","A.J. Brown",TEN,"vs. CLE","3 out of 5 stars","A+","12.6"
"5","Adam Thielen",MIN,"vs. JAC","4 out of 5 stars","A+","12.0"
"6","Stefon Diggs",BUF,"at SF","2 out of 5 stars","A+","12.0"
"7","Keenan Allen",LAC,"vs. NE","3 out of 5 stars","A","11.7"
"8","Justin Jefferson",MIN,"vs. JAC","4 out of 5 stars","A","11.6"
"9","Calvin Ridley",ATL,"vs. NO","2 out of 5 stars","A","11.5"
"10","Tyler Lockett",SEA,"vs. NYG","3 out of 5 stars","A","11.4"
"11","Terry McLaurin",WAS,"at PIT","4 out of 5 stars","A","11.3"
"12","Allen Robinson II",CHI,"vs. DET","4 out of 5 stars","A","11.2"
"13","DeAndre Hopkins",ARI,"vs. LAR","1 out of 5 stars","A","11.1"
"14","Robert Woods",LAR,"at ARI","3 out of 5 stars","A-","11.0"
"15","Cooper Kupp",LAR,"at ARI","3 out of 5 stars","A-","10.9"
"16","Brandin Cooks",HOU,"vs. IND","2 out of 5 stars","A-","10.8"
"17","DeVante Parker",MIA,"vs. CIN","5 out of 5 stars","A-","10.8"
"18","Julio Jones",ATL,"vs. NO","2 out of 5 stars","A-","10.6"
"19","Diontae Johnson",PIT,"vs. WAS","2 out of 5 stars","A-","10.2"
"20","Deebo Samuel",SF,"vs. BUF","2 out of 5 stars","B+","10.1"
"21","Chase Claypool",PIT,"vs. WAS","2 out of 5 stars","B+","9.8"
"22","Michael Thomas",NO,"at ATL","5 out of 5 stars","B+","9.6"
"23","Amari Cooper",DAL,"at BAL","2 out of 5 stars","B","9.3"
"24","JuJu Smith-Schuster",PIT,"vs. WAS","2 out of 5 stars","B","9.3"
"25","Jarvis Landry",CLE,"at TEN","4 out of 5 stars","B","9.2"
"26","Corey Davis",TEN,"vs. CLE","3 out of 5 stars","B","9.1"
"27","D.J. Chark Jr.",JAC,"at MIN","4 out of 5 stars","B","9.0"
"28","Michael Pittman Jr.",IND,"at HOU","4 out of 5 stars","B","8.9"
"29","Marvin Jones Jr.",DET,"at CHI","1 out of 5 stars","B-","8.8"
"30","CeeDee Lamb",DAL,"at BAL","2 out of 5 stars","C+","8.5"
"31","Cole Beasley",BUF,"at SF","2 out of 5 stars","B-","8.5"
"32","Brandon Aiyuk",SF,"vs. BUF","2 out of 5 stars","B-","8.3"
"33","Jakobi Meyers",NE,"at LAC","2 out of 5 stars","C+","8.0"
"34","Mike Williams",LAC,"vs. NE","3 out of 5 stars","C+","7.8"
"35","Sterling Shepard",NYG,"at SEA","5 out of 5 stars","C+","7.6"
"36","Tyler Boyd",CIN,"at MIA","3 out of 5 stars","C+","7.2"
"37","Breshad Perriman",NYJ,"vs. LV","3 out of 5 stars","C+","7.2"
"38","Tee Higgins",CIN,"at MIA","3 out of 5 stars","C+","7.0"
"39","Jerry Jeudy",DEN,"at KC","2 out of 5 stars","C","7.0"
"40","Marquise Brown",BAL,"vs. DAL","5 out of 5 stars","C","7.0"
"41","T.Y. Hilton",IND,"at HOU","4 out of 5 stars","C","6.6"
"42","Christian Kirk",ARI,"vs. LAR","1 out of 5 stars","C","6.6"
"43","Denzel Mims",NYJ,"vs. LV","3 out of 5 stars","C","6.5"
"44","Darius Slayton",NYG,"at SEA","5 out of 5 stars","C","6.5"
"45","Nelson Agholor",LV,"at NYJ","4 out of 5 stars","C","6.4"
"46","Jamison Crowder",NYJ,"vs. LV","3 out of 5 stars","C","6.4"
"47","Allen Lazard",GB,"vs. PHI","3 out of 5 stars","C","6.3"
"48","Sammy Watkins",KC,"vs. DEN","2 out of 5 stars","C","6.2"
"49","Tim Patrick",DEN,"at KC","2 out of 5 stars","C","6.1"
"50","Keke Coutee",HOU,"vs. IND","2 out of 5 stars","C-","6.0"
"51","Henry Ruggs III",LV,"at NYJ","4 out of 5 stars","C-","5.9"
"52","Jalen Reagor",PHI,"at GB","3 out of 5 stars","C-","5.8"
"53","Gabriel Davis",BUF,"at SF","2 out of 5 stars","C-","5.8"
"54","Keelan Cole Sr.",JAC,"at MIN","4 out of 5 stars","C-","5.6"
"55","Rashard Higgins",CLE,"at TEN","4 out of 5 stars","C-","5.5"
"56","Darnell Mooney",CHI,"vs. DET","4 out of 5 stars","D+","5.5"
"57","Josh Reynolds",LAR,"at ARI","3 out of 5 stars","C-","5.5"
"58","Michael Gallup",DAL,"at BAL","2 out of 5 stars","D","5.5"
"59","Anthony Miller",CHI,"vs. DET","4 out of 5 stars","D","5.4"
"60","Laviska Shenault Jr.",JAC,"at MIN","4 out of 5 stars","D","5.4"
"61","Marquez Valdes-Scantling",GB,"vs. PHI","3 out of 5 stars","D","5.3"
"62","Hunter Renfrow",LV,"at NYJ","4 out of 5 stars","D","5.3"
"63","Russell Gage",ATL,"vs. NO","2 out of 5 stars","D","4.9"
"64","Damiere Byrd",NE,"at LAC","2 out of 5 stars","D","4.9"
"65","Emmanuel Sanders",NO,"at ATL","5 out of 5 stars","D-","4.8"
"66","KJ Hamler",DEN,"at KC","2 out of 5 stars","D-","4.8"
"67","Travis Fulgham",PHI,"at GB","3 out of 5 stars","D-","4.8"
"68","David Moore",SEA,"vs. NYG","3 out of 5 stars","D-","4.7"
"69","Demarcus Robinson",KC,"vs. DEN","2 out of 5 stars","F","4.7"
"70","Mecole Hardman",KC,"vs. DEN","2 out of 5 stars","F","4.7"
"71","Jakeem Grant",MIA,"vs. CIN","5 out of 5 stars","F","4.6"
"72","Dez Bryant",BAL,"vs. DAL","5 out of 5 stars","D+","4.6"
"73","Andy Isabella",ARI,"vs. LAR","1 out of 5 stars","F","4.6"
"74","Golden Tate",NYG,"at SEA","5 out of 5 stars","F","4.6"
"75","Zach Pascal",IND,"at HOU","4 out of 5 stars","F","4.4"
"76","Cam Sims",WAS,"at PIT","4 out of 5 stars","F","4.3"
"77","A.J. Green",CIN,"at MIA","3 out of 5 stars","F","4.2"
"78","Cordarrelle Patterson",CHI,"vs. DET","4 out of 5 stars","F","4.2"
"79","Jalen Guyton",LAC,"vs. NE","3 out of 5 stars","F","4.2"
"80","Richie James Jr.",SF,"vs. BUF","2 out of 5 stars","F","4.0"
"81","Alshon Jeffery",PHI,"at GB","3 out of 5 stars","F","4.0"
"82","Adam Humphries",TEN,"vs. CLE","3 out of 5 stars","F","3.8"
"83","N'Keal Harry",NE,"at LAC","2 out of 5 stars","F","3.7"
"84","Collin Johnson",JAC,"at MIN","4 out of 5 stars","F","3.6"
"85","Kendrick Bourne",SF,"vs. BUF","2 out of 5 stars","F","3.5"
"86","Greg Ward",PHI,"at GB","3 out of 5 stars","F","3.4"
"87","Devin Duvernay",BAL,"vs. DAL","5 out of 5 stars","F","3.4"
"88","Danny Amendola",DET,"at CHI","1 out of 5 stars","F","3.3"
"89","Olabisi Johnson",MIN,"vs. JAC","4 out of 5 stars","F","3.3"
"90","Chad Beebe",MIN,"vs. JAC","4 out of 5 stars","F","3.3"
"91","James Washington",PIT,"vs. WAS","2 out of 5 stars","F","3.3"
"92","Quintez Cephus",DET,"at CHI","1 out of 5 stars","F","3.2"
"93","Steven Sims",WAS,"at PIT","4 out of 5 stars","F","3.2"
"94","Tre'Quan Smith",NO,"at ATL","5 out of 5 stars","F","3.1"
"95","Mohamed Sanu",DET,"at CHI","1 out of 5 stars","F","3.1"
"96","Mack Hollins",MIA,"vs. CIN","5 out of 5 stars","F","2.9"
"97","Tyron Johnson",LAC,"vs. NE","3 out of 5 stars","F","2.9"
"98","Miles Boykin",BAL,"vs. DAL","5 out of 5 stars","F","2.8"
"99","Christian Blake",ATL,"vs. NO","2 out of 5 stars","F","2.8"
"100","Bryan Edwards",LV,"at NYJ","4 out of 5 stars","F","2.8"
"101","Equanimeous St. Brown",GB,"vs. PHI","3 out of 5 stars","F","2.8"
"102","Donovan Peoples-Jones",CLE,"at TEN","4 out of 5 stars","F","2.7"
"103","Cedrick Wilson",DAL,"at BAL","2 out of 5 stars","F","2.6"
"104","Ray-Ray McCloud",PIT,"vs. WAS","2 out of 5 stars","F","2.6"
