"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Seattle Seahawks",SEA,"vs. NYJ","3 out of 5 stars","A+","8.9"
"2","New Orleans Saints",NO,"at PHI","5 out of 5 stars","A","8.6"
"3","Los Angeles Rams",LAR,"vs. NE","4 out of 5 stars","A-","8.5"
"4","Tampa Bay Buccaneers",TB,"vs. MIN","5 out of 5 stars","B","8.0"
"5","Kansas City Chiefs",KC,"at MIA","4 out of 5 stars","B+","7.3"
"6","Baltimore Ravens",BAL,"at CLE","1 out of 5 stars","B","7.1"
"7","Carolina Panthers",CAR,"vs. DEN","5 out of 5 stars","B+","7.0"
"8","San Francisco 49ers",SF,"vs. WAS","5 out of 5 stars","B","7.0"
"9","Pittsburgh Steelers",PIT,"at BUF","2 out of 5 stars","B-","6.7"
"10","Washington Football Team",WAS,"at SF","4 out of 5 stars","B-","6.5"
"11","Tennessee Titans",TEN,"at JAC","3 out of 5 stars","B-","6.5"
"12","Dallas Cowboys",DAL,"at CIN","3 out of 5 stars","C+","6.5"
"13","Green Bay Packers",GB,"at DET","3 out of 5 stars","C+","6.5"
"14","New England Patriots",NE,"at LAR","4 out of 5 stars","C","6.5"
"15","Indianapolis Colts",IND,"at LV","3 out of 5 stars","C-","6.4"
"16","New York Giants",NYG,"vs. ARI","3 out of 5 stars","C","6.4"
"17","Arizona Cardinals",ARI,"at NYG","4 out of 5 stars","C-","6.4"
"18","Chicago Bears",CHI,"vs. HOU","2 out of 5 stars","C","6.3"
"19","Denver Broncos",DEN,"at CAR","3 out of 5 stars","D+","6.2"
"20","Houston Texans",HOU,"at CHI","4 out of 5 stars","D","6.2"
"21","Los Angeles Chargers",LAC,"vs. ATL","3 out of 5 stars","D-","6.1"
"22","Cincinnati Bengals",CIN,"vs. DAL","4 out of 5 stars","D","6.1"
"23","Buffalo Bills",BUF,"vs. PIT","1 out of 5 stars","F","6.0"
"24","Cleveland Browns",CLE,"vs. BAL","4 out of 5 stars","F","5.9"
"25","Las Vegas Raiders",LV,"vs. IND","3 out of 5 stars","F","5.8"
"26","Atlanta Falcons",ATL,"at LAC","1 out of 5 stars","F","5.7"
"27","Minnesota Vikings",MIN,"at TB","3 out of 5 stars","F","5.6"
"28","Miami Dolphins",MIA,"vs. KC","1 out of 5 stars","F","5.4"
"29","Philadelphia Eagles",PHI,"vs. NO","3 out of 5 stars","F","5.4"
"30","Detroit Lions",DET,"vs. GB","1 out of 5 stars","F","5.1"
"31","New York Jets",NYJ,"at SEA","3 out of 5 stars","F","4.9"
"32","Jacksonville Jaguars",JAC,"vs. TEN","1 out of 5 stars","F","4.3"
