"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Derrick Henry",TEN,"at JAC","5 out of 5 stars","A+","19.4"
"2","Aaron Jones",GB,"at DET","5 out of 5 stars","A+","16.5"
"3","James Robinson",JAC,"vs. TEN","5 out of 5 stars","A+","15.5"
"4","Dalvin Cook",MIN,"at TB","1 out of 5 stars","A","15.4"
"5","Nick Chubb",CLE,"vs. BAL","2 out of 5 stars","A","14.6"
"6","David Montgomery",CHI,"vs. HOU","5 out of 5 stars","A","14.0"
"7","Chris Carson",SEA,"vs. NYJ","3 out of 5 stars","A","13.2"
"8","Austin Ekeler",LAC,"vs. ATL","1 out of 5 stars","A","13.1"
"9","Jonathan Taylor",IND,"at LV","5 out of 5 stars","A","12.8"
"10","Ezekiel Elliott",DAL,"at CIN","3 out of 5 stars","A-","12.5"
"11","Alvin Kamara",NO,"at PHI","2 out of 5 stars","A-","12.1"
"12","Ronald Jones II",TB,"vs. MIN","2 out of 5 stars","B+","11.8"
"13","Myles Gaskin",MIA,"vs. KC","3 out of 5 stars","B+","11.3"
"14","J.K. Dobbins",BAL,"at CLE","3 out of 5 stars","B+","11.0"
"15","Wayne Gallman",NYG,"vs. ARI","2 out of 5 stars","B+","10.6"
"16","Melvin Gordon III",DEN,"at CAR","4 out of 5 stars","B","10.3"
"17","Kenyan Drake",ARI,"at NYG","3 out of 5 stars","B","10.2"
"18","Clyde Edwards-Helaire",KC,"at MIA","3 out of 5 stars","B","10.0"
"19","Raheem Mostert",SF,"vs. WAS","1 out of 5 stars","B","10.2"
"20","James Conner",PIT,"at BUF","4 out of 5 stars","B","9.7"
"21","Cam Akers",LAR,"vs. NE","3 out of 5 stars","B","9.5"
"22","Miles Sanders",PHI,"vs. NO","1 out of 5 stars","B-","9.5"
"23","Giovani Bernard",CIN,"vs. DAL","4 out of 5 stars","B-","9.4"
"24","Kareem Hunt",CLE,"vs. BAL","2 out of 5 stars","B-","9.1"
"25","David Johnson",HOU,"at CHI","2 out of 5 stars","B-","9.0"
"26","Damien Harris",NE,"at LAR","2 out of 5 stars","C+","8.8"
"27","Ty Johnson",NYJ,"at SEA","3 out of 5 stars","C+","8.6"
"28","Devin Singletary",BUF,"vs. PIT","1 out of 5 stars","C","8.5"
"29","Devontae Booker",LV,"vs. IND","3 out of 5 stars","C","8.5"
"30","Latavius Murray",NO,"at PHI","2 out of 5 stars","C","8.2"
"31","J.D. McKissic",WAS,"at SF","2 out of 5 stars","C","8.0"
"32","Nyheim Hines",IND,"at LV","5 out of 5 stars","C","7.7"
"33","Adrian Peterson",DET,"vs. GB","5 out of 5 stars","C","7.2"
"34","Todd Gurley II",ATL,"at LAC","4 out of 5 stars","C","7.0"
"35","Leonard Fournette",TB,"vs. MIN","2 out of 5 stars","C-","7.0"
"36","Mike Davis",CAR,"vs. DEN","2 out of 5 stars","C+","6.9"
"37","Zack Moss",BUF,"vs. PIT","1 out of 5 stars","C-","6.8"
"38","D'Andre Swift",DET,"vs. GB","5 out of 5 stars","C+","6.4"
"39","Jamaal Williams",GB,"at DET","5 out of 5 stars","C-","6.7"
"40","Chase Edmonds",ARI,"at NYG","3 out of 5 stars","C-","6.6"
"41","Peyton Barber",WAS,"at SF","2 out of 5 stars","D+","6.3"
"42","Darrell Henderson",LAR,"vs. NE","3 out of 5 stars","D+","6.3"
"43","Le'Veon Bell",KC,"at MIA","3 out of 5 stars","D","6.1"
"44","Phillip Lindsay",DEN,"at CAR","4 out of 5 stars","D","6.0"
"45","James White",NE,"at LAR","2 out of 5 stars","D","5.8"
"46","Carlos Hyde",SEA,"vs. NYJ","3 out of 5 stars","D-","5.7"
"47","Tony Pollard",DAL,"at CIN","3 out of 5 stars","D-","5.7"
"48","Gus Edwards",BAL,"at CLE","3 out of 5 stars","F","5.4"
"49","Kalen Ballage",LAC,"vs. ATL","1 out of 5 stars","F","5.2"
"50","Duke Johnson Jr.",HOU,"at CHI","2 out of 5 stars","F","5.0"
"51","Christian McCaffrey",CAR,"vs. DEN","2 out of 5 stars","C+","5.1"
"52","Kerryon Johnson",DET,"vs. GB","5 out of 5 stars","F","4.9"
"53","Ito Smith",ATL,"at LAC","4 out of 5 stars","F","4.8"
"54","Mark Ingram II",BAL,"at CLE","3 out of 5 stars","F","4.7"
"55","Jeff Wilson Jr.",SF,"vs. WAS","1 out of 5 stars","F","4.4"
"56","Benny Snell Jr.",PIT,"at BUF","4 out of 5 stars","F","4.4"
"57","Boston Scott",PHI,"vs. NO","1 out of 5 stars","F","4.4"
"58","Malcolm Brown",LAR,"vs. NE","3 out of 5 stars","F","4.4"
"59","Jalen Richard",LV,"vs. IND","3 out of 5 stars","F","4.3"
"60","Brian Hill",ATL,"at LAC","4 out of 5 stars","F","4.1"
"61","Sony Michel",NE,"at LAR","2 out of 5 stars","F","3.7"
"62","Samaje Perine",CIN,"vs. DAL","4 out of 5 stars","F","4.0"
"63","Alfred Morris",NYG,"vs. ARI","2 out of 5 stars","F","3.8"
"64","Jordan Wilkins",IND,"at LV","5 out of 5 stars","F","3.6"
"65","Josh Adams",NYJ,"at SEA","3 out of 5 stars","F","3.5"
"66","Jerick McKinnon",SF,"vs. WAS","1 out of 5 stars","F","3.3"
"67","Anthony McFarland Jr.",PIT,"at BUF","4 out of 5 stars","F","3.1"
"68","Tevin Coleman",SF,"vs. WAS","1 out of 5 stars","F","3.1"
"69","Darrel Williams",KC,"at MIA","3 out of 5 stars","F","3.0"
"70","Jeremy McNichols",TEN,"at JAC","5 out of 5 stars","F","3.0"
"71","Patrick Laird",MIA,"vs. KC","3 out of 5 stars","F","2.9"
"72","Joshua Kelley",LAC,"vs. ATL","1 out of 5 stars","F","2.9"
"73","Jordan Howard",PHI,"vs. NO","1 out of 5 stars","F","2.9"
"74","Lynn Bowden Jr.",MIA,"vs. KC","3 out of 5 stars","F","2.6"
"75","Mike Boone",MIN,"at TB","1 out of 5 stars","F","2.5"
"76","Dion Lewis",NYG,"vs. ARI","2 out of 5 stars","F","2.5"
"77","Frank Gore",NYJ,"at SEA","3 out of 5 stars","F","2.5"
"78","Theo Riddick",LV,"vs. IND","3 out of 5 stars","F","2.5"
"79","DeeJay Dallas",SEA,"vs. NYJ","3 out of 5 stars","F","2.5"
"80","Josh Jacobs",LV,"vs. IND","3 out of 5 stars","F","2.3"
"81","Ameer Abdullah",MIN,"at TB","1 out of 5 stars","F","2.2"
"82","Kyle Juszczyk",SF,"vs. WAS","1 out of 5 stars","F","2.2"
"83","Dare Ogunbowale",JAC,"vs. TEN","5 out of 5 stars","F","2.2"
"84","D'Onta Foreman",TEN,"at JAC","5 out of 5 stars","F","2.2"
"85","Royce Freeman",DEN,"at CAR","4 out of 5 stars","F","2.1"
"86","Trayveon Williams",CIN,"vs. DAL","4 out of 5 stars","F","2.0"
"87","Ryan Nall",CHI,"vs. HOU","5 out of 5 stars","F","2.0"
"88","Justice Hill",BAL,"at CLE","3 out of 5 stars","F","1.8"
"89","Devine Ozigbo",JAC,"vs. TEN","5 out of 5 stars","F","1.7"
