"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Ezekiel Elliott (DAL) ","vs. ARI"," 6.8","A+","18.1","+1.2","56% (9/16)"
"2","Derrick Henry (TEN) ","vs. HOU"," 7.0","A+","16.4","+3.0","64% (9/14)"
"3","Jonathan Taylor (IND) ","vs. CIN"," 7.4","A","15.4","-0.2","60% (3/5)"
"4","James Robinson (JAC) ","vs. DET"," 8.6","A","14.6","+2.8","60% (3/5)"
"5","Alexander Mattison (MIN) ","vs. ATL"," 4.2","A","14.3","+1.1","53% (7/13)"
"6","Clyde Edwards-Helaire (KC) ","at BUF"," 4.8","A","14.2","-2.3","40% (2/5)"
"7","Mike Davis (CAR) ","vs. CHI"," 7.2","A","14.1","+2.3","41% (5/12)"
"8","Aaron Jones (GB) ","at TB"," 4.0","A","14.1","+2.9","60% (9/15)"
"9","Joe Mixon (CIN) ","at IND"," 5.2","A","13.9","+1.8","50% (8/16)"
"10","Kareem Hunt (CLE) ","at PIT"," 6.4","A","13.3","+2.7","84% (11/13)"
"11","David Montgomery (CHI) ","at CAR"," 8.0","A","13.0","-0.1","37% (6/16)"
"12","James Conner (PIT) ","vs. CLE"," 4.4","A-","12.8","-0.4","55% (5/9)"
"13","Miles Sanders (PHI) ","vs. BAL"," 3.6","A-","12.8","+1.4","53% (8/15)"
"14","Raheem Mostert (SF) ","vs. LAR"," 8.0","A-","12.6","+4.0","60% (9/15)"
"15","Todd Gurley II (ATL) ","at MIN"," 8.2","A-","12.5","-0.1","53% (8/15)"
"16","Ronald Jones II (TB) ","vs. GB"," 6.6","B+","12.0","+0.5","50% (8/16)"
"17","David Johnson (HOU) ","at TEN"," 6.4","B+","11.5","-3.1","21% (3/14)"
"18","Antonio Gibson (WAS) ","at NYG"," 7.0","B","11.4","+1.8","60% (3/5)"
"19","Devin Singletary (BUF) ","vs. KC"," 7.8","B","11.2","-0.8","46% (7/15)"
"20","Kenyan Drake (ARI) ","at DAL"," 8.2","B","10.8","+1.8","26% (4/15)"
"21","Melvin Gordon III (DEN) ","at NE"," 6.4","B","10.8","+0.7","53% (8/15)"
"22","Darrell Henderson (LAR) ","at SF"," 6.0","B-","10.4","+1.0","46% (7/15)"
"23","Mark Ingram II (BAL) ","at PHI"," 4.8","B-","10.1","-0.2","46% (7/15)"
"24","Devonta Freeman (NYG) ","vs. WAS"," 5.8","C+","9.8","+0.5","41% (5/12)"
"25","Myles Gaskin (MIA) ","vs. NYJ"," 7.2","B-","9.3","+1.5","58% (7/12)"
"26","Chase Edmonds (ARI) ","at DAL"," 5.6","C+","8.3","+2.8","41% (5/12)"
"27","Adrian Peterson (DET) ","at JAC"," 4.4","C+","8.0","+2.2","60% (9/15)"
"28","J.K. Dobbins (BAL) ","at PHI"," 3.8","C","7.4","+0.9","60% (3/5)"
"29","Malcolm Brown (LAR) ","at SF"," 6.2","C","7.1","+0.3","42% (6/14)"
"30","Damien Harris (NE) ","vs. DEN"," 2.8","C","6.5","+1.4","40% (2/5)"
"31","Cam Akers (LAR) ","at SF"," 6.6","C","6.5","-3.1","33% (1/3)"
"32","Jerick McKinnon (SF) ","vs. LAR"," 7.8","C","6.5","+2.3","80% (4/5)"
"33","D'Andre Swift (DET) ","at JAC"," 5.8","C","6.3","+2.3","75% (3/4)"
"34","Gus Edwards (BAL) ","at PHI"," 6.0","C","6.2","+1.1","37% (6/16)"
"35","Phillip Lindsay (DEN) ","at NE"," 5.4","C","6.1","-3.0","33% (4/12)"
"36","Rex Burkhead (NE) ","vs. DEN"," 5.2","C-","5.8","+1.8","46% (6/13)"
"37","James White (NE) ","vs. DEN"," 5.6","C-","5.6","+0.4","38% (5/13)"
"38","Nyheim Hines (IND) ","vs. CIN"," 6.6","C-","5.6","+1.0","56% (9/16)"
"39","Zack Moss (BUF) ","vs. KC"," 8.4","C-","5.4","-0.3","50% (1/2)"
"40","Brian Hill (ATL) ","at MIN"," 7.0","D+","5.4","+1.2","50% (8/16)"
"41","Duke Johnson Jr. (HOU) ","at TEN"," 6.0","D+","5.4","+0.5","50% (7/14)"
"42","J.D. McKissic (WAS) ","at NYG"," 8.2","D","5.4","-0.5","41% (7/17)"
"43","Leonard Fournette (TB) ","vs. GB"," 7.8","D","5.2","-2.3","14% (2/14)"
"44","Tony Pollard (DAL) ","vs. ARI"," 5.8","D","5.0","+1.4","40% (6/15)"
"45","D'Ernest Johnson (CLE) ","at PIT"," 6.0","D","4.8","-0.1","13% (2/15)"
"46","Frank Gore (NYJ) ","at MIA"," 9.2","D+","4.8","-2.6","12% (2/16)"
"47","Mike Boone (MIN) ","vs. ATL"," 3.6","F","4.7","+1.2","25% (4/16)"
"48","Darrel Williams (KC) ","at BUF"," 3.4","D-","4.6","-0.5","27% (3/11)"
"49","Wayne Gallman (NYG) ","vs. WAS"," 5.2","F","4.5","-0.8","27% (3/11)"
"50","Chris Thompson (JAC) ","vs. DET"," 6.4","F","3.9","-1.9","45% (5/11)"
"51","Jamaal Williams (GB) ","at TB"," 4.2","D-","3.9","+2.0","57% (8/14)"
"52","Ke'Shawn Vaughn (TB) ","vs. GB"," 7.0","F","3.8","-0.4","20% (1/5)"
"53","Boston Scott (PHI) ","vs. BAL"," 4.2","F","3.8","+1.9","37% (6/16)"
"54","Benny Snell Jr. (PIT) ","vs. CLE"," 4.4","F","3.7","-0.1","41% (5/12)"
"55","Jordan Wilkins (IND) ","vs. CIN"," 7.6","F","3.4","+0.4","35% (5/14)"
"56","Matt Breida (MIA) ","vs. NYJ"," 7.4","F","3.2","-2.3","28% (4/14)"
"57","Giovani Bernard (CIN) ","at IND"," 7.2","F","3.2","-1.3","50% (8/16)"
"58","Kerryon Johnson (DET) ","at JAC"," 5.2","F","3.1","-2.4","25% (2/8)"
"59","Jeff Wilson Jr. (SF) ","vs. LAR"," 7.0","F","3.0","+0.3","20% (3/15)"
"60","Dion Lewis (NYG) ","vs. WAS"," 5.0","F","2.7","-1.1","25% (4/16)"
"61","Peyton Barber (WAS) ","at NYG"," 6.2","F","2.6","-0.1","31% (5/16)"
"62","Ito Smith (ATL) ","at MIN"," 6.4","F","2.5","-2.2","14% (1/7)"
"63","Anthony McFarland Jr. (PIT) ","vs. CLE"," 4.6","F","2.4","+0.4","33% (1/3)"
"64","Lamical Perine (NYJ) ","at MIA"," 9.0","F","2.4","-1.3","25% (1/4)"
"65","Darwin Thompson (KC) ","at BUF"," 5.6","F","2.3","-0.1","30% (4/13)"
"66","Kyle Juszczyk (SF) ","vs. LAR"," 6.6","F","2.3","+0.7","46% (6/13)"
"67","Royce Freeman (DEN) ","at NE"," 5.4","F","2.2","-1.2","40% (6/15)"
"68","Dontrell Hilliard (CLE) ","at PIT"," 6.2","F","2.1","-0.6","25% (3/12)"
"69","Jeremy McNichols (TEN) ","vs. HOU"," 8.2","F","1.9","-","-"
"70","T.J. Yeldon (BUF) ","vs. KC"," 7.6","F","1.9","+1.1","16% (1/6)"
"71","Corey Clement (PHI) ","vs. BAL"," 3.0","F","1.7","-1.6","0% (0/5)"
"72","Ryan Nall (CHI) ","at CAR"," 8.0","F","1.6","-1.3","0% (0/11)"
"73","Trenton Cannon (CAR) ","vs. CHI"," 6.4","F","1.5","-1.6","0% (0/5)"
"74","Jaylen Samuels (PIT) ","vs. CLE"," 4.6","F","1.5","-2.6","15% (2/13)"
"75","Jordan Howard (MIA) ","vs. NYJ"," 8.0","F","1.5","+0.6","55% (5/9)"
"76","AJ Dillon (GB) ","at TB"," 3.6","F","1.5","-0.6","0% (0/4)"
"77","Alex Armah (CAR) ","vs. CHI"," 6.4","F","1.5","-0.8","6% (1/15)"
"78","JaMycal Hasty (SF) ","vs. LAR"," 6.6","F","1.5","-1.6","0% (0/3)"
"79","Tyler Ervin (GB) ","at TB"," 3.6","F","1.4","+0.3","37% (3/8)"
"80","LeSean McCoy (TB) ","vs. GB"," 7.0","F","1.4","-1.5","30% (4/13)"
"81","Ameer Abdullah (MIN) ","vs. ATL"," 4.4","F","1.3","-0.1","12% (2/16)"
"82","C.J. Prosise (HOU) ","at TEN"," 6.4","F","1.3","-1.1","0% (0/11)"
"83","Dare Ogunbowale (JAC) ","vs. DET"," 7.2","F","1.3","0.0","33% (5/15)"
"84","C.J. Ham (MIN) ","vs. ATL"," 4.4","F","1.3","+0.3","46% (7/15)"
"85","Le'Veon Bell (KC) ","at BUF"," 5.4","F","1.2","-3.7","15% (2/13)"
"86","Dalvin Cook (MIN) ","vs. ATL"," 4.0","F","1.0","-0.1","50% (7/14)"
"87","Eno Benjamin (ARI) ","at DAL"," 7.0","F","1.0","-1.3","0% (0/3)"
"88","J.J. Taylor (NE) ","vs. DEN"," 3.6","F","1.0","-0.6","50% (2/4)"
"89","Jason Huntley (PHI) ","vs. BAL"," 3.0","F","0.9","-0.9","0% (0/3)"
"90","Lynn Bowden Jr. (MIA) ","vs. NYJ"," 7.0","F","0.9","+0.2","100% (3/3)"
"91","Patrick Laird (MIA) ","vs. NYJ"," 7.0","F","0.9","0.0","35% (6/17)"
"92","Josh Adams (NYJ) ","at MIA"," 7.4","F","0.9","-0.4","27% (3/11)"
"93","Ty Johnson (NYJ) ","at MIA"," 8.0","F","0.9","-1.4","18% (3/16)"
"94","Ryquell Armstead (JAC) COV-IR ","vs. DET"," 7.2","F","0.8","-0.6","16% (2/12)"
"95","Jakob Johnson (NE) ","vs. DEN"," 5.6","F","0.8","+0.6","20% (1/5)"
"96","Justice Hill (BAL) ","at PHI"," 7.0","F","0.8","+0.7","50% (6/12)"
"97","Buddy Howell (HOU) ","at TEN"," 6.4","F","0.8","-0.5","7% (1/14)"
"98","Qadree Ollison (ATL) ","at MIN"," 8.4","F","0.7","+1.7","44% (4/9)"
"99","Trayveon Williams (CIN) ","at IND"," 4.8","F","0.6","-0.5","0% (0/11)"
"100","Andy Janovich (CLE) ","at PIT"," 4.6","F","0.6","0.0","40% (4/10)"
"101","Patrick Ricard (BAL) ","at PHI"," 5.0","F","0.5","-0.5","6% (1/15)"
"102","Keith Smith (ATL) ","at MIN"," 8.8","F","0.5","-0.2","33% (5/15)"
"103","Reggie Gilliam (BUF) ","vs. KC"," 7.4","F","0.4","+0.1","25% (1/4)"
"104","DeAndre Washington (KC) ","at BUF"," 7.0","F","0.4","+1.7","45% (5/11)"
"105","Anthony Sherman (KC) COV-IR ","at BUF"," 6.2","F","0.4","-0.1","12% (2/16)"
"106","Chandler Cox (MIA) ","vs. NYJ","-","F","0.4","-0.4","16% (2/12)"
"107","Elijhaa Penny (NYG) ","vs. WAS"," 5.2","F","0.4","-0.5","0% (0/15)"
