"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Travis Kelce",KC,"at DEN"," 4.6","A+","17.2","+0.5","56% (9/16)"
"2","George Kittle",SF,"at NE"," 2.0","A","15.8","+1.5","53% (7/13)"
"3","Darren Waller",LV,"vs. TB"," 4.6","A","14.7","-1.0","31% (5/16)"
"4","T.J. Hockenson",DET,"at ATL"," 8.8","A","13.4","-0.5","45% (5/11)"
"5","Hunter Henry",LAC,"vs. JAC"," 7.6","A-","11.2","-1.9","40% (6/15)"
"6","Robert Tonyan",GB,"at HOU"," 7.4","B+","11.0","+2.6","38% (5/13)"
"7","Evan Engram",NYG,"at PHI"," 8.2","B","11.0","-3.4","33% (3/9)"
"8","Rob Gronkowski",TB,"at LV"," 6.6","B","10.0","-0.5","33% (2/6)"
"9","Dalton Schultz",DAL,"at WAS"," 7.8","C+","9.8","+0.8","26% (4/15)"
"10","Jimmy Graham",CHI,"at LAR"," 6.0","C+","9.2","+0.9","43% (7/16)"
"11","Austin Hooper",CLE,"at CIN"," 8.0","C","9.0","-1.6","46% (6/13)"
"12","Jared Cook",NO,"vs. CAR"," 4.6","C","8.7","+2.4","58% (7/12)"
"13","Hayden Hurst",ATL,"vs. DET"," 4.8","C","8.5","-0.4","25% (4/16)"
"14","Eric Ebron",PIT,"at TEN"," 9.0","C","8.4","-0.6","40% (4/10)"
"15","Darren Fells",HOU,"vs. GB"," 7.4","C-","8.0","+0.6","37% (6/16)"
"16","Tyler Higbee",LAR,"vs. CHI"," 7.8","D+","7.6","+1.9","56% (9/16)"
"17","Logan Thomas",WAS,"vs. DAL"," 7.4","D","7.1","0.0","37% (6/16)"
"18","Noah Fant",DEN,"vs. KC"," 6.2","D+","7.0","+0.5","42% (6/14)"
"19","Richard Rodgers",PHI,"vs. NYG"," 4.2","D-","7.0","+0.6","50% (3/6)"
"20","Drew Sample",CIN,"vs. CLE"," 5.6","D-","7.0","-0.5","33% (3/9)"
"21","Greg Olsen",SEA,"at ARI"," 6.6","D-","6.9","-0.9","30% (4/13)"
"22","Jonnu Smith",TEN,"vs. PIT"," 3.6","D+","6.2","+1.9","53% (8/15)"
"23","Anthony Firkser",TEN,"vs. PIT"," 3.4","F","5.6","+1.2","50% (7/14)"
"24","Gerald Everett",LAR,"vs. CHI"," 7.0","F","5.2","+0.3","46% (6/13)"
"25","Ian Thomas",CAR,"at NO"," 6.2","F","5.1","-0.6","25% (4/16)"
"26","Cameron Brate",TB,"at LV"," 6.6","F","4.9","-0.3","37% (6/16)"
"27","Chris Herndon IV",NYJ,"vs. BUF"," 7.4","F","4.7","-4.7","0% (0/7)"
"28","Tyler Kroft",BUF,"at NYJ"," 6.8","F","4.6","-0.3","23% (4/17)"
"29","James O'Shaughnessy",JAC,"at LAC"," 5.6","F","4.5","0.0","50% (3/6)"
"30","Dan Arnold",ARI,"vs. SEA"," 7.0","F","4.5","-0.5","33% (4/12)"
"31","Tyler Eifert",JAC,"at LAC"," 5.4","F","4.5","+0.3","37% (6/16)"
"32","David Njoku",CLE,"at CIN"," 6.4","F","4.4","0.0","20% (1/5)"
"33","Vance McDonald",PIT,"at TEN"," 8.2","F","4.4","-1.6","14% (2/14)"
"34","Dawson Knox",BUF,"at NYJ"," 6.8","F","4.0","-1.2","20% (3/15)"
