"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Derrick Henry",TEN,"at CIN","2 out of 5 stars","A+","22.4"
"2","Alvin Kamara",NO,"at CHI","3 out of 5 stars","A+","22.3"
"3","Kareem Hunt",CLE,"vs. LV","5 out of 5 stars","A+","20.7"
"4","Dalvin Cook",MIN,"at GB","5 out of 5 stars","A","19.3"
"5","Ezekiel Elliott",DAL,"at PHI","2 out of 5 stars","A","17.2"
"6","Mike Davis",CAR,"vs. ATL","2 out of 5 stars","A","17.1"
"7","Todd Gurley II",ATL,"at CAR","5 out of 5 stars","A","16.3"
"8","Clyde Edwards-Helaire",KC,"vs. NYJ","5 out of 5 stars","A","16.0"
"9","Giovani Bernard",CIN,"vs. TEN","5 out of 5 stars","A","16.0"
"10","Jonathan Taylor",IND,"at DET","4 out of 5 stars","A-","15.6"
"11","Boston Scott",PHI,"vs. DAL","5 out of 5 stars","A-","15.5"
"12","James Conner",PIT,"at BAL","2 out of 5 stars","B+","15.3"
"13","Josh Jacobs",LV,"at CLE","3 out of 5 stars","B+","14.8"
"14","Myles Gaskin",MIA,"vs. LAR","2 out of 5 stars","B+","14.5"
"15","Aaron Jones",GB,"vs. MIN","3 out of 5 stars","A-","13.6"
"16","Ronald Jones II",TB,"at NYG","4 out of 5 stars","B","13.4"
"17","D'Andre Swift",DET,"vs. IND","2 out of 5 stars","B","13.3"
"18","Darrell Henderson",LAR,"at MIA","5 out of 5 stars","B","13.3"
"19","Melvin Gordon III",DEN,"vs. LAC","2 out of 5 stars","B","13.0"
"20","David Montgomery",CHI,"vs. NO","1 out of 5 stars","B","12.3"
"21","Le'Veon Bell",KC,"vs. NYJ","5 out of 5 stars","B-","12.1"
"22","Jamaal Williams",GB,"vs. MIN","3 out of 5 stars","B-","11.8"
"23","Devin Singletary",BUF,"vs. NE","3 out of 5 stars","B-","11.8"
"24","Justin Jackson",LAC,"at DEN","1 out of 5 stars","C+","11.7"
"25","Leonard Fournette",TB,"at NYG","4 out of 5 stars","C+","11.7"
"26","James White",NE,"at BUF","5 out of 5 stars","C+","10.7"
"27","Jerick McKinnon",SF,"at SEA","2 out of 5 stars","C+","10.5"
"28","JaMycal Hasty",SF,"at SEA","2 out of 5 stars","C","10.5"
"29","Joshua Kelley",LAC,"at DEN","1 out of 5 stars","C","10.1"
"30","Carlos Hyde",SEA,"vs. SF","1 out of 5 stars","C","9.4"
"31","J.K. Dobbins",BAL,"vs. PIT","1 out of 5 stars","C","8.6"
"32","Latavius Murray",NO,"at CHI","3 out of 5 stars","C","8.5"
"33","Lamical Perine",NYJ,"at KC","3 out of 5 stars","C","8.4"
"34","Damien Harris",NE,"at BUF","5 out of 5 stars","C-","8.2"
"35","Zack Moss",BUF,"vs. NE","3 out of 5 stars","C-","8.1"
"36","Malcolm Brown",LAR,"at MIA","5 out of 5 stars","C-","8.0"
"37","Rex Burkhead",NE,"at BUF","5 out of 5 stars","D+","7.7"
"38","Adrian Peterson",DET,"vs. IND","2 out of 5 stars","D+","7.7"
"39","Nyheim Hines",IND,"at DET","4 out of 5 stars","D","7.7"
"40","Frank Gore",NYJ,"at KC","3 out of 5 stars","D","7.5"
"41","Phillip Lindsay",DEN,"vs. LAC","2 out of 5 stars","C-","7.3"
"42","Gus Edwards",BAL,"vs. PIT","1 out of 5 stars","D","7.1"
