"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. NYJ","4 out of 5 stars","A+","18.5"
"2","George Kittle",SF,"at SEA","2 out of 5 stars","A","16.1"
"3","Darren Waller",LV,"at CLE","4 out of 5 stars","A","16.0"
"4","Mark Andrews",BAL,"vs. PIT","1 out of 5 stars","A-","13.2"
"5","Hunter Henry",LAC,"at DEN","3 out of 5 stars","B","12.2"
"6","Rob Gronkowski",TB,"at NYG","2 out of 5 stars","B+","10.8"
"7","Jonnu Smith",TEN,"at CIN","5 out of 5 stars","B","10.0"
"8","T.J. Hockenson",DET,"vs. IND","1 out of 5 stars","B-","10.0"
"9","Jared Cook",NO,"at CHI","4 out of 5 stars","C+","9.8"
"10","Richard Rodgers",PHI,"vs. DAL","5 out of 5 stars","C+","9.6"
"11","Noah Fant",DEN,"vs. LAC","4 out of 5 stars","C+","9.5"
"12","Robert Tonyan",GB,"vs. MIN","3 out of 5 stars","C","9.2"
"13","Mike Gesicki",MIA,"vs. LAR","4 out of 5 stars","C","9.1"
"14","Evan Engram",NYG,"vs. TB","2 out of 5 stars","C","8.9"
"15","Hayden Hurst",ATL,"at CAR","2 out of 5 stars","C-","8.8"
"16","Trey Burton",IND,"at DET","1 out of 5 stars","C","8.7"
"17","Jimmy Graham",CHI,"vs. NO","5 out of 5 stars","C-","8.5"
"18","Eric Ebron",PIT,"at BAL","3 out of 5 stars","D+","8.4"
"19","Dalton Schultz",DAL,"at PHI","5 out of 5 stars","D","8.0"
"20","Harrison Bryant",CLE,"vs. LV","3 out of 5 stars","D","7.2"
"21","Drew Sample",CIN,"vs. TEN","5 out of 5 stars","D-","7.1"
"22","Tyler Higbee",LAR,"at MIA","2 out of 5 stars","D-","6.6"
"23","Greg Olsen",SEA,"vs. SF","1 out of 5 stars","F","6.3"
"24","Gerald Everett",LAR,"at MIA","2 out of 5 stars","F","6.0"
"25","Irv Smith Jr.",MIN,"at GB","1 out of 5 stars","F","5.7"
"26","David Njoku",CLE,"vs. LV","3 out of 5 stars","F","5.2"
"27","Ian Thomas",CAR,"vs. ATL","5 out of 5 stars","F","5.1"
"28","Tyler Kroft",BUF,"vs. NE","1 out of 5 stars","F","4.9"
"29","Chris Herndon IV",NYJ,"at KC","2 out of 5 stars","F","4.8"
"30","Albert Okwuegbunam",DEN,"vs. LAC","4 out of 5 stars","F","4.7"
"31","Will Dissly",SEA,"vs. SF","1 out of 5 stars","F","4.5"
"32","Anthony Firkser",TEN,"at CIN","5 out of 5 stars","F","4.4"
"33","Jack Doyle",IND,"at DET","1 out of 5 stars","F","4.3"
"34","Cameron Brate",TB,"at NYG","2 out of 5 stars","F","4.0"
"35","Kyle Rudolph",MIN,"at GB","1 out of 5 stars","F","3.9"
"36","Cole Kmet",CHI,"vs. NO","5 out of 5 stars","F","3.8"
"37","Austin Hooper",CLE,"vs. LV","3 out of 5 stars","F","3.7"
"38","Nick Boyle",BAL,"vs. PIT","1 out of 5 stars","F","3.3"
"39","Vance McDonald",PIT,"at BAL","3 out of 5 stars","F","3.1"
"40","Ryan Izzo",NE,"at BUF","5 out of 5 stars","F","3.0"
"41","Jace Sternberger",GB,"vs. MIN","3 out of 5 stars","F","2.8"
"42","Mo Alie-Cox",IND,"at DET","1 out of 5 stars","F","2.8"
"43","Chris Manhertz",CAR,"vs. ATL","5 out of 5 stars","F","2.7"
"44","Adam Shaheen",MIA,"vs. LAR","4 out of 5 stars","F","2.7"
"45","Donald Parham Jr.",LAC,"at DEN","3 out of 5 stars","F","2.7"
"46","Ryan Griffin",NYJ,"at KC","2 out of 5 stars","F","2.5"
"47","Jason Witten",LV,"at CLE","4 out of 5 stars","F","2.5"
"48","Foster Moreau",LV,"at CLE","4 out of 5 stars","F","2.4"
"49","Jesse James",DET,"vs. IND","1 out of 5 stars","F","2.6"
"50","Adam Trautman",NO,"at CHI","4 out of 5 stars","F","2.2"
"51","Nick Keizer",KC,"vs. NYJ","4 out of 5 stars","F","2.0"
"52","Josh Hill",NO,"at CHI","4 out of 5 stars","F","2.3"
"53","Kaden Smith",NYG,"vs. TB","2 out of 5 stars","F","2.2"
"54","Nick Vannett",DEN,"vs. LAC","4 out of 5 stars","F","1.8"
"55","Demetrius Harris",CHI,"vs. NO","5 out of 5 stars","F","2.1"
"56","Jason Croom",PHI,"vs. DAL","5 out of 5 stars","F","2.0"
"57","Tanner Hudson",TB,"at NYG","2 out of 5 stars","F","2.0"
"58","Jacob Hollister",SEA,"vs. SF","1 out of 5 stars","F","1.9"
"59","Marcedes Lewis",GB,"vs. MIN","3 out of 5 stars","F","1.9"
"60","Luke Stocker",ATL,"at CAR","2 out of 5 stars","F","1.9"
"61","Blake Bell",DAL,"at PHI","5 out of 5 stars","F","1.8"
"62","Johnny Mundt",LAR,"at MIA","2 out of 5 stars","F","1.7"
"63","Ross Dwelley",SF,"at SEA","2 out of 5 stars","F","1.6"
"64","Trevon Wesco",NYJ,"at KC","2 out of 5 stars","F","1.6"
"65","Geoff Swaim",TEN,"at CIN","5 out of 5 stars","F","1.6"
"66","Deon Yelder",KC,"vs. NYJ","4 out of 5 stars","F","1.5"
"67","Stephen Carlson",CLE,"vs. LV","3 out of 5 stars","F","1.5"
"68","Dalton Keene",NE,"at BUF","5 out of 5 stars","F","1.4"
"69","MyCole Pruitt",TEN,"at CIN","5 out of 5 stars","F","1.4"
"70","Tyler Conklin",MIN,"at GB","1 out of 5 stars","F","1.4"
"71","Durham Smythe",MIA,"vs. LAR","4 out of 5 stars","F","1.4"
"72","Jaeden Graham",ATL,"at CAR","2 out of 5 stars","F","1.2"
"73","Ricky Seals-Jones",KC,"vs. NYJ","4 out of 5 stars","F","1.2"
"74","Devin Asiasi",NE,"at BUF","5 out of 5 stars","F","1.2"
"75","Levine Toilolo",NYG,"vs. TB","2 out of 5 stars","F","1.1"
"76","Cethan Carter",CIN,"vs. TEN","5 out of 5 stars","F","1.1"
"77","Mason Schreck",CIN,"vs. TEN","5 out of 5 stars","F","1.1"
"78","Gabe Nabers",LAC,"at DEN","3 out of 5 stars","F","1.0"
"79","Lee Smith",BUF,"vs. NE","1 out of 5 stars","F","1.0"
"80","J.P. Holtz",CHI,"vs. NO","5 out of 5 stars","F","0.9"
"81","Sean McKeon",DAL,"at PHI","5 out of 5 stars","F","0.8"
"82","Noah Togiai",IND,"at DET","1 out of 5 stars","F","0.7"
"83","Charlie Woerner",SF,"at SEA","2 out of 5 stars","F","0.6"
"84","Luke Willson",SEA,"vs. SF","1 out of 5 stars","F","0.5"
"85","Andrew Beck",DEN,"vs. LAC","4 out of 5 stars","F","0.4"
"86","Isaac Nauta",DET,"vs. IND","1 out of 5 stars","F","0.3"
