"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. CAR","1 out of 5 stars","A+","23.4"
"2","Russell Wilson",SEA,"at BUF","4 out of 5 stars","A","23.3"
"3","Deshaun Watson",HOU,"at JAC","5 out of 5 stars","A","23.2"
"4","Kyler Murray",ARI,"vs. MIA","2 out of 5 stars","A","22.9"
"5","Josh Allen",BUF,"vs. SEA","5 out of 5 stars","A","22.4"
"6","Justin Herbert",LAC,"vs. LV","3 out of 5 stars","B+","21.8"
"7","Aaron Rodgers",GB,"at SF","3 out of 5 stars","B+","20.9"
"8","Lamar Jackson",BAL,"at IND","2 out of 5 stars","B","20.0"
"9","Tom Brady",TB,"vs. NO","5 out of 5 stars","B","19.2"
"10","Ben Roethlisberger",PIT,"at DAL","3 out of 5 stars","B-","18.7"
"11","Matt Ryan",ATL,"vs. DEN","4 out of 5 stars","B-","18.2"
"12","Ryan Tannehill",TEN,"vs. CHI","1 out of 5 stars","B-","18.0"
"13","Cam Newton",NE,"at NYJ","4 out of 5 stars","C+","17.8"
"14","Derek Carr",LV,"at LAC","5 out of 5 stars","C+","17.5"
"15","Matthew Stafford",DET,"at MIN","4 out of 5 stars","C","17.1"
"16","Drew Brees",NO,"at TB","1 out of 5 stars","C","16.6"
"17","Teddy Bridgewater",CAR,"at KC","2 out of 5 stars","C","16.2"
"18","Drew Lock",DEN,"at ATL","5 out of 5 stars","C-","15.8"
"19","Kirk Cousins",MIN,"vs. DET","3 out of 5 stars","C-","15.4"
"20","Tua Tagovailoa",MIA,"at ARI","4 out of 5 stars","D+","15.2"
"21","Nick Mullens",SF,"vs. GB","2 out of 5 stars","D","15.0"
"22","Daniel Jones",NYG,"at WAS","3 out of 5 stars","D","14.8"
"23","Nick Foles",CHI,"at TEN","5 out of 5 stars","D","14.6"
"24","Philip Rivers",IND,"vs. BAL","4 out of 5 stars","D-","14.2"
"25","Kyle Allen",WAS,"vs. NYG","4 out of 5 stars","F","13.6"
"26","Jake Luton",JAC,"vs. HOU","4 out of 5 stars","F","13.1"
"27","Sam Darnold",NYJ,"vs. NE","1 out of 5 stars","F","11.7"
"28","Taysom Hill",NO,"at TB","1 out of 5 stars","F","3.4"
"29","Cooper Rush",DAL,"vs. PIT","1 out of 5 stars","F","1.0"
"30","Garrett Gilbert",DAL,"vs. PIT","1 out of 5 stars","F","1.0"
"31","Ben DiNucci",DAL,"vs. PIT","1 out of 5 stars","F","1.0"
"32","Jarrett Stidham",NE,"at NYJ","4 out of 5 stars","F","1.0"
"33","Mike Glennon",JAC,"vs. HOU","4 out of 5 stars","F","0.9"
"34","Joe Flacco",NYJ,"vs. NE","1 out of 5 stars","F","0.9"
"35","C.J. Beathard",SF,"vs. GB","2 out of 5 stars","F","0.9"
"36","Chase Daniel",DET,"at MIN","4 out of 5 stars","F","0.9"
"37","Brett Rypien",DEN,"at ATL","5 out of 5 stars","F","0.9"
"38","Mitchell Trubisky",CHI,"at TEN","5 out of 5 stars","F","0.9"
