"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Cooper Kupp",LAR,"vs. JAC"," 6.8","A+","23.3","+1.7","40% (6/15)","21%","Average"
"2","Tyreek Hill",KC,"vs. DEN"," 3.8","A+","20.3","-0.8","40% (6/15)","14%","Good"
"3","Justin Jefferson",MIN,"at DET"," 5.0","A+","20.1","+0.5","56% (9/16)","19%","Average"
"4","Keenan Allen",LAC,"at CIN"," 8.0","A+","18.9","-2.4","28% (4/14)","13%","Awful"
"5","Stefon Diggs",BUF,"vs. NE"," 2.6","A+","18.5","+1.2","43% (7/16)","16%","Average"
"6","Chris Godwin",TB,"at ATL"," 7.2","A","17.6","0.0","60% (9/15)","11%","Average"
"7","Ja'Marr Chase",CIN,"vs. LAC"," 5.4","A","17.4","+1.6","45% (5/11)","16%","Great"
"8","Diontae Johnson",PIT,"vs. BAL"," 4.8","A","17.2","+0.7","60% (9/15)","18%","Poor"
"9","CeeDee Lamb",DAL,"at NO"," 9.2","A","17.2","+0.6","40% (6/15)","10%","Good"
"10","Mike Evans",TB,"at ATL"," 7.4","A","16.9","+0.9","46% (7/15)","11%","Good"
"11","Terry McLaurin",WAS,"at LV"," 7.8","A","16.7","-2.0","33% (5/15)","15%","Poor"
"12","Michael Pittman Jr.",IND,"at HOU"," 6.6","A","16.4","-0.9","29% (5/17)","12%","Average"
"13","Adam Thielen",MIN,"at DET"," 5.4","A","16.3","-0.1","43% (7/16)","19%","Great"
"14","DeAndre Hopkins",ARI,"at CHI"," 8.2","A","16.2","-1.1","46% (6/13)","13%","Great"
"15","Marquise Brown",BAL,"at PIT"," 5.0","A","16.2","+1.1","62% (10/16)","17%","Average"
"16","Tyler Lockett",SEA,"vs. SF"," 7.2","A","15.9","-1.8","31% (5/16)","11%","Average"
"17","Jaylen Waddle",MIA,"vs. NYG"," 6.8","A-","15.4","+0.9","41% (5/12)","8%","Good"
"18","Brandon Aiyuk",SF,"at SEA"," 3.6","A-","14.8","+0.2","53% (8/15)","6%","Good"
"19","Hunter Renfrow",LV,"vs. WAS"," 6.2","A-","14.8","-0.6","41% (7/17)","11%","Average"
"20","D.K. Metcalf",SEA,"vs. SF"," 7.6","A-","14.6","-3.0","25% (4/16)","14%","Great"
"21","Darnell Mooney",CHI,"vs. ARI"," 6.6","A-","14.4","+2.2","62% (10/16)","11%","Average"
"22","Tee Higgins",CIN,"vs. LAC"," 4.2","A-","13.7","-1.1","35% (5/14)","19%","Poor"
"23","Brandin Cooks",HOU,"vs. IND"," 4.6","B+","12.6","-0.2","40% (6/15)","24%","Poor"
"24","DeVonta Smith",PHI,"at NYJ"," 9.4","B","12.4","-1.3","33% (4/12)","8%","Average"
"25","Chase Claypool",PIT,"vs. BAL"," 6.0","B","12.3","-1.0","28% (4/14)","17%","Awful"
"26","Elijah Moore",NYJ,"vs. PHI"," 6.2","B","12.1","+3.1","60% (6/10)","8%","Great"
"27","Van Jefferson",LAR,"vs. JAC"," 7.2","C+","11.9","+0.6","43% (7/16)","11%","Average"
"28","Mike Williams",LAC,"at CIN"," 7.6","B-","11.9","+0.2","37% (6/16)","18%","Good"
"29","Michael Gallup",DAL,"at NO"," 9.0","B","11.8","+1.8","44% (4/9)","10%","Awful"
"30","Jerry Jeudy",DEN,"at KC"," 6.6","C+","11.7","-1.4","30% (3/10)","8%","Awful"
"31","Odell Beckham Jr.",LAR,"vs. JAC"," 6.2","B","11.6","-2.9","37% (3/8)","4%","Great"
"32","Amari Cooper",DAL,"at NO"," 9.2","C+","11.5","-2.0","50% (7/14)","11%","Good"
"33","Christian Kirk",ARI,"at CHI"," 8.8","C+","11.5","+0.8","60% (9/15)","8%","Average"
"34","Kendrick Bourne",NE,"at BUF"," 4.0","C+","11.3","+4.1","58% (10/17)","4%","Great"
"35","Russell Gage",ATL,"vs. TB"," 3.2","C+","10.8","+1.6","53% (7/13)","5%","Great"
"36","Jakobi Meyers",NE,"at BUF"," 3.6","C","10.8","-1.7","35% (6/17)","9%","Awful"
"37","Rashod Bateman",BAL,"at PIT"," 4.2","C","10.7","-1.6","28% (2/7)","5%","Awful"
"38","Courtland Sutton",DEN,"at KC"," 6.0","C","10.6","-2.5","27% (3/11)","10%","Awful"
"39","Cole Beasley",BUF,"vs. NE"," 2.8","C","10.6","-0.7","40% (6/15)","7%","Awful"
"40","Marvin Jones Jr.",JAC,"at LAR"," 6.8","C","10.5","-0.1","37% (6/16)","16%","Poor"
"41","Emmanuel Sanders",BUF,"vs. NE"," 3.2","C","10.4","-0.4","31% (5/16)","10%","Average"
"42","Tyler Boyd",CIN,"vs. LAC"," 4.4","C","10.3","-2.7","33% (5/15)","8%","Average"
"43","Tim Patrick",DEN,"at KC"," 6.0","C","10.3","+0.2","56% (9/16)","10%","Average"
"44","Kenny Golladay",NYG,"at MIA"," 7.6","C","9.9","-4.4","12% (1/8)","8%","Awful"
"45","T.Y. Hilton",IND,"at HOU"," 6.0","C-","9.6","+1.5","40% (4/10)","4%","Average"
"46","A.J. Green",ARI,"at CHI"," 8.8","C-","9.5","+0.2","53% (8/15)","10%","Poor"
"47","Tre'Quan Smith",NO,"vs. DAL"," 5.4","C-","9.2","+0.6","60% (6/10)","12%","Poor"
"48","Jamison Crowder",NYJ,"vs. PHI"," 5.4","C-","9.1","+0.7","46% (6/13)","10%","Poor"
"49","Laviska Shenault Jr.",JAC,"at LAR"," 6.4","C-","9.0","-0.5","31% (5/16)","8%","Awful"
"50","Josh Reynolds",DET,"vs. MIN"," 6.0","C-","8.9","-1.5","30% (4/13)","5%","Great"
"51","Rondale Moore",ARI,"at CHI"," 8.6","D+","8.9","-0.7","36% (4/11)","7%","Awful"
"52","DeSean Jackson",LV,"vs. WAS"," 8.4","D+","8.8","+0.6","30% (4/13)","1%","Great"
"53","Marquez Callaway",NO,"vs. DAL"," 6.4","D+","8.6","-0.4","42% (6/14)","10%","Good"
