"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at BAL"," 7.8","A+","19.9","+2.6","68% (11/16)","9%","Great"
"2","Darren Waller",LV,"at PIT"," 3.4","A","18.2","+1.6","43% (7/16)","26%","Average"
"3","George Kittle",SF,"at PHI"," 7.4","A","15.8","+0.3","37% (3/8)","6%","Awful"
"4","T.J. Hockenson",DET,"at GB"," 3.2","A","14.2","-0.6","56% (9/16)","15%","Great"
"5","Mark Andrews",BAL,"vs. KC"," 5.0","A-","13.3","-3.2","26% (4/15)","2%","Awful"
"6","Noah Fant",DEN,"at JAC"," 5.2","B","12.4","-0.8","40% (6/15)","10%","Awful"
"7","Kyle Pitts",ATL,"at TB"," 4.8","B","11.4","-5.1","0% (0/1)","37%","Awful"
"8","Logan Thomas",WAS,"vs. NYG"," 5.0","B-","11.4","+1.6","50% (8/16)","6%","Great"
"9","Tyler Higbee",LAR,"at IND"," 5.2","C+","10.9","+0.7","46% (7/15)","19%","Awful"
"10","Dallas Goedert",PHI,"vs. SF"," 5.6","C+","10.8","-1.2","36% (4/11)","40%","Great"
"11","Rob Gronkowski",TB,"vs. ATL"," 8.2","C+","10.5","+1.8","50% (8/16)","37%","Great"
"12","Jonnu Smith",NE,"at NYJ"," 8.0","C","9.6","-0.5","53% (8/15)","21%","Awful"
"13","Robert Tonyan",GB,"vs. DET"," 7.6","C","9.6","+1.6","50% (8/16)","13%","Awful"
"14","Jared Cook",LAC,"vs. DAL"," 5.2","C-","9.5","-0.7","53% (8/15)","20%","Awful"
"15","Cole Kmet",CHI,"vs. CIN"," 7.8","D+","8.4","+0.2","37% (6/16)","3%","Awful"
"16","Gerald Everett",SEA,"vs. TEN"," 8.0","D+","8.2","+1.1","56% (9/16)","15%","Great"
"17","Austin Hooper",CLE,"vs. HOU"," 6.8","D","7.4","-0.1","53% (7/13)","15%","Awful"
"18","Mike Gesicki",MIA,"vs. BUF"," 7.0","D","7.4","+0.5","33% (5/15)","7%","Awful"
"19","Hunter Henry",NE,"at NYJ"," 7.2","D-","7.3","-1.7","35% (5/14)","3%","Awful"
"20","Zach Ertz",PHI,"vs. SF"," 5.0","F","7.2","-3.4","9% (1/11)","0%","N/A"
"21","Anthony Firkser",TEN,"at SEA"," 4.4","F","7.1","-0.4","31% (5/16)","2%","Awful"
"22","Tyler Conklin",MIN,"at ARI"," 3.4","F","7.1","+1.0","37% (6/16)","7%","Awful"
"23","Blake Jarwin",DAL,"at LAC"," 7.6","F","6.6","-1.4","0% (0/1)","1%","Awful"
"24","Dalton Schultz",DAL,"at LAC"," 7.6","F","6.5","+1.7","62% (10/16)","0%","Awful"
"25","Juwan Johnson",NO,"at CAR"," 9.0","F","6.4","+10.9","100% (1/1)","30%","Great"
