"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Buffalo Bills",BUF,"at JAC"," 5.2","A+","9.2","+4.1","53% (8/15)"
"2","Pittsburgh Steelers",PIT,"vs. CHI"," 8.7","A","8.3","-0.4","50% (8/16)"
"3","Indianapolis Colts",IND,"vs. NYJ"," 9.6","A","8.0","+1.2","64% (11/17)"
"4","New England Patriots",NE,"at CAR"," 8.5","A","7.7","+0.5","35% (6/17)"
"5","New Orleans Saints",NO,"vs. ATL"," 4.1","A-","7.3","+3.4","62% (10/16)"
"6","Dallas Cowboys",DAL,"vs. DEN"," 9.8","B+","7.3","+1.4","60% (9/15)"
"7","Los Angeles Rams",LAR,"vs. TEN"," 7.1","B","6.7","+2.1","50% (8/16)"
"8","Miami Dolphins",MIA,"vs. HOU"," 2.7","B","6.6","-0.5","35% (6/17)"
"9","Arizona Cardinals",ARI,"at SF"," 4.1","B-","6.5","+1.4","52% (9/17)"
"10","San Francisco 49ers",SF,"vs. ARI"," 9.6","C+","6.5","-0.9","40% (6/15)"
"11","Carolina Panthers",CAR,"vs. NE"," 7.9","C+","6.3","+1.7","62% (10/16)"
"12","Las Vegas Raiders",LV,"at NYG"," 4.8","C","6.2","-1.9","29% (5/17)"
"13","Cincinnati Bengals",CIN,"vs. CLE"," 5.0","C","6.2","-1.3","31% (5/16)"
"14","Cleveland Browns",CLE,"at CIN"," 7.7","C","6.1","-1.4","18% (3/16)"
"15","Los Angeles Chargers",LAC,"at PHI"," 5.8","C","5.9","-1.2","37% (6/16)"
"16","Chicago Bears",CHI,"at PIT"," 5.8","C-","5.7","-0.6","31% (5/16)"
"17","Baltimore Ravens",BAL,"vs. MIN"," 1.4","C-","5.7","-0.8","41% (7/17)"
"18","Green Bay Packers",GB,"at KC"," 7.3","D+","5.6","+0.2","52% (9/17)"
"19","Minnesota Vikings",MIN,"at BAL"," 8.3","D+","5.6","-0.3","43% (7/16)"
"20","Philadelphia Eagles",PHI,"vs. LAC"," 4.6","D","5.6","-0.2","50% (8/16)"
"21","New York Giants",NYG,"vs. LV"," 3.3","D","5.5","-0.2","43% (7/16)"
"22","Kansas City Chiefs",KC,"vs. GB"," 2.1","F","5.5","-2.0","31% (5/16)"
"23","Atlanta Falcons",ATL,"at NO"," 5.6","D-","5.5","-1.1","26% (4/15)"
"24","Denver Broncos",DEN,"at DAL"," 4.4","D-","5.3","-0.1","41% (7/17)"
"25","Houston Texans",HOU,"at MIA"," 2.7","D-","5.0","-2.8","23% (4/17)"
"26","New York Jets",NYJ,"at IND"," 6.0","F","4.9","-1.5","33% (5/15)"
"27","Tennessee Titans",TEN,"at LAR"," 2.3","F","4.4","-0.2","35% (6/17)"
"28","Jacksonville Jaguars",JAC,"vs. BUF"," 6.2","F","4.4","-1.6","25% (4/16)"
