"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"at MIA"," 5.6","A+","25.1","+2.1","56% (9/16)","6%","Great"
"2","Jalen Hurts",PHI,"at WAS"," 9.6","A","24.0","-0.2","53% (8/15)","22%","Good"
"3","Patrick Mahomes II",KC,"at IND"," 8.6","A","22.8","-1.8","31% (5/16)","0%","Good"
"4","Lamar Jackson",BAL,"at NE"," 9.8","A","21.7","-3.4","23% (3/13)","18%","Great"
"5","Kyler Murray",ARI,"vs. LAR"," 5.8","A","20.6","-1.6","30% (4/13)","3%","Awful"
"6","Kirk Cousins",MIN,"vs. DET"," 8.6","A","19.9","-0.3","40% (6/15)","0%","Awful"
"7","Joe Burrow",CIN,"at NYJ"," 9.6","B+","19.2","+2.7","68% (11/16)","3%","Awful"
"8","Matthew Stafford",LAR,"at ARI"," 4.8","B","18.6","-0.3","56% (9/16)","0%","Awful"
"9","Tua Tagovailoa",MIA,"vs. BUF"," 7.0","B","18.1","+2.1","50% (6/12)","2%","Great"
"10","Derek Carr",LV,"at TEN"," 5.6","B","17.6","-3.8","29% (5/17)","0%","Awful"
"11","Russell Wilson",DEN,"vs. SF"," 5.6","B-","17.2","-3.4","38% (5/13)","0%","Awful"
"12","Jared Goff",DET,"at MIN"," 3.6","C","16.9","-1.2","46% (6/13)","1%","Average"
"13","Carson Wentz",WAS,"vs. PHI"," 6.8","C","16.7","+0.5","56% (9/16)","1%","Great"
"14","Marcus Mariota",ATL,"at SEA"," 5.0","C","16.5","+0.4","16% (2/12)","14%","Awful"
"15","Tom Brady",TB,"vs. GB"," 9.0","C","16.3","-0.9","43% (7/16)","1%","Awful"
"16","Aaron Rodgers",GB,"at TB"," 4.2","C","16.2","-0.1","50% (8/16)","0%","Awful"
"17","Justin Fields",CHI,"vs. HOU"," 7.0","C-","16.1","-2.9","33% (4/12)","27%","Great"
"18","Ryan Tannehill",TEN,"vs. LV"," 5.6","D+","15.9","-3.1","35% (6/17)","0%","Awful"
"19","Trevor Lawrence",JAC,"at LAC"," 8.0","D+","15.8","-3.0","25% (4/16)","2%","Awful"
"20","Jimmy Garoppolo",SF,"at DEN"," 7.8","D","15.6","+0.4","28% (4/14)","29%","Average"
"21","Jameis Winston",NO,"at CAR"," 8.0","D-","15.5","+0.3","42% (3/7)","0%","Poor"
"22","Matt Ryan",IND,"vs. KC"," 4.2","D-","15.4","-2.5","18% (3/16)","0%","Awful"
"23","Justin Herbert",LAC,"vs. JAC"," 4.0","D-","15.3","+2.8","62% (10/16)","4%","Good"
"24","Daniel Jones",NYG,"vs. DAL"," 8.8","F","15.1","-3.5","27% (3/11)","14%","Great"
"25","Mac Jones",NE,"vs. BAL"," 5.4","F","15.0","-1.5","37% (6/16)","4%","Awful"
"26","Joe Flacco",NYJ,"vs. CIN"," 4.0","F","14.8","+1.0","25% (3/12)","0%","Average"
"27","Geno Smith",SEA,"vs. ATL"," 4.2","F","14.5","-0.1","20% (3/15)","4%","Great"
"28","Baker Mayfield",CAR,"vs. NO"," 3.8","F","14.3","-2.4","40% (6/15)","6%","Average"
"29","Cooper Rush",DAL,"at NYG"," 5.4","F","14.1","+0.6","21% (3/14)","0%","Average"
"30","Davis Mills",HOU,"at CHI"," 5.4","F","13.8","-0.8","37% (6/16)","0%","Poor"
"31","Mitch Trubisky",PIT,"at CLE"," 7.6","F","13.6","-0.6","13% (2/15)","6%","Awful"
"32","Chase Daniel",LAC,"vs. JAC","-","F","13.3","-0.9","0% (0/15)","0%","N/A"
"33","Jacoby Brissett",CLE,"vs. PIT"," 3.6","F","13.0","-1.1","25% (4/16)","2%","Average"
"34","Kenny Pickett",PIT,"at CLE"," 8.4","F","1.3","-1.3","0% (0/2)","0%","N/A"
"35","Andy Dalton",NO,"at CAR"," 8.4","F","1.1","+1.0","25% (3/12)","0%","N/A"
"36","Malik Willis",TEN,"vs. LV","-","F","1.1","-0.5","0% (0/2)","1%","Awful"
"37","Jeff Driskel",HOU,"at CHI","-","F","1.0","-0.9","0% (0/1)","0%","N/A"
"38","Drew Lock",SEA,"vs. ATL"," 4.2","F","0.9","-0.6","20% (3/15)","0%","N/A"
