"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"at PHI","2.8","A+","22.8","+3.6","68% (11/16)","34%","Great"
"2","Travis Etienne Jr.",JAC,"vs. CIN","7.2","A+","17.9","+0.1","56% (9/16)","18%","Great"
"3","Austin Ekeler",LAC,"at NE","5.6","A+","17.3","-1.0","53% (7/13)","22%","Bad"
"4","Alvin Kamara",NO,"vs. DET","5.2","A+","16.2","+0.2","50% (6/12)","20%","Bad"
"5","Tony Pollard",DAL,"vs. SEA","7.0","A","16.1","-1.8","40% (6/15)","19%","Bad"
"6","Rachaad White",TB,"vs. CAR","8.4","A","16.0","+0.5","50% (8/16)","18%","Average"
"7","Kyren Williams",LAR,"vs. CLE","5.0","A","16.0","+2.7","41% (5/12)","28%","Great"
"8","Bijan Robinson",ATL,"at NYJ","4.6","A","15.9","-2.2","36% (4/11)","12%","Great"
"9","Derrick Henry",TEN,"vs. IND","7.0","A","15.8","-1.3","53% (8/15)","18%","Good"
"10","Jahmyr Gibbs",DET,"at NO","6.8","A","15.3","+1.9","44% (4/9)","15%","Good"
"11","Isiah Pacheco",KC,"at GB","7.2","A","14.9","-0.1","43% (7/16)","20%","Average"
"12","Rhamondre Stevenson",NE,"vs. LAC","4.4","A-","14.4","-2.7","31% (5/16)","13%","Average"
"13","Zack Moss",IND,"at TEN","4.4","A-","14.2","+3.3","53% (7/13)","14%","Good"
"14","Javonte Williams",DEN,"at HOU","5.4","B+","14.0","-1.4","30% (3/10)","15%","Bad"
"15","Jaylen Warren",PIT,"vs. ARI","7.8","B","13.8","+1.5","50% (8/16)","7%","Great"
"16","Raheem Mostert",MIA,"at WAS","6.6","B","13.7","+2.6","56% (9/16)","16%","Great"
"17","Breece Hall",NYJ,"vs. ATL","7.2","B","13.6","-0.2","45% (5/11)","12%","Great"
"18","D'Andre Swift",PHI,"vs. SF","4.4","B","13.5","+0.7","43% (7/16)","18%","Average"
"19","Zach Charbonnet",SEA,"at DAL","5.0","B","13.2","-0.8","40% (4/10)","10%","Bad"
"20","Devin Singletary",HOU,"vs. DEN","8.6","B","12.7","-0.1","50% (8/16)","9%","Poor"
"21","David Montgomery",DET,"at NO","6.8","B","12.6","+2.3","66% (8/12)","26%","Great"
"22","Najee Harris",PIT,"vs. ARI","7.8","B","12.5","+0.4","56% (9/16)","14%","Good"
"23","Joe Mixon",CIN,"at JAC","4.8","B-","12.2","-2.4","26% (4/15)","24%","Bad"
"24","James Conner",ARI,"at PIT","3.6","B-","12.2","-1.2","41% (5/12)","15%","Bad"
"25","Jerome Ford",CLE,"at LAR","5.0","C+","11.9","+1.1","28% (4/14)","9%","Great"
"26","Kareem Hunt",CLE,"at LAR","5.0","C+","11.4","-0.1","42% (6/14)","15%","Great"
"27","Brian Robinson Jr.",WAS,"vs. MIA","8.2","C+","10.8","+1.1","50% (8/16)","13%","Great"
"28","AJ Dillon",GB,"vs. KC","6.4","C+","10.5","+0.6","46% (7/15)","13%","Bad"
"29","Chuba Hubbard",CAR,"at TB","6.0","C+","10.2","+1.3","53% (8/15)","15%","Bad"
"30","De'Von Achane",MIA,"at WAS","6.6","C","9.6","+10.9","60% (3/5)","12%","Great"
"31","Antonio Gibson",WAS,"vs. MIA","7.6","C","8.6","-0.6","42% (6/14)","4%","Great"
"32","Tyjae Spears",TEN,"vs. IND","7.6","C","8.0","-0.4","36% (4/11)","7%","Bad"
"33","Dameon Pierce",HOU,"vs. DEN","8.6","C","7.6","-3.2","30% (3/10)","17%","Bad"
"34","Miles Sanders",CAR,"at TB","5.6","C","7.6","-3.2","26% (4/15)","10%","Bad"
"35","Royce Freeman",LAR,"vs. CLE","4.6","C","7.4","+0.7","33% (3/9)","16%","Poor"
"36","Ezekiel Elliott",NE,"vs. LAC","4.2","C","6.9","0.0","53% (8/15)","10%","Poor"
"37","Samaje Perine",DEN,"at HOU","6.4","C","6.5","-0.5","43% (7/16)","8%","Bad"
"38","Tyler Allgeier",ATL,"at NYJ","4.8","C-","6.3","+0.8","40% (6/15)","16%","Poor"
"39","Rico Dowdle",DAL,"vs. SEA","7.2","C-","5.8","+0.2","33% (4/12)","5%","Average"
"40","D'Ernest Johnson",JAC,"vs. CIN","6.8","C-","5.4","+0.2","50% (7/14)","1%","Bad"
"41","Kenneth Gainwell",PHI,"vs. SF","4.2","D+","5.3","-0.7","40% (6/15)","7%","Average"
"42","Jeff Wilson Jr.",MIA,"at WAS","7.8","D","5.2","-2.2","37% (3/8)","1%","Bad"
"43","Jaleel McLaughlin",DEN,"at HOU","5.4","D","5.0","+1.1","36% (4/11)","7%","Great"
"44","Joshua Kelley",LAC,"at NE","4.6","D","4.9","-0.7","37% (6/16)","5%","Poor"
"45","Jamaal Williams",NO,"vs. DET","5.6","D-","4.8","-3.0","16% (2/12)","2%","Bad"
"46","Chase Edmonds",TB,"vs. CAR","8.8","F","4.6","-1.2","33% (3/9)","1%","Bad"
"47","Dalvin Cook",NYJ,"vs. ATL","6.6","F","4.4","-3.3","6% (1/16)","5%","Bad"
"48","DeeJay Dallas",SEA,"at DAL","5.6","F","4.2","-0.4","23% (3/13)","1%","Bad"
"49","Michael Carter",ARI,"at PIT","3.4","F","4.0","-0.7","42% (6/14)","8%","Bad"
"50","Cordarrelle Patterson",ATL,"at NYJ","4.6","F","4.0","+0.6","50% (6/12)","2%","Bad"
"51","Patrick Taylor Jr.",GB,"vs. KC","5.4","F","4.0","-0.7","33% (3/9)","5%","Bad"
"52","Clyde Edwards-Helaire",KC,"at GB","7.2","F","3.9","-1.2","10% (1/10)","4%","Poor"
"53","Elijah Mitchell",SF,"at PHI","3.0","F","3.7","-2.7","22% (2/9)","3%","Bad"
"54","Kyle Juszczyk",SF,"at PHI","2.6","F","3.6","+0.4","25% (4/16)","9%","Average"
"55","Emari Demercado",ARI,"at PIT","3.4","F","3.4","+0.8","44% (4/9)","3%","Good"
"56","Israel Abanikanda",NYJ,"vs. ATL","6.8","F","2.6","-0.4","50% (1/2)","0%","N/A"
"57","Chris Rodriguez Jr.",WAS,"vs. MIA","8.0","F","2.1","-0.6","22% (2/9)","2%","Bad"
"58","Tank Bigsby",JAC,"vs. CIN","7.0","F","1.6","-1.5","9% (1/11)","6%","Good"
"59","Alec Ingold",MIA,"at WAS","7.6","F","1.6","-0.3","31% (5/16)","1%","Bad"
"60","Jerick McKinnon",KC,"at GB","-","F","1.3","+3.0","40% (6/15)","4%","Great"
"61","Trayveon Williams",CIN,"at JAC","5.4","F","1.3","-1.7","8% (1/12)","1%","Bad"
"62","Pierre Strong Jr.",CLE,"at LAR","5.4","F","1.2","+1.1","53% (8/15)","7%","Poor"
"63","Trey Sermon",IND,"at TEN","-","F","1.1","-0.5","16% (1/6)","1%","Bad"
"64","Boston Scott",PHI,"vs. SF","4.6","F","1.1","0.0","28% (4/14)","2%","Bad"
