"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Austin Ekeler",LAC,"at KC","2 out of 5 stars","4.2","A+","18.1","-0.9","46% (6/13)","32%","Bad"
"2","Kenneth Walker III",SEA,"vs. ARI","4 out of 5 stars","7.6","A+","18.1","+1.8","50% (7/14)","36%","Average"
"3","D'Andre Swift",PHI,"vs. MIA","5 out of 5 stars","9.6","A+","18.0","+1.4","43% (7/16)","18%","Average"
"4","Josh Jacobs",LV,"at CHI","4 out of 5 stars","8.0","A","17.5","+0.4","47% (8/17)","20%","Bad"
"5","Travis Etienne Jr.",JAC,"at NO","2 out of 5 stars","4.8","A","17.2","+0.5","62% (10/16)","13%","Great"
"6","Raheem Mostert",MIA,"at PHI","2 out of 5 stars","3.4","A","17.2","+3.4","60% (9/15)","21%","Great"
"7","Alvin Kamara",NO,"vs. JAC","4 out of 5 stars","6.8","A","16.9","-1.6","30% (4/13)","18%","Bad"
"8","Christian McCaffrey",SF,"at MIN","2 out of 5 stars","4.4","A","15.8","+2.8","56% (9/16)","31%","Great"
"9","Bijan Robinson",ATL,"at TB","3 out of 5 stars","4.4","A","15.5","-2.8","33% (2/6)","17%","Average"
"10","Isiah Pacheco",KC,"vs. LAC","3 out of 5 stars","6.2","A","15.2","-0.2","41% (7/17)","20%","Poor"
"11","Saquon Barkley",NYG,"vs. WAS","3 out of 5 stars","5.2","A-","15.1","-2.5","38% (5/13)","42%","Average"
"12","Aaron Jones",GB,"at DEN","4 out of 5 stars","7.8","A-","15.1","+0.1","58% (7/12)","17%","Great"
"13","Rhamondre Stevenson",NE,"vs. BUF","4 out of 5 stars","7.4","B+","15.1","-3.1","31% (5/16)","13%","Average"
"14","James Cook",BUF,"at NE","3 out of 5 stars","5.6","B+","13.3","+0.8","56% (9/16)","9%","Bad"
"15","Brian Robinson Jr.",WAS,"at NYG","3 out of 5 stars","6.8","B+","12.9","+0.5","50% (8/16)","21%","Great"
"16","Rachaad White",TB,"vs. ATL","3 out of 5 stars","7.0","B","12.7","-0.8","40% (6/15)","16%","Bad"
"17","Jerome Ford",CLE,"at IND","4 out of 5 stars","6.8","B","11.8","+0.7","18% (2/11)","10%","Great"
