"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. LAC","2 out of 5 stars","4.2","A+","18.5","-1.9","37% (6/16)","14%","Good"
"2","Mark Andrews",BAL,"vs. DET","2 out of 5 stars","5.0","A","14.1","-3.2","21% (3/14)","12%","Great"
"3","T.J. Hockenson",MIN,"vs. SF","3 out of 5 stars","4.8","A","13.3","-0.3","29% (5/17)","12%","Average"
"4","Sam LaPorta",DET,"at BAL","3 out of 5 stars","4.8","A-","11.8","+2.8","66% (4/6)","11%","Great"
"5","George Kittle",SF,"at MIN","3 out of 5 stars","5.2","A-","11.4","+1.0","37% (6/16)","8%","Great"
"6","Dallas Goedert",PHI,"vs. MIA","4 out of 5 stars","7.8","B+","10.9","-0.1","18% (2/11)","6%","Average"
"7","Evan Engram",JAC,"at NO","3 out of 5 stars","6.4","B-","10.7","+1.5","56% (9/16)","3%","Bad"
"8","Darren Waller",NYG,"vs. WAS","4 out of 5 stars","7.0","B","10.3","0.0","44% (4/9)","14%","Bad"
"9","Logan Thomas",WAS,"at NYG","3 out of 5 stars","7.4","C+","9.5","-0.5","42% (6/14)","19%","Poor"
"10","Kyle Pitts",ATL,"at TB","2 out of 5 stars","4.2","C+","9.4","-1.1","27% (3/11)","13%","Poor"
"11","Luke Musgrave",GB,"at DEN","4 out of 5 stars","6.0","C","8.7","-1.6","40% (2/5)","4%","Bad"
"12","Cole Kmet",CHI,"vs. LV","3 out of 5 stars","5.4","C+","7.9","+2.3","43% (7/16)","15%","Good"
"13","Gerald Everett",LAC,"at KC","3 out of 5 stars","5.6","C","7.8","-1.7","40% (6/15)","6%","Poor"
"14","David Njoku",CLE,"at IND","2 out of 5 stars","4.8","C","7.4","-1.1","33% (4/12)","2%","Bad"
"15","Tyler Higbee",LAR,"vs. PIT","3 out of 5 stars","6.0","C-","7.4","-1.1","31% (5/16)","7%","Bad"
"16","Jonnu Smith",ATL,"at TB","2 out of 5 stars","4.0","C-","6.9","+1.0","66% (10/15)","16%","Bad"
"17","Michael Mayer",LV,"at CHI","4 out of 5 stars","7.6","D+","6.8","+0.6","33% (2/6)","2%","Bad"
"18","Zach Ertz",ARI,"at SEA","3 out of 5 stars","6.0","D+","6.7","-0.1","66% (6/9)","15%","Bad"
"19","Dalton Kincaid",BUF,"at NE","3 out of 5 stars","4.6","D","6.7","-2.3","0% (0/6)","2%","Bad"
"20","Dawson Knox",BUF,"at NE","3 out of 5 stars","4.4","D","6.7","-0.4","43% (7/16)","15%","Bad"
"21","Hunter Henry",NE,"vs. BUF","3 out of 5 stars","5.4","D-","6.4","-0.5","43% (7/16)","4%","Great"
"22","Cade Otton",TB,"vs. ATL","3 out of 5 stars","7.0","D-","6.2","0.0","40% (6/15)","6%","Good"
"23","Taysom Hill",NO,"vs. JAC","3 out of 5 stars","5.2","F","5.9","+2.9","62% (10/16)","6%","Bad"
"24","Durham Smythe",MIA,"at PHI","5 out of 5 stars","9.0","F","5.6","-0.9","25% (4/16)","8%","Bad"
"25","Noah Fant",SEA,"vs. ARI","3 out of 5 stars","7.0","F","5.3","+0.1","46% (7/15)","1%","Bad"
"26","Trey McBride",ARI,"at SEA","3 out of 5 stars","5.8","F","5.1","+0.5","43% (7/16)","3%","Bad"
"27","Mike Gesicki",NE,"vs. BUF","3 out of 5 stars","5.8","F","5.0","-1.0","31% (5/16)","3%","Bad"
"28","Adam Trautman",DEN,"vs. GB","3 out of 5 stars","5.8","F","5.0","-0.8","42% (6/14)","13%","Bad"
"29","Colby Parkinson",SEA,"vs. ARI","3 out of 5 stars","-","F","4.8","+0.1","40% (6/15)","8%","Bad"
"30","Andrew Ogletree",IND,"vs. CLE","3 out of 5 stars","-","F","4.4","-","-","4%","Great"
"31","Donald Parham Jr.",LAC,"at KC","3 out of 5 stars","4.0","F","4.3","+0.6","40% (4/10)","10%","Good"
"32","Noah Gray",KC,"vs. LAC","2 out of 5 stars","4.6","F","4.3","+1.1","47% (8/17)","2%","Great"
"33","Foster Moreau",NO,"vs. JAC","3 out of 5 stars","5.6","F","4.3","+0.4","46% (7/15)","3%","Great"
"34","Will Dissly",SEA,"vs. ARI","3 out of 5 stars","-","F","3.9","-0.6","25% (3/12)","0%","Bad"
"35","Connor Heyward",PIT,"at LAR","5 out of 5 stars","-","F","3.6","-0.6","37% (3/8)","15%","Bad"
"36","Mo Alie-Cox",IND,"vs. CLE","3 out of 5 stars","-","F","3.4","-1.4","12% (2/16)","2%","Great"
"37","Josh Oliver",MIN,"vs. SF","3 out of 5 stars","-","F","2.8","+0.2","37% (6/16)","7%","Good"
"38","Austin Hooper",LV,"at CHI","4 out of 5 stars","8.6","F","2.7","+0.3","35% (6/17)","1%","Bad"
"39","Robert Tonyan",CHI,"vs. LV","3 out of 5 stars","-","F","2.4","-1.4","18% (3/16)","2%","Bad"
"40","Darnell Washington",PIT,"at LAR","5 out of 5 stars","-","F","2.4","-1.6","20% (1/5)","0%","N/A"
"41","Brenton Strange",JAC,"at NO","3 out of 5 stars","-","F","2.4","+0.9","33% (2/6)","4%","Great"
"42","Brock Wright",DET,"at BAL","3 out of 5 stars","-","F","2.4","+0.8","35% (6/17)","2%","Bad"
"43","Josiah Deguara",GB,"at DEN","4 out of 5 stars","-","F","2.3","-0.6","28% (4/14)","0%","Bad"
"44","Harrison Bryant",CLE,"at IND","2 out of 5 stars","-","F","2.3","-0.6","26% (4/15)","5%","Great"
"45","John Bates",WAS,"at NYG","3 out of 5 stars","-","F","1.9","-0.5","20% (3/15)","5%","Bad"
"46","Daniel Bellinger",NYG,"vs. WAS","4 out of 5 stars","-","F","1.9","-1.2","33% (4/12)","0%","N/A"
"47","Cole Turner",WAS,"at NYG","3 out of 5 stars","-","F","1.9","-0.6","25% (3/12)","11%","Bad"
"48","Isaiah Likely",BAL,"vs. DET","2 out of 5 stars","-","F","1.9","0.0","33% (5/15)","2%","Bad"
"49","MyCole Pruitt",ATL,"at TB","2 out of 5 stars","-","F","1.8","+0.5","43% (7/16)","9%","Bad"
"50","Will Mallory",IND,"vs. CLE","3 out of 5 stars","-","F","1.4","+2.1","50% (1/2)","1%","Bad"
"51","Pharaoh Brown",NE,"vs. BUF","3 out of 5 stars","-","F","1.3","+0.1","14% (2/14)","1%","Great"
"52","Nate Adkins",DEN,"vs. GB","3 out of 5 stars","-","F","1.3","-","-","0%","N/A"
"53","Chris Manhertz",DEN,"vs. GB","3 out of 5 stars","-","F","1.3","-0.6","20% (3/15)","2%","Bad"
"54","Julian Hill",MIA,"at PHI","5 out of 5 stars","-","F","1.1","-0.4","0% (0/3)","0%","N/A"
"55","Jordan Akins",CLE,"at IND","2 out of 5 stars","-","F","1.1","+0.5","43% (7/16)","0%","Bad"
"56","Geoff Swaim",ARI,"at SEA","3 out of 5 stars","-","F","1.1","-1.2","6% (1/16)","3%","Bad"
"57","Jack Stoll",PHI,"vs. MIA","4 out of 5 stars","-","F","1.0","-0.7","40% (6/15)","3%","Bad"
"58","Brycen Hopkins",LAR,"vs. PIT","3 out of 5 stars","-","F","1.0","-0.2","31% (5/16)","3%","Bad"
"59","Luke Farrell",JAC,"at NO","3 out of 5 stars","-","F","0.9","-0.4","26% (4/15)","0%","N/A"
"60","Marcedes Lewis",CHI,"vs. LV","3 out of 5 stars","-","F","0.9","0.0","31% (5/16)","0%","Bad"
"61","Blake Bell",KC,"vs. LAC","2 out of 5 stars","-","F","0.9","-0.4","12% (1/8)","14%","Great"
"62","Tucker Kraft",GB,"at DEN","4 out of 5 stars","-","F","0.8","-0.9","0% (0/4)","4%","Bad"
"63","Stone Smartt",LAC,"at KC","3 out of 5 stars","-","F","0.8","-","-","2%","Bad"
"64","Payne Durham",TB,"vs. ATL","3 out of 5 stars","-","F","0.7","-","-","0%","N/A"
"65","Jimmy Graham",NO,"vs. JAC","3 out of 5 stars","-","F","0.7","-0.2","16% (1/6)","2%","Great"
"66","Ko Kieft",TB,"vs. ATL","3 out of 5 stars","-","F","0.6","-0.2","33% (5/15)","6%","Bad"
"67","Johnny Mundt",MIN,"vs. SF","3 out of 5 stars","-","F","0.5","+0.3","40% (6/15)","0%","N/A"
"68","James Mitchell",DET,"at BAL","3 out of 5 stars","-","F","0.5","-0.3","28% (4/14)","0%","N/A"
"69","Ben Sims",GB,"at DEN","4 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"70","David Wells",TB,"vs. ATL","3 out of 5 stars","-","F","0.0","-","-","0%","Bad"
"71","Tyler Kroft",MIA,"at PHI","5 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"72","Ross Dwelley",SF,"at MIN","3 out of 5 stars","-","F","0.0","-1.5","11% (1/9)","6%","Bad"
"73","Tre' McKitty",LAC,"at KC","3 out of 5 stars","-","F","0.0","-0.9","14% (2/14)","0%","N/A"
"74","Charlie Woerner",SF,"at MIN","3 out of 5 stars","-","F","0.0","-0.4","0% (0/12)","0%","N/A"
"75","Charlie Kolar",BAL,"vs. DET","2 out of 5 stars","-","F","0.0","-1.3","0% (0/6)","0%","N/A"
"76","Grant Calcaterra",PHI,"vs. MIA","4 out of 5 stars","-","F","0.0","-0.8","16% (2/12)","0%","N/A"
"77","Nick Muse",MIN,"vs. SF","3 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"78","Davis Allen",LAR,"vs. PIT","3 out of 5 stars","-","F","0.0","-1.0","0% (0/3)","0%","N/A"
"79","Curtis Hodges",WAS,"at NYG","3 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"80","Rodney Williams",PIT,"at LAR","5 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"81","Elijah Higgins",ARI,"at SEA","3 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"82","Tanner Conner",MIA,"at PHI","5 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"83","Jesper Horsted",LV,"at CHI","4 out of 5 stars","-","F","0.0","-1.3","0% (0/12)","0%","N/A"
"84","Brayden Willis",SF,"at MIN","3 out of 5 stars","-","F","0.0","-","-","0%","N/A"
