"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Philadelphia Eagles",PHI,"at WAS","5 out of 5 stars","9.9","A+","10.1","+1.0","52% (9/17)"
"2","Baltimore Ravens",BAL,"at ARI","3 out of 5 stars","6.6","A-","7.8","+1.8","56% (9/16)"
"3","New York Jets",NYJ,"at NYG","5 out of 5 stars","9.9","A","7.5","+1.2","53% (8/15)"
"4","Buffalo Bills",BUF,"vs. TB","4 out of 5 stars","8.4","B+","7.3","+0.6","47% (8/17)"
"5","Dallas Cowboys",DAL,"vs. LAR","1 out of 5 stars","2.4","B+","7.3","+3.1","46% (7/15)"
"6","Kansas City Chiefs",KC,"at DEN","4 out of 5 stars","8.8","B+","7.2","0.0","52% (9/17)"
"7","Seattle Seahawks",SEA,"vs. CLE","5 out of 5 stars","9.8","B","7.2","+1.2","53% (8/15)"
"8","Detroit Lions",DET,"vs. LV","5 out of 5 stars","9.9","B","7.2","+1.5","58% (10/17)"
"9","Los Angeles Chargers",LAC,"vs. CHI","5 out of 5 stars","9.9","B","7.2","+0.5","56% (9/16)"
"10","Cleveland Browns",CLE,"at SEA","2 out of 5 stars","3.8","B","7.1","+2.1","53% (8/15)"
"11","San Francisco 49ers",SF,"vs. CIN","3 out of 5 stars","5.6","B","7.1","+1.1","43% (7/16)"
"12","Atlanta Falcons",ATL,"at TEN","3 out of 5 stars","6.2","B-","7.1","-1.2","31% (5/16)"
"13","Miami Dolphins",MIA,"vs. NE","5 out of 5 stars","9.9","B-","7.0","-0.1","43% (7/16)"
"14","Houston Texans",HOU,"at CAR","5 out of 5 stars","9.4","C+","6.9","+1.1","62% (10/16)"
"15","New York Giants",NYG,"vs. NYJ","2 out of 5 stars","4.8","C","6.9","-0.6","37% (6/16)"
"16","New Orleans Saints",NO,"at IND","3 out of 5 stars","5.0","C-","6.8","+1.9","43% (7/16)"
"17","Jacksonville Jaguars",JAC,"at PIT","3 out of 5 stars","5.6","D+","6.2","+2.0","62% (10/16)"
"18","Pittsburgh Steelers",PIT,"vs. JAC","3 out of 5 stars","5.0","D+","6.2","+1.1","46% (7/15)"
"19","Indianapolis Colts",IND,"vs. NO","4 out of 5 stars","8.2","D","6.1","+0.1","43% (7/16)"
"20","Minnesota Vikings",MIN,"at GB","3 out of 5 stars","5.8","D","6.1","-0.2","41% (7/17)"
"21","Green Bay Packers",GB,"vs. MIN","3 out of 5 stars","6.2","D","6.1","+1.2","46% (7/15)"
"22","Tennessee Titans",TEN,"vs. ATL","5 out of 5 stars","9.8","D-","5.9","-0.5","50% (8/16)"
"23","Tampa Bay Buccaneers",TB,"at BUF","1 out of 5 stars","2.0","F","5.9","-0.2","33% (5/15)"
"24","Washington Commanders",WAS,"vs. PHI","3 out of 5 stars","6.0","F","5.7","+0.4","56% (9/16)"
"25","Cincinnati Bengals",CIN,"at SF","1 out of 5 stars","2.0","F","5.6","+1.1","60% (9/15)"
"26","Los Angeles Rams",LAR,"at DAL","1 out of 5 stars","2.4","F","5.5","-0.8","23% (4/17)"
"27","Carolina Panthers",CAR,"vs. HOU","1 out of 5 stars","2.4","F","5.5","-0.7","46% (7/15)"
"28","New England Patriots",NE,"at MIA","2 out of 5 stars","3.0","F","5.4","+2.1","56% (9/16)"
"29","Arizona Cardinals",ARI,"vs. BAL","2 out of 5 stars","4.2","F","5.2","-0.3","43% (7/16)"
"30","Chicago Bears",CHI,"at LAC","2 out of 5 stars","3.0","F","5.2","-2.7","25% (4/16)"
"31","Las Vegas Raiders",LV,"at DET","2 out of 5 stars","3.0","F","5.0","-1.4","35% (6/17)"
"32","Denver Broncos",DEN,"vs. KC","2 out of 5 stars","4.4","F","4.8","-1.4","50% (8/16)"
