"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"vs. WAS","5 out of 5 stars","A+","22.3","+1.5","62% (10/16)","20%","Good"
"2","Lamar Jackson",BAL,"at PIT","1 out of 5 stars","A","21.6","+4.1","75% (12/16)","5%","Great"
"3","Josh Allen",BUF,"vs. KC","2 out of 5 stars","A","20.8","+0.5","56% (9/16)","7%","Good"
"4","Brock Purdy",SF,"vs. SEA","3 out of 5 stars","A","20.1","+1.4","56% (9/16)","5%","Bad"
"5","Jayden Daniels",WAS,"at PHI","1 out of 5 stars","A","19.3","-1.5","40% (4/10)","11%","Bad"
"6","Joe Burrow",CIN,"at LAC","3 out of 5 stars","A","18.7","+3.0","60% (6/10)","3%","Average"
"7","Justin Herbert",LAC,"vs. CIN","4 out of 5 stars","B+","18.2","-1.7","46% (6/13)","4%","Poor"
"8","Bo Nix",DEN,"vs. ATL","4 out of 5 stars","B+","17.8","+1.7","60% (6/10)","11%","Bad"
"9","Russell Wilson",PIT,"vs. BAL","4 out of 5 stars","B","17.3","+2.5","66% (6/9)","6%","Average"
"10","Patrick Mahomes II",KC,"at BUF","2 out of 5 stars","B","17.1","-2.4","18% (3/16)","2%","Bad"
"11","Jared Goff",DET,"vs. JAC","5 out of 5 stars","B","16.8","+0.6","50% (8/16)","2%","Good"
"12","Geno Smith",SEA,"at SF","2 out of 5 stars","B-","16.6","+0.6","60% (9/15)","5%","Bad"
"13","C.J. Stroud",HOU,"at DAL","5 out of 5 stars","C+","16.4","-2.6","20% (3/15)","4%","Bad"
"14","Tua Tagovailoa",MIA,"vs. LV","4 out of 5 stars","C+","16.4","-2.7","33% (4/12)","1%","Poor"
"15","Drake Maye",NE,"vs. LAR","4 out of 5 stars","C","16.2","+2.0","50% (3/6)","1%","Great"
"16","Jameis Winston",CLE,"at NO","2 out of 5 stars","C","16.1","+1.3","40% (2/5)","1%","Average"
"17","Sam Darnold",MIN,"at TEN","3 out of 5 stars","C","15.9","+0.6","66% (6/9)","1%","Average"
"18","Jordan Love",GB,"at CHI","2 out of 5 stars","C-","15.7","+2.9","64% (9/14)","2%","Average"
"19","Aaron Rodgers",NYJ,"vs. IND","5 out of 5 stars","C-","15.4","-0.7","40% (4/10)","1%","Bad"
"20","Matthew Stafford",LAR,"at NE","4 out of 5 stars","D+","15.2","+0.7","43% (7/16)","0%","Bad"
"21","Anthony Richardson",IND,"at NYJ","2 out of 5 stars","D","15.0","-4.4","12% (1/8)","8%","Bad"
"22","Kirk Cousins",ATL,"at DEN","2 out of 5 stars","D-","14.7","-0.2","30% (3/10)","1%","Good"
"23","Derek Carr",NO,"vs. CLE","4 out of 5 stars","F","14.2","+1.1","53% (7/13)","6%","Average"
"24","Caleb Williams",CHI,"vs. GB","3 out of 5 stars","F","13.7","-2.2","33% (3/9)","5%","Bad"
"25","Mac Jones",JAC,"at DET","2 out of 5 stars","F","13.2","-2.9","0% (0/6)","9%","Bad"
"26","Will Levis",TEN,"vs. MIN","2 out of 5 stars","F","12.5","-3.2","33% (4/12)","2%","Great"
"27","Gardner Minshew II",LV,"at MIA","3 out of 5 stars","F","11.9","-0.6","57% (8/14)","1%","Bad"
"28","Cooper Rush",DAL,"vs. HOU","3 out of 5 stars","F","11.2","-1.2","25% (1/4)","1%","Bad"
"29","Trey Lance",DAL,"vs. HOU","3 out of 5 stars","F","0.3","+1.0","100% (1/1)","0%","Bad"
