"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Ja'Marr Chase",CIN,"at LAC","4 out of 5 stars","A+","18.9","+1.5","37% (6/16)","15%","Good"
"2","Justin Jefferson",MIN,"at TEN","2 out of 5 stars","A+","18.0","-0.6","46% (6/13)","16%","Average"
"3","Amon-Ra St. Brown",DET,"vs. JAC","3 out of 5 stars","A+","16.8","+0.3","62% (10/16)","14%","Great"
"4","A.J. Brown",PHI,"vs. WAS","4 out of 5 stars","A+","16.0","-2.0","38% (5/13)","8%","Good"
"5","Nico Collins",HOU,"at DAL","4 out of 5 stars","A+","15.9","+3.3","63% (7/11)","24%","Poor"
"6","Puka Nacua",LAR,"at NE","3 out of 5 stars","A+","15.8","+1.0","63% (7/11)","9%","Bad"
"7","Cooper Kupp",LAR,"at NE","3 out of 5 stars","A","15.8","-0.1","50% (6/12)","11%","Average"
"8","Davante Adams",NYJ,"vs. IND","4 out of 5 stars","A","15.7","+0.3","38% (5/13)","20%","Poor"
"9","George Pickens",PIT,"vs. BAL","3 out of 5 stars","A","15.7","+1.4","37% (6/16)","18%","Bad"
"10","Deebo Samuel Sr.",SF,"vs. SEA","3 out of 5 stars","A","15.5","+0.9","46% (7/15)","11%","Bad"
"11","Garrett Wilson",NYJ,"vs. IND","4 out of 5 stars","A","15.4","-0.5","35% (6/17)","21%","Poor"
"12","Zay Flowers",BAL,"at PIT","3 out of 5 stars","A","15.4","+1.2","56% (9/16)","10%","Average"
"13","Tyreek Hill",MIA,"vs. LV","3 out of 5 stars","A","15.3","-2.9","26% (4/15)","13%","Bad"
"14","Terry McLaurin",WAS,"at PHI","2 out of 5 stars","A","15.2","+1.0","62% (10/16)","9%","Good"
"15","Drake London",ATL,"at DEN","3 out of 5 stars","A","15.1","+0.3","50% (8/16)","25%","Average"
"16","CeeDee Lamb",DAL,"vs. HOU","4 out of 5 stars","A","14.9","+0.6","37% (6/16)","18%","Poor"
"17","DK Metcalf",SEA,"at SF","3 out of 5 stars","A","14.3","+1.9","57% (8/14)","18%","Poor"
"18","Courtland Sutton",DEN,"vs. ATL","4 out of 5 stars","A-","14.0","+0.2","56% (9/16)","17%","Poor"
"19","Ladd McConkey",LAC,"vs. CIN","3 out of 5 stars","A-","13.3","+0.5","33% (3/9)","8%","Great"
"20","Cedric Tillman",CLE,"at NO","3 out of 5 stars","A-","13.2","+1.4","31% (5/16)","12%","Average"
"21","Calvin Ridley",TEN,"vs. MIN","3 out of 5 stars","A-","13.2","+1.4","37% (6/16)","18%","Average"
"22","Khalil Shakir",BUF,"vs. KC","4 out of 5 stars","B+","13.1","+1.5","60% (9/15)","5%","Good"
"23","Jauan Jennings",SF,"vs. SEA","3 out of 5 stars","A-","13.0","+2.5","50% (6/12)","11%","Poor"
"24","DeAndre Hopkins",KC,"at BUF","4 out of 5 stars","B+","13.0","-0.6","31% (5/16)","13%","Good"
