"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Joe Mixon",HOU,"at JAC","3 out of 5 stars","A+","21.0","+3.8","57% (8/14)","29%","Good"
"2","Alvin Kamara",NO,"vs. LAR","3 out of 5 stars","A+","20.5","-0.2","37% (6/16)","19%","Average"
"3","Saquon Barkley",PHI,"at BAL","3 out of 5 stars","A+","20.0","+4.3","53% (8/15)","23%","Good"
"4","Jahmyr Gibbs",DET,"vs. CHI","4 out of 5 stars","A","19.4","+2.4","62% (10/16)","17%","Good"
"5","Bijan Robinson",ATL,"vs. LAC","2 out of 5 stars","A","18.9","-1.2","43% (7/16)","18%","Great"
"6","Christian McCaffrey",SF,"at BUF","4 out of 5 stars","A","18.1","-2.3","37% (3/8)","9%","Bad"
"7","Chase Brown",CIN,"vs. PIT","4 out of 5 stars","A","17.7","+2.9","62% (10/16)","14%","Average"
"8","De'Von Achane",MIA,"at GB","3 out of 5 stars","A","17.7","+0.4","50% (8/16)","19%","Average"
"9","Kyren Williams",LAR,"at NO","5 out of 5 stars","A","17.5","+0.2","43% (7/16)","27%","Average"
"10","Josh Jacobs",GB,"vs. MIA","4 out of 5 stars","A-","16.7","+1.1","41% (5/12)","22%","Average"
"11","Jonathan Taylor",IND,"at NE","4 out of 5 stars","A-","16.6","-1.8","36% (4/11)","24%","Poor"
"12","Derrick Henry",BAL,"vs. PHI","3 out of 5 stars","A-","16.5","+3.2","58% (10/17)","29%","Great"
"13","Chuba Hubbard",CAR,"vs. TB","3 out of 5 stars","A-","16.4","+2.2","43% (7/16)","31%","Average"
"14","Breece Hall",NYJ,"vs. SEA","3 out of 5 stars","A-","15.6","+0.4","43% (7/16)","17%","Average"
"15","Kenneth Walker III",SEA,"at NYJ","2 out of 5 stars","B+","15.5","+1.2","46% (6/13)","25%","Good"
"16","James Cook",BUF,"vs. SF","4 out of 5 stars","B+","15.3","+2.3","57% (8/14)","20%","Great"
"17","Aaron Jones",MIN,"vs. ARI","2 out of 5 stars","B","15.3","-0.5","50% (7/14)","25%","Bad"
"18","Bucky Irving",TB,"at CAR","4 out of 5 stars","B+","15.2","+2.9","72% (8/11)","13%","Average"
"19","Tony Pollard",TEN,"at WAS","3 out of 5 stars","B","15.2","-1.5","43% (7/16)","16%","Good"
"20","David Montgomery",DET,"vs. CHI","4 out of 5 stars","B","14.5","+1.8","62% (10/16)","18%","Good"
"21","Rico Dowdle",DAL,"vs. NYG","4 out of 5 stars","B","14.2","-0.4","26% (4/15)","11%","Average"
"22","Rhamondre Stevenson",NE,"vs. IND","3 out of 5 stars","B-","14.2","-1.1","41% (5/12)","25%","Average"
