"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Ja'Marr Chase",CIN,"at DAL","3 out of 5 stars","A+","19.7","+1.9","46% (7/15)","20%","Average"
"2","Justin Jefferson",MIN,"vs. ATL","5 out of 5 stars","A+","18.2","-1.6","37% (6/16)","15%","Poor"
"3","Amon-Ra St. Brown",DET,"vs. GB","3 out of 5 stars","A+","18.1","+0.9","62% (10/16)","12%","Good"
"4","A.J. Brown",PHI,"vs. CAR","2 out of 5 stars","A+","17.9","-1.2","38% (5/13)","7%","Great"
"5","Puka Nacua",LAR,"vs. BUF","4 out of 5 stars","A+","17.2","+1.3","63% (7/11)","11%","Poor"
"6","Mike Evans",TB,"vs. LV","3 out of 5 stars","A+","16.2","-0.5","46% (6/13)","16%","Average"
"7","Tee Higgins",CIN,"at DAL","3 out of 5 stars","A","16.2","+4.0","54% (6/11)","17%","Average"
"8","Drake London",ATL,"at MIN","3 out of 5 stars","A","16.1","+0.3","50% (8/16)","26%","Poor"
"9","Cooper Kupp",LAR,"vs. BUF","4 out of 5 stars","A","15.7","+1.9","58% (7/12)","13%","Good"
"10","George Pickens",PIT,"vs. CLE","3 out of 5 stars","A","15.7","+1.2","37% (6/16)","20%","Bad"
"11","Jakobi Meyers",LV,"at TB","3 out of 5 stars","A","15.3","+1.7","50% (7/14)","14%","Bad"
"12","CeeDee Lamb",DAL,"vs. CIN","3 out of 5 stars","A","15.0","-0.2","37% (6/16)","14%","Poor"
"13","Tyreek Hill",MIA,"vs. NYJ","3 out of 5 stars","A","14.8","-4.2","20% (3/15)","14%","Poor"
"14","Calvin Ridley",TEN,"vs. JAC","4 out of 5 stars","A","14.7","-0.5","31% (5/16)","17%","Average"
"15","Ladd McConkey",LAC,"at KC","4 out of 5 stars","A","14.6","+1.1","41% (5/12)","7%","Good"
"16","Jaxon Smith-Njigba",SEA,"at ARI","4 out of 5 stars","A-","14.3","+1.4","43% (7/16)","18%","Bad"
"17","Marvin Harrison Jr.",ARI,"vs. SEA","3 out of 5 stars","A-","14.2","-1.2","41% (5/12)","19%","Good"
"18","Jayden Reed",GB,"at DET","2 out of 5 stars","A-","14.0","+2.7","53% (8/15)","7%","Great"
"19","Davante Adams",NYJ,"at MIA","3 out of 5 stars","A-","13.6","+0.1","38% (5/13)","20%","Poor"
"20","Garrett Wilson",NYJ,"at MIA","3 out of 5 stars","A-","13.6","-0.5","31% (5/16)","19%","Poor"
"21","Brian Thomas Jr.",JAC,"at TEN","2 out of 5 stars","B+","13.5","+2.0","66% (8/12)","10%","Good"
"22","DK Metcalf",SEA,"at ARI","4 out of 5 stars","B+","13.4","-0.5","42% (6/14)","19%","Bad"
"23","DJ Moore",CHI,"at SF","3 out of 5 stars","B+","13.3","+0.8","37% (6/16)","15%","Average"
"24","Jauan Jennings",SF,"vs. CHI","3 out of 5 stars","B+","13.1","+2.6","50% (6/12)","11%","Poor"
"25","Keenan Allen",CHI,"at SF","3 out of 5 stars","B-","12.7","+0.2","27% (3/11)","14%","Good"
"26","Jerry Jeudy",CLE,"at PIT","2 out of 5 stars","B-","12.4","+1.6","56% (9/16)","11%","Poor"
"27","Khalil Shakir",BUF,"at LAR","4 out of 5 stars","B","12.4","+0.2","53% (8/15)","7%","Average"
"28","Deebo Samuel Sr.",SF,"vs. CHI","3 out of 5 stars","B","12.2","-2.4","33% (5/15)","9%","Bad"
"29","Jordan Addison",MIN,"vs. ATL","5 out of 5 stars","B-","12.2","+1.7","35% (5/14)","13%","Average"
"30","Jameson Williams",DET,"vs. GB","3 out of 5 stars","C+","11.9","+1.3","53% (8/15)","8%","Average"
"31","Christian Watson",GB,"at DET","2 out of 5 stars","C+","11.8","-1.6","27% (3/11)","14%","Bad"
"32","DeVonta Smith",PHI,"vs. CAR","2 out of 5 stars","C+","11.8","-1.1","38% (5/13)","9%","Good"
"33","Jaylen Waddle",MIA,"vs. NYJ","3 out of 5 stars","C+","11.6","-0.8","20% (3/15)","6%","Poor"
"34","Darnell Mooney",ATL,"at MIN","3 out of 5 stars","C+","11.2","+0.5","46% (7/15)","18%","Average"
"35","DeAndre Hopkins",KC,"vs. LAC","4 out of 5 stars","C+","11.0","-0.9","31% (5/16)","12%","Average"
"36","Nick Westbrook-Ikhine",TEN,"vs. JAC","4 out of 5 stars","C","10.7","+3.9","58% (7/12)","23%","Great"
"37","Elijah Moore",CLE,"at PIT","2 out of 5 stars","C","10.7","+0.1","37% (6/16)","7%","Bad"
"38","Amari Cooper",BUF,"at LAR","4 out of 5 stars","C","10.5","+1.4","30% (4/13)","6%","Great"
"39","Adam Thielen",CAR,"at PHI","2 out of 5 stars","C","10.5","+0.9","44% (4/9)","7%","Great"
"40","Rome Odunze",CHI,"at SF","3 out of 5 stars","C","10.2","-1.1","25% (3/12)","16%","Bad"
"41","Dontayvion Wicks",GB,"at DET","2 out of 5 stars","C","10.2","-0.8","33% (5/15)","9%","Average"
"42","Malik Nabers",NYG,"vs. NO","3 out of 5 stars","A-","10.2","-0.1","30% (3/10)","23%","Bad"
"43","Xavier Legette",CAR,"at PHI","2 out of 5 stars","C","9.7","-0.6","50% (6/12)","10%","Average"
"44","Wan'Dale Robinson",NYG,"vs. NO","3 out of 5 stars","C","9.5","+0.1","43% (7/16)","8%","Average"
"45","Xavier Worthy",KC,"vs. LAC","4 out of 5 stars","C","9.4","-0.9","41% (5/12)","6%","Good"
"46","Marquez Valdes-Scantling",NO,"at NYG","3 out of 5 stars","C","9.0","+0.8","28% (4/14)","11%","Great"
"47","Tre Tucker",LV,"at TB","3 out of 5 stars","C","8.7","+1.4","37% (6/16)","7%","Good"
"48","Quentin Johnston",LAC,"at KC","4 out of 5 stars","C","8.7","+0.5","50% (7/14)","12%","Great"
"49","Parker Washington",JAC,"at TEN","2 out of 5 stars","C-","8.5","-0.1","26% (4/15)","7%","Bad"
"50","Michael Wilson",ARI,"vs. SEA","3 out of 5 stars","C-","8.4","-0.5","53% (8/15)","13%","Poor"
"51","Joshua Palmer",LAC,"at KC","4 out of 5 stars","C-","8.1","-0.7","23% (3/13)","9%","Bad"
"52","Ray-Ray McCloud III",ATL,"at MIN","3 out of 5 stars","C-","8.1","+0.3","58% (7/12)","5%","Poor"
"53","David Moore",CAR,"at PHI","2 out of 5 stars","C-","7.9","+1.4","43% (7/16)","12%","Bad"
