"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Baltimore Ravens",BAL,"at NYG","5 out of 5 stars","A+","8.9","0.0","37% (6/16)"
"2","Minnesota Vikings",MIN,"vs. CHI","4 out of 5 stars","A","7.7","+2.9","62% (10/16)"
"3","Kansas City Chiefs",KC,"at CLE","5 out of 5 stars","A","7.4","-1.0","31% (5/16)"
"4","Denver Broncos",DEN,"vs. IND","3 out of 5 stars","A-","7.4","+2.4","62% (10/16)"
"5","Philadelphia Eagles",PHI,"vs. PIT","3 out of 5 stars","B+","7.3","+0.1","50% (8/16)"
"6","Washington Commanders",WAS,"at NO","4 out of 5 stars","B+","7.1","-1.7","25% (4/16)"
"7","New York Jets",NYJ,"at JAC","3 out of 5 stars","B","7.0","-0.4","37% (6/16)"
"8","Arizona Cardinals",ARI,"vs. NE","5 out of 5 stars","B","6.9","+0.1","50% (8/16)"
"9","Cincinnati Bengals",CIN,"at TEN","5 out of 5 stars","B","6.7","-2.1","37% (6/16)"
"10","Atlanta Falcons",ATL,"at LV","5 out of 5 stars","B-","6.7","-1.8","25% (4/16)"
"11","Los Angeles Chargers",LAC,"vs. TB","2 out of 5 stars","B-","6.6","+0.9","56% (9/16)"
"12","Green Bay Packers",GB,"at SEA","3 out of 5 stars","C+","6.4","+1.6","56% (9/16)"
"13","Pittsburgh Steelers",PIT,"at PHI","2 out of 5 stars","C+","6.2","+2.7","68% (11/16)"
"14","San Francisco 49ers",SF,"vs. LAR","2 out of 5 stars","C","6.0","+0.1","37% (6/16)"
"15","Dallas Cowboys",DAL,"at CAR","3 out of 5 stars","C","5.9","-0.3","31% (5/16)"
"16","Miami Dolphins",MIA,"at HOU","3 out of 5 stars","C-","5.9","-1.3","31% (5/16)"
"17","Seattle Seahawks",SEA,"vs. GB","1 out of 5 stars","D+","5.8","+1.7","50% (8/16)"
"18","Houston Texans",HOU,"vs. MIA","4 out of 5 stars","D+","5.8","+2.9","62% (10/16)"
"19","Carolina Panthers",CAR,"vs. DAL","4 out of 5 stars","D","5.7","-2.3","31% (5/16)"
"20","Detroit Lions",DET,"vs. BUF","1 out of 5 stars","D","5.6","+2.0","56% (9/16)"
"21","Jacksonville Jaguars",JAC,"vs. NYJ","3 out of 5 stars","D","5.6","-1.0","31% (5/16)"
"22","Chicago Bears",CHI,"at MIN","3 out of 5 stars","D","5.6","+1.5","50% (8/16)"
"23","Las Vegas Raiders",LV,"vs. ATL","3 out of 5 stars","D-","5.5","-0.3","31% (5/16)"
"24","Tampa Bay Buccaneers",TB,"at LAC","3 out of 5 stars","D-","5.5","-0.3","31% (5/16)"
"25","Buffalo Bills",BUF,"at DET","1 out of 5 stars","F","5.5","+2.0","50% (8/16)"
"26","Cleveland Browns",CLE,"vs. KC","3 out of 5 stars","F","5.3","+0.4","56% (9/16)"
"27","Indianapolis Colts",IND,"at DEN","2 out of 5 stars","F","5.3","-0.3","37% (6/16)"
"28","New England Patriots",NE,"at ARI","2 out of 5 stars","F","5.2","+0.4","43% (7/16)"
"29","New Orleans Saints",NO,"vs. WAS","1 out of 5 stars","F","5.1","+0.7","50% (8/16)"
"30","Los Angeles Rams",LAR,"at SF","2 out of 5 stars","F","5.1","+0.3","37% (6/16)"
"31","Tennessee Titans",TEN,"vs. CIN","3 out of 5 stars","F","4.7","-1.2","37% (6/16)"
"32","New York Giants",NYG,"vs. BAL","1 out of 5 stars","F","4.4","+0.1","43% (7/16)"
