"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Brock Bowers",LV,"vs. ATL","4 out of 5 stars","A+","16.1","+2.1","61% (8/13)","12%","Poor"
"2","Trey McBride",ARI,"vs. NE","3 out of 5 stars","A","15.2","+0.8","46% (7/15)","22%","Bad"
"3","George Kittle",SF,"vs. LAR","2 out of 5 stars","A","13.9","+2.3","71% (10/14)","11%","Great"
"4","Travis Kelce",KC,"at CLE","3 out of 5 stars","A-","13.7","-3.0","31% (5/16)","10%","Bad"
"5","T.J. Hockenson",MIN,"vs. CHI","3 out of 5 stars","A-","11.8","-1.5","25% (2/8)","12%","Bad"
"6","Jonnu Smith",MIA,"at HOU","2 out of 5 stars","B+","11.1","+2.8","56% (9/16)","9%","Average"
"7","Sam LaPorta",DET,"vs. BUF","3 out of 5 stars","B","11.0","0.0","40% (6/15)","11%","Average"
"8","Tucker Kraft",GB,"at SEA","4 out of 5 stars","B","10.8","+2.4","68% (11/16)","8%","Great"
"9","Hunter Henry",NE,"at ARI","2 out of 5 stars","B-","9.9","+0.7","50% (7/14)","11%","Bad"
"10","Mark Andrews",BAL,"at NYG","3 out of 5 stars","C+","9.7","+1.3","53% (7/13)","8%","Great"
"11","Zach Ertz",WAS,"at NO","3 out of 5 stars","C+","9.7","+1.3","61% (8/13)","10%","Poor"
"12","Cade Otton",TB,"at LAC","2 out of 5 stars","C","9.6","0.0","43% (7/16)","11%","Poor"
"13","Jake Ferguson",DAL,"at CAR","4 out of 5 stars","C","9.6","-2.6","23% (3/13)","6%","Bad"
"14","Pat Freiermuth",PIT,"at PHI","3 out of 5 stars","C-","9.6","+0.3","43% (7/16)","7%","Great"
"15","Dalton Schultz",HOU,"vs. MIA","2 out of 5 stars","D+","8.8","-1.1","37% (6/16)","6%","Bad"
"16","Dalton Kincaid",BUF,"at DET","3 out of 5 stars","D+","8.4","-2.6","30% (4/13)","8%","Poor"
"17","Juwan Johnson",NO,"vs. WAS","3 out of 5 stars","D+","8.3","+1.8","62% (10/16)","7%","Good"
"18","Kyle Pitts",ATL,"at LV","4 out of 5 stars","D","7.6","-1.4","37% (6/16)","8%","Average"
"19","Stone Smartt",LAC,"vs. TB","3 out of 5 stars","D","7.5","+0.2","41% (5/12)","5%","Bad"
"20","Cole Kmet",CHI,"at MIN","3 out of 5 stars","D-","7.2","+0.3","43% (7/16)","8%","Good"
"21","Noah Gray",KC,"at CLE","3 out of 5 stars","D-","7.1","+2.5","75% (12/16)","4%","Good"
"22","Jordan Akins",CLE,"vs. KC","3 out of 5 stars","F","7.0","+0.4","50% (8/16)","2%","Average"
"23","Grant Calcaterra",PHI,"vs. PIT","4 out of 5 stars","F","6.7","+0.7","50% (7/14)","2%","Great"
"24","Isaiah Likely",BAL,"at NYG","3 out of 5 stars","F","6.6","+1.5","46% (7/15)","13%","Average"
"25","Noah Fant",SEA,"vs. GB","4 out of 5 stars","F","6.3","-0.5","30% (4/13)","4%","Bad"
"26","Chig Okonkwo",TEN,"vs. CIN","3 out of 5 stars","F","6.2","+0.2","31% (5/16)","7%","Average"
"27","Brenton Strange",JAC,"vs. NYJ","4 out of 5 stars","F","6.1","+0.4","37% (6/16)","6%","Average"
"28","Mike Gesicki",CIN,"at TEN","3 out of 5 stars","F","6.0","+0.4","43% (7/16)","6%","Bad"
"29","Tyler Conklin",NYJ,"at JAC","4 out of 5 stars","F","5.9","-0.6","37% (6/16)","9%","Bad"
"30","Michael Mayer",LV,"vs. ATL","4 out of 5 stars","F","5.9","+0.9","25% (2/8)","4%","Bad"
"31","Austin Hooper",NE,"at ARI","2 out of 5 stars","F","5.6","+1.4","56% (9/16)","6%","Good"
"32","Daniel Bellinger",NYG,"vs. BAL","3 out of 5 stars","F","5.6","+0.3","42% (6/14)","3%","Bad"
"33","Ja'Tavion Sanders",CAR,"vs. DAL","4 out of 5 stars","F","5.3","+0.5","58% (7/12)","6%","Bad"
"34","Foster Moreau",NO,"vs. WAS","3 out of 5 stars","F","4.9","+0.4","50% (8/16)","7%","Good"
"35","Dawson Knox",BUF,"at DET","3 out of 5 stars","F","4.9","-0.9","25% (4/16)","3%","Average"
"36","Darnell Washington",PIT,"at PHI","3 out of 5 stars","F","4.2","+0.3","43% (7/16)","4%","Poor"
"37","Tommy Tremble",CAR,"vs. DAL","4 out of 5 stars","F","3.9","+0.5","63% (7/11)","5%","Average"
"38","Josh Oliver",MIN,"vs. CHI","3 out of 5 stars","F","3.8","+1.9","64% (9/14)","5%","Great"
"39","Luke Schoonmaker",DAL,"at CAR","4 out of 5 stars","F","3.8","+0.5","37% (6/16)","2%","Great"
"40","Kylen Granson",IND,"at DEN","2 out of 5 stars","F","3.7","-1.0","25% (4/16)","2%","Bad"
"41","Colby Parkinson",LAR,"at SF","3 out of 5 stars","F","3.5","-0.7","31% (5/16)","9%","Bad"
"42","Cade Stover",HOU,"vs. MIA","2 out of 5 stars","F","3.5","+0.4","50% (6/12)","3%","Average"
"43","Lucas Krull",DEN,"vs. IND","3 out of 5 stars","F","3.4","+0.3","36% (4/11)","1%","Bad"
"44","Drew Sample",CIN,"at TEN","3 out of 5 stars","F","3.3","+0.4","43% (7/16)","3%","Average"
"45","Blake Whiteheart",CLE,"vs. KC","3 out of 5 stars","F","3.2","0.0","12% (1/8)","6%","Good"
"46","Adam Trautman",DEN,"vs. IND","3 out of 5 stars","F","3.1","-0.3","25% (4/16)","4%","Poor"
"47","AJ Barner",SEA,"vs. GB","4 out of 5 stars","F","3.0","+0.9","38% (5/13)","4%","Great"
"48","Tucker Fisk",LAC,"vs. TB","3 out of 5 stars","F","2.9","-","-","5%","Bad"
"49","Tanner Hudson",CIN,"at TEN","3 out of 5 stars","F","2.8","+1.2","60% (6/10)","5%","Poor"
"50","Julian Hill",MIA,"at HOU","2 out of 5 stars","F","2.7","+0.1","46% (7/15)","5%","Bad"
"51","Luke Farrell",JAC,"vs. NYJ","4 out of 5 stars","F","2.4","-0.6","20% (3/15)","1%","Bad"
"52","Jeremy Ruckert",NYJ,"at JAC","4 out of 5 stars","F","2.4","-0.5","33% (5/15)","2%","Bad"
"53","David Njoku",CLE,"vs. KC","3 out of 5 stars","F","2.2","+3.0","61% (8/13)","15%","Average"
"54","Elijah Higgins",ARI,"vs. NE","3 out of 5 stars","F","2.2","+1.3","62% (10/16)","6%","Good"
