"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"vs. NYJ","3 out of 5 stars","A+","21.2","+2.5","62% (10/16)","30%","Great"
"2","Bijan Robinson",ATL,"vs. PIT","2 out of 5 stars","A+","18.5","-2.5","37% (6/16)","32%","Good"
"3","Breece Hall",NYJ,"at SF","3 out of 5 stars","A+","18.1","+1.4","50% (8/16)","18%","Great"
"4","Jonathan Taylor",IND,"vs. HOU","2 out of 5 stars","A","17.0","-0.1","44% (4/9)","24%","Average"
"5","Saquon Barkley",PHI,"vs. GB","4 out of 5 stars","A","16.8","-0.9","38% (5/13)","0%","N/A"
"6","Rachaad White",TB,"vs. WAS","4 out of 5 stars","A","16.4","+1.2","62% (10/16)","20%","Good"
"7","Travis Etienne Jr.",JAC,"at MIA","4 out of 5 stars","A","16.3","+0.7","56% (9/16)","25%","Great"
"8","Jahmyr Gibbs",DET,"vs. LAR","1 out of 5 stars","A","16.2","+1.6","50% (7/14)","17%","Great"
"9","James Cook",BUF,"vs. ARI","4 out of 5 stars","A","15.6","+0.9","50% (8/16)","23%","Poor"
"10","De'Von Achane",MIA,"vs. JAC","3 out of 5 stars","A-","15.1","+6.1","50% (5/10)","12%","Great"
"11","Kyren Williams",LAR,"at DET","3 out of 5 stars","A-","15.1","+5.5","66% (8/12)","29%","Good"
"12","Alvin Kamara",NO,"vs. CAR","4 out of 5 stars","A","15.0","+0.1","46% (6/13)","24%","Poor"
"13","Josh Jacobs",GB,"at PHI","2 out of 5 stars","A-","14.8","-2.3","38% (5/13)","0%","N/A"
"14","Kenneth Walker III",SEA,"vs. DEN","5 out of 5 stars","B+","14.8","-0.4","42% (6/14)","27%","Average"
"15","Isiah Pacheco",KC,"vs. BAL","3 out of 5 stars","B+","14.7","+1.1","50% (7/14)","26%","Average"
"16","Derrick Henry",BAL,"at KC","3 out of 5 stars","B+","14.3","-0.5","56% (9/16)","0%","Great"
"17","Joe Mixon",HOU,"at IND","4 out of 5 stars","B","14.2","+0.4","37% (6/16)","0%","N/A"
"18","Aaron Jones",MIN,"at NYG","5 out of 5 stars","B","13.3","-2.3","40% (4/10)","0%","N/A"
"19","James Conner",ARI,"at BUF","4 out of 5 stars","B","13.1","+1.3","50% (6/12)","27%","Average"
"20","D'Andre Swift",CHI,"vs. TEN","2 out of 5 stars","B","12.9","-1.4","31% (5/16)","0%","N/A"
"21","Rhamondre Stevenson",NE,"at CIN","3 out of 5 stars","B-","12.6","-1.9","33% (4/12)","18%","Average"
"22","Devin Singletary",NYG,"vs. MIN","2 out of 5 stars","B-","12.6","+0.1","50% (8/16)","0%","Great"
"23","David Montgomery",DET,"vs. LAR","1 out of 5 stars","B-","11.9","+2.0","61% (8/13)","26%","Average"
"24","Raheem Mostert",MIA,"vs. JAC","3 out of 5 stars","B-","11.8","+3.8","60% (9/15)","24%","Great"
"25","Chuba Hubbard",CAR,"at NO","3 out of 5 stars","C+","11.8","+0.5","37% (6/16)","28%","Poor"
"26","Javonte Williams",DEN,"at SEA","4 out of 5 stars","C+","11.7","-1.8","26% (4/15)","24%","Poor"
"27","Jerome Ford",CLE,"vs. DAL","3 out of 5 stars","C+","11.6","+1.9","43% (7/16)","11%","Great"
"28","Najee Harris",PIT,"at ATL","3 out of 5 stars","C+","11.5","0.0","43% (7/16)","30%","Average"
"29","Tony Pollard",TEN,"at CHI","3 out of 5 stars","C","11.2","-3.5","31% (5/16)","0%","N/A"
"30","Zamir White",LV,"at LAC","2 out of 5 stars","C","11.1","-0.5","25% (4/16)","13%","Bad"
"31","Austin Ekeler",WAS,"at TB","3 out of 5 stars","C","10.7","-3.6","38% (5/13)","0%","N/A"
"32","Chase Brown",CIN,"vs. NE","2 out of 5 stars","C","10.6","+1.3","40% (4/10)","4%","Great"
"33","Zack Moss",CIN,"vs. NE","2 out of 5 stars","C","10.4","+2.0","46% (6/13)","0%","N/A"
"34","Tyjae Spears",TEN,"at CHI","3 out of 5 stars","C","10.4","0.0","43% (7/16)","11%","Poor"
"35","Brian Robinson Jr.",WAS,"at TB","3 out of 5 stars","C","10.2","+1.3","50% (7/14)","25%","Great"
"36","Jaylen Warren",PIT,"at ATL","3 out of 5 stars","C-","10.1","+0.4","43% (7/16)","18%","Average"
"37","Gus Edwards",LAC,"vs. LV","4 out of 5 stars","C-","9.3","+2.6","56% (9/16)","0%","N/A"
"38","J.K. Dobbins",LAC,"vs. LV","4 out of 5 stars","C-","9.3","-1.7","0% (0/1)","0%","N/A"
"39","Ezekiel Elliott",DAL,"at CLE","3 out of 5 stars","C-","9.1","+0.4","46% (7/15)","0%","N/A"
"40","Jaleel McLaughlin",DEN,"at SEA","4 out of 5 stars","D+","8.8","+0.8","37% (6/16)","7%","Good"
"41","Antonio Gibson",NE,"at CIN","3 out of 5 stars","D","8.1","0.0","53% (8/15)","0%","N/A"
"42","Rico Dowdle",DAL,"at CLE","3 out of 5 stars","D","8.1","+0.1","33% (5/15)","8%","Average"
"43","Zach Charbonnet",SEA,"vs. DEN","5 out of 5 stars","D","7.9","-1.1","40% (6/15)","12%","Bad"
"44","Blake Corum",LAR,"at DET","3 out of 5 stars","D","7.8","-","-","0%","N/A"
"45","Tyler Allgeier",ATL,"vs. PIT","2 out of 5 stars","D-","7.1","+0.2","31% (5/16)","22%","Average"
"46","Ty Chandler",MIN,"at NYG","5 out of 5 stars","D-","6.9","+0.2","31% (5/16)","9%","Average"
"47","Khalil Herbert",CHI,"vs. TEN","2 out of 5 stars","F","6.8","+0.2","27% (3/11)","15%","Average"
"48","Ray Davis",BUF,"vs. ARI","4 out of 5 stars","F","6.7","-","-","0%","N/A"
"49","D'Onta Foreman",CLE,"vs. DAL","3 out of 5 stars","F","6.6","+1.4","55% (5/9)","0%","N/A"
"50","Samaje Perine",KC,"vs. BAL","3 out of 5 stars","F","6.5","-0.5","37% (6/16)","0%","Bad"
"51","Jamaal Williams",NO,"vs. CAR","4 out of 5 stars","F","6.3","-2.3","16% (2/12)","6%","Bad"
