"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. BAL","2 out of 5 stars","A+","15.0","-2.2","26% (4/15)","17%","Average"
"2","Sam LaPorta",DET,"vs. LAR","4 out of 5 stars","A","14.4","+2.5","56% (9/16)","15%","Good"
"3","Trey McBride",ARI,"at BUF","3 out of 5 stars","A","12.9","+1.5","43% (7/16)","13%","Bad"
"4","Evan Engram",JAC,"at MIA","4 out of 5 stars","A","12.9","+0.8","43% (7/16)","11%","Average"
"5","Dalton Kincaid",BUF,"vs. ARI","3 out of 5 stars","A-","12.8","-1.0","31% (5/16)","11%","Poor"
"6","Mark Andrews",BAL,"at KC","2 out of 5 stars","B+","12.6","+0.3","50% (5/10)","17%","Good"
"7","Kyle Pitts",ATL,"vs. PIT","3 out of 5 stars","B+","12.0","-0.6","31% (5/16)","14%","Average"
"8","David Njoku",CLE,"vs. DAL","3 out of 5 stars","B","11.1","+2.2","62% (10/16)","20%","Average"
"9","George Kittle",SF,"vs. NYJ","3 out of 5 stars","B","11.1","+1.0","50% (8/16)","9%","Good"
"10","Jake Ferguson",DAL,"at CLE","4 out of 5 stars","B-","10.7","+0.4","50% (8/16)","20%","Poor"
"11","Dallas Goedert",PHI,"vs. GB","3 out of 5 stars","C+","10.3","+0.2","30% (4/13)","9%","Good"
"12","Brock Bowers",LV,"at LAC","4 out of 5 stars","C-","9.7","-","-","0%","N/A"
"13","Dalton Schultz",HOU,"at IND","2 out of 5 stars","C","9.3","+0.7","50% (7/14)","13%","Average"
"14","Taysom Hill",NO,"vs. CAR","3 out of 5 stars","D+","8.2","+1.8","53% (8/15)","16%","Average"
"15","Tyler Conklin",NYJ,"at SF","2 out of 5 stars","D+","7.9","+0.3","50% (8/16)","11%","Bad"
"16","Pat Freiermuth",PIT,"at ATL","4 out of 5 stars","D","7.7","-1.4","27% (3/11)","13%","Average"
"17","Hunter Henry",NE,"at CIN","3 out of 5 stars","D","7.7","+0.8","42% (6/14)","11%","Great"
"18","Cade Otton",TB,"vs. WAS","4 out of 5 stars","D","7.7","+0.2","50% (8/16)","12%","Average"
"19","Colby Parkinson",LAR,"at DET","3 out of 5 stars","D","7.5","+0.5","43% (7/16)","0%","N/A"
"20","Noah Fant",SEA,"vs. DEN","4 out of 5 stars","D-","7.5","-0.7","50% (8/16)","3%","Bad"
"21","Luke Musgrave",GB,"at PHI","3 out of 5 stars","D-","7.3","-0.4","40% (4/10)","5%","Average"
"22","Zach Ertz",WAS,"at TB","3 out of 5 stars","D-","7.1","-0.6","57% (4/7)","0%","N/A"
"23","Cole Kmet",CHI,"vs. TEN","3 out of 5 stars","F","6.9","+1.1","50% (8/16)","21%","Average"
"24","Juwan Johnson",NO,"vs. CAR","3 out of 5 stars","F","6.7","+0.5","38% (5/13)","11%","Average"
"25","Chig Okonkwo",TEN,"at CHI","4 out of 5 stars","F","6.7","-0.7","25% (4/16)","8%","Bad"
"26","Jonnu Smith",MIA,"vs. JAC","4 out of 5 stars","F","6.1","+0.6","43% (7/16)","0%","Great"
"27","Mike Gesicki",CIN,"vs. NE","3 out of 5 stars","F","6.1","-0.4","43% (7/16)","0%","N/A"
"28","Greg Dulcich",DEN,"at SEA","3 out of 5 stars","F","5.7","-2.8","0% (0/2)","1%","Bad"
"29","Isaiah Likely",BAL,"at KC","2 out of 5 stars","F","5.5","+1.1","37% (6/16)","8%","Great"
"30","Johnny Mundt",MIN,"at NYG","2 out of 5 stars","F","5.2","+0.6","50% (8/16)","4%","Average"
"31","Dawson Knox",BUF,"vs. ARI","3 out of 5 stars","F","5.1","-1.8","27% (3/11)","19%","Poor"
"32","Kylen Granson",IND,"vs. HOU","3 out of 5 stars","F","5.1","0.0","35% (5/14)","6%","Bad"
"33","Tucker Kraft",GB,"at PHI","3 out of 5 stars","F","5.0","+0.9","53% (8/15)","7%","Average"
"34","Michael Mayer",LV,"at LAC","4 out of 5 stars","F","4.9","+0.4","35% (5/14)","6%","Great"
"35","Gerald Everett",CHI,"vs. TEN","3 out of 5 stars","F","4.8","+0.4","64% (9/14)","0%","N/A"
"36","Ja'Tavion Sanders",CAR,"at NO","3 out of 5 stars","F","4.8","-","-","0%","N/A"
"37","Josh Oliver",MIN,"at NYG","2 out of 5 stars","F","4.8","+0.3","43% (7/16)","7%","Average"
"38","Hayden Hurst",LAC,"vs. LV","3 out of 5 stars","F","4.7","-1.1","22% (2/9)","0%","N/A"
"39","Ben Sinnott",WAS,"at TB","3 out of 5 stars","F","4.5","-","-","0%","N/A"
"40","Will Dissly",LAC,"vs. LV","3 out of 5 stars","F","4.1","-0.6","33% (5/15)","0%","N/A"
"41","Theo Johnson",NYG,"vs. MIN","4 out of 5 stars","F","4.1","-","-","0%","N/A"
"42","Daniel Bellinger",NYG,"vs. MIN","4 out of 5 stars","F","3.8","+0.1","50% (8/16)","5%","Bad"
"43","Noah Gray",KC,"vs. BAL","2 out of 5 stars","F","3.2","+0.8","56% (9/16)","4%","Average"
"44","Foster Moreau",NO,"vs. CAR","3 out of 5 stars","F","3.0","+0.5","50% (7/14)","3%","Good"
"45","Tanner Hudson",CIN,"vs. NE","3 out of 5 stars","F","2.9","+0.6","50% (6/12)","4%","Average"
"46","Adam Trautman",DEN,"at SEA","3 out of 5 stars","F","2.9","-0.6","31% (5/16)","12%","Poor"
"47","Jeremy Ruckert",NYJ,"at SF","2 out of 5 stars","F","2.8","-0.1","26% (4/15)","3%","Bad"
"48","Josh Whyle",TEN,"at CHI","4 out of 5 stars","F","2.8","-0.3","27% (3/11)","11%","Bad"
"49","Austin Hooper",NE,"at CIN","3 out of 5 stars","F","2.8","-1.0","31% (5/16)","0%","N/A"
"50","Drew Sample",CIN,"vs. NE","3 out of 5 stars","F","2.8","+0.9","56% (9/16)","2%","Great"
"51","Brevin Jordan",HOU,"at IND","2 out of 5 stars","F","2.4","+1.3","53% (7/13)","3%","Great"
"52","Durham Smythe",MIA,"vs. JAC","4 out of 5 stars","F","2.4","+0.2","53% (8/15)","5%","Bad"
"53","Davis Allen",LAR,"at DET","3 out of 5 stars","F","2.3","+0.9","33% (3/9)","3%","Great"
"54","Will Mallory",IND,"vs. HOU","3 out of 5 stars","F","2.1","+0.8","45% (5/11)","1%","Bad"
"55","Elijah Higgins",ARI,"at BUF","3 out of 5 stars","F","2.1","+1.1","44% (4/9)","3%","Great"
