"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","New York Jets",NYJ,"at TEN","4 out of 5 stars","A+","9.1","+1.0","56% (9/16)"
"2","Baltimore Ravens",BAL,"vs. LV","3 out of 5 stars","A","8.4","+3.1","62% (10/16)"
"3","Pittsburgh Steelers",PIT,"at DEN","4 out of 5 stars","A","8.4","+1.5","50% (8/16)"
"4","Los Angeles Chargers",LAC,"at CAR","5 out of 5 stars","A-","8.3","+0.9","50% (8/16)"
"5","San Francisco 49ers",SF,"at MIN","4 out of 5 stars","B+","8.3","+0.9","43% (7/16)"
"6","Indianapolis Colts",IND,"at GB","2 out of 5 stars","B+","8.2","+1.7","50% (8/16)"
"7","Dallas Cowboys",DAL,"vs. NO","3 out of 5 stars","B","8.2","+1.6","43% (7/16)"
"8","Kansas City Chiefs",KC,"vs. CIN","3 out of 5 stars","B","7.7","+0.4","56% (9/16)"
"9","Philadelphia Eagles",PHI,"vs. ATL","5 out of 5 stars","B","7.4","-1.7","31% (5/16)"
"10","Houston Texans",HOU,"vs. CHI","4 out of 5 stars","B-","7.3","+1.4","56% (9/16)"
"11","Jacksonville Jaguars",JAC,"vs. CLE","5 out of 5 stars","B-","7.1","+0.4","43% (7/16)"
"12","Seattle Seahawks",SEA,"at NE","4 out of 5 stars","C+","6.7","+0.8","56% (9/16)"
"13","Denver Broncos",DEN,"vs. PIT","2 out of 5 stars","C","6.6","+1.6","62% (10/16)"
"14","Cleveland Browns",CLE,"at JAC","3 out of 5 stars","C","6.6","+1.9","62% (10/16)"
"15","Detroit Lions",DET,"vs. TB","2 out of 5 stars","C","6.5","-0.4","37% (6/16)"
"16","Washington Commanders",WAS,"vs. NYG","5 out of 5 stars","C","6.4","-3.2","37% (6/16)"
"17","New England Patriots",NE,"vs. SEA","3 out of 5 stars","C-","6.4","+0.6","50% (8/16)"
"18","New York Giants",NYG,"at WAS","5 out of 5 stars","D+","6.3","+1.1","50% (8/16)"
"19","Tennessee Titans",TEN,"vs. NYJ","5 out of 5 stars","D","6.3","-0.3","50% (8/16)"
"20","Buffalo Bills",BUF,"at MIA","2 out of 5 stars","D","6.2","+2.0","50% (8/16)"
"21","New Orleans Saints",NO,"at DAL","1 out of 5 stars","D","6.1","+1.9","43% (7/16)"
"22","Chicago Bears",CHI,"at HOU","3 out of 5 stars","D-","6.0","+2.6","56% (9/16)"
"23","Miami Dolphins",MIA,"vs. BUF","1 out of 5 stars","D","5.8","+1.9","56% (9/16)"
"24","Los Angeles Rams",LAR,"at ARI","4 out of 5 stars","F","5.7","-1.4","25% (4/16)"
"25","Green Bay Packers",GB,"vs. IND","2 out of 5 stars","F","5.7","-0.3","43% (7/16)"
"26","Arizona Cardinals",ARI,"vs. LAR","2 out of 5 stars","F","5.7","-2.1","31% (5/16)"
"27","Atlanta Falcons",ATL,"at PHI","2 out of 5 stars","F","5.5","-0.9","37% (6/16)"
"28","Minnesota Vikings",MIN,"vs. SF","1 out of 5 stars","F","5.5","+2.6","56% (9/16)"
"29","Tampa Bay Buccaneers",TB,"at DET","2 out of 5 stars","F","5.4","+0.2","31% (5/16)"
"30","Cincinnati Bengals",CIN,"at KC","3 out of 5 stars","F","5.3","+0.4","43% (7/16)"
"31","Carolina Panthers",CAR,"vs. LAC","2 out of 5 stars","F","5.3","-1.9","31% (5/16)"
"32","Las Vegas Raiders",LV,"at BAL","1 out of 5 stars","F","5.0","+2.5","56% (9/16)"
