"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","CeeDee Lamb",DAL,"vs. NO","4 out of 5 stars","A+","21.4","+3.8","50% (8/16)","9%","Bad"
"2","Tyreek Hill",MIA,"vs. BUF","3 out of 5 stars","A+","20.4","+0.5","60% (9/15)","16%","Average"
"3","Amon-Ra St. Brown",DET,"vs. TB","4 out of 5 stars","A+","20.2","+1.0","53% (8/15)","6%","Bad"
"4","Cooper Kupp",LAR,"at ARI","4 out of 5 stars","A+","18.5","-0.7","46% (6/13)","33%","Average"
"5","Ja'Marr Chase",CIN,"at KC","3 out of 5 stars","A+","17.8","-0.6","33% (5/15)","8%","Bad"
"6","Justin Jefferson",MIN,"vs. SF","3 out of 5 stars","A+","17.8","-1.1","44% (4/9)","25%","Good"
"7","Rashee Rice",KC,"vs. CIN","3 out of 5 stars","A","17.7","+2.3","68% (11/16)","0%","Bad"
"8","Garrett Wilson",NYJ,"at TEN","4 out of 5 stars","A","17.4","-1.5","37% (6/16)","24%","Bad"
"9","Deebo Samuel Sr.",SF,"at MIN","3 out of 5 stars","A","16.5","+2.3","64% (9/14)","33%","Average"
"10","Malik Nabers",NYG,"at WAS","4 out of 5 stars","A","16.4","-2.9","0% (0/1)","8%","Bad"
"11","Chris Godwin",TB,"at DET","4 out of 5 stars","A","15.9","+0.5","37% (6/16)","14%","Great"
"12","Jaylen Waddle",MIA,"vs. BUF","3 out of 5 stars","A","15.5","-0.3","42% (6/14)","7%","Bad"
"13","DeVonta Smith",PHI,"vs. ATL","3 out of 5 stars","A","15.1","+0.5","43% (7/16)","5%","Bad"
"14","Mike Evans",TB,"at DET","4 out of 5 stars","A","15.0","+2.9","62% (10/16)","43%","Good"
"15","A.J. Brown",PHI,"vs. ATL","3 out of 5 stars","A","14.9","+0.9","50% (8/16)","20%","Good"
"16","Nico Collins",HOU,"vs. CHI","3 out of 5 stars","A","14.9","+2.5","50% (7/14)","6%","Bad"
"17","DJ Moore",CHI,"at HOU","3 out of 5 stars","A","14.8","+3.2","50% (8/16)","16%","Bad"
"18","Chris Olave",NO,"at DAL","2 out of 5 stars","A","14.8","-1.2","46% (7/15)","2%","Bad"
"19","Michael Pittman Jr.",IND,"at GB","3 out of 5 stars","A-","14.5","+0.1","53% (8/15)","0%","N/A"
"20","Davante Adams",LV,"at BAL","1 out of 5 stars","A-","14.3","-0.8","37% (6/16)","20%","Bad"
