PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
D'Andre Swift,PHI,2.52,21.43,2.56,28,175,41,6.3,1.46,50,1
Bijan Robinson,ATL,3.39,21.05,2.94,19,124,56,6.5,2.94,52.6,0
James Cook,BUF,2.7,5.88,2.97,17,123,44,7.2,2.58,47.1,0
Raheem Mostert,MIA,3.14,11.11,2.88,18,121,40,6.7,2.24,38.9,2
Christian McCaffrey,SF,3.19,5,2.66,20,116,42,5.8,2.2,42.1,1
James Conner,ARI,4.22,21.74,3.1,23,106,26,4.6,1.15,39.1,1
Jerome Ford,CLE,3.02,25,3.36,16,106,61,6.6,4.1,40,0
Zack Moss,IND,3.18,11.11,2.77,18,88,5,4.9,0.29,50,1
Brian Robinson,WAS,3.06,22.22,2.82,18,87,27,4.8,1.51,38.9,2
Derrick Henry,TEN,4.37,48,2.52,25,80,11,3.2,0.45,48,1
Rachaad White,TB,3.71,--,2.71,17,73,-7,4.3,-0.4,47.1,1
Tony Pollard,DAL,4.56,28,2.41,25,72,-11,2.9,-0.46,24,0
Isiah Pacheco,KC,2.83,41.67,2.82,12,70,20,5.8,1.81,36.4,0
David Montgomery,DET,3.7,6.25,2.43,16,67,5,4.2,0.35,64.3,1
Nick Chubb,CLE,2.9,30,2.79,10,64,33,6.4,3.26,70,0
Saquon Barkley,NYG,4.27,23.53,2.91,17,63,3,3.7,0.2,47.1,1
Gus Edwards,BAL,2.61,30,2.61,10,62,8,6.2,0.81,40,1
Joe Mixon,CIN,3.06,7.69,2.18,13,59,6,4.5,0.47,53.8,0
A.J. Dillon,GB,3.98,26.67,2.48,15,55,-12,3.7,-0.79,40,0
Kyren Williams,LAR,4.62,--,2.72,14,52,-19,3.7,-1.37,21.4,1
Rhamondre Stevenson,NE,4.21,6.67,2.52,15,50,-6,3.3,-0.39,46.7,1
Tyler Allgeier,ATL,5.44,18.75,3.03,16,48,-19,3,-1.19,31.3,0
Javonte Williams,DEN,5.31,8.33,3.13,12,44,-12,3.7,-1,33.3,0
Kenneth Walker,SEA,6.99,17.65,3.54,17,43,-9,2.5,-0.71,33.3,2
Najee Harris,PIT,5.37,10,4.04,10,43,15,4.3,1.93,62.5,0
Miles Sanders,CAR,4.91,--,2.9,14,43,-12,3.1,-0.87,28.6,0
Justice Hill,BAL,5.85,9.09,3.33,11,41,1,3.7,0.07,36.4,0
Travis Etienne,JAX,3.85,16.67,2.76,12,40,-4,3.3,-0.37,66.7,0
Joshua Kelley,LAC,4.45,--,2.76,13,39,-5,3,-0.36,38.5,0
Tony Jones,NO,4.66,33.33,2.79,12,34,-10,2.8,-0.8,41.7,2
Dameon Pierce,HOU,7.08,13.33,3.29,15,31,-17,2.1,-1.16,13.3,0
