player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,1,0,0,,0,0,17,0,0,60.0,51.9,77.9,45.7,64.7,28.4,0,2,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,1,35,35,0,19,9,7,0,0,26,8,0,1,1,0,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,0,0,,91.1,76.3,79.6,87.0,30.1,2,1,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,0,29,29,0,0,23,6,0,0,21,8,0,2,1,1,0,4,0,0,0,
Linval Joseph,5571,DI,DAL,1,0,0,,0,0,9,0,0,,63.5,70.7,59.1,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,2,,0,0,25,0,0,,75.1,77.1,89.2,52.7,71.0,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,51,50,2,23,3,22,0,1,27,24,0,3,4,0,0,3,0,0,0,
Stephon Gilmore,7016,CB,MIN,1,3,0,75.0,0,0,18,0,0,74.7,75.0,79.4,,65.7,50.0,0,0,0,0,10,16.7,1,1,0,125.0,3,0,0,2,66,58,75,0,0,0,0,0,2,75,0,17,5,1,2,0,4,0,1,20,14,6.7
Bobby Wagner,7050,LB,WAS,1,4,0,100.0,0,0,32,1,0,64.7,68.3,0.0,80.2,67.2,66.7,1,0,0,0,9,12.5,1,0,1,104.2,1,0,0,62,0,32,66,2,0,0,2,0,0,64,6,28,2,0,3,0,1,1,0,9,4,9.0
Lavonte David,7060,LB,TB,1,0,0,50.0,0,1,30,0,0,82.2,91.9,76.9,54.6,93.0,80.3,0,3,0,0,4,0.0,0,1,0,56.3,1,0,0,41,2,26,51,6,0,0,6,0,0,45,9,16,2,2,3,0,2,3,0,4,0,4.0
Rodney McLeod,7271,S,CLV,1,0,0,66.7,0,0,8,0,0,29.1,29.1,75.5,,68.3,26.3,0,0,0,0,9,50.0,1,0,0,78.5,2,0,0,12,0,26,38,0,0,0,0,0,15,38,0,12,11,1,1,0,3,0,0,15,5,7.5
Harrison Smith,7641,S,MIN,1,1,0,66.7,0,0,18,0,0,68.6,67.2,79.3,40.9,66.5,71.3,0,1,0,0,37,11.1,1,0,0,88.9,4,0,0,16,0,52,76,15,0,0,15,0,32,61,6,18,13,5,7,0,6,1,0,45,45,11.3
Darius Slay,7817,CB,PHI,1,1,0,80.0,1,0,24,0,0,32.3,30.4,75.8,,39.6,27.0,0,0,0,0,16,40.0,2,0,2,99.2,4,0,0,0,26,18,28,2,0,0,2,0,0,26,0,10,0,0,2,0,5,0,0,39,18,9.8
Johnathan Hankins,7830,DI,SEA,1,0,0,,0,0,29,0,0,,85.9,73.3,66.9,77.2,66.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,2,10,0,0,0,0,7,5,0,1,1,0,0,1,0,0,0,
John Jenkins,7863,DI,LV,1,0,0,,0,0,23,0,0,,50.2,76.8,52.7,52.9,69.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,38,38,9,29,0,0,0,0,21,17,0,1,2,1,0,0,0,0,0,
William Gholston,7908,DI,TB,1,0,0,,0,0,30,0,0,,67.8,71.6,53.0,69.5,66.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,9,9,0,6,0,3,0,0,6,3,0,1,1,0,0,0,0,0,0,
Jordan Poyer,8000,S,MIA,1,0,0,50.0,0,0,17,0,0,67.8,71.3,76.9,67.1,62.5,87.0,0,0,0,0,14,0.0,0,1,0,65.6,2,0,0,7,2,51,69,0,0,0,0,0,57,69,2,16,3,1,8,0,4,0,0,21,17,10.5
Jadeveon Clowney,8636,ED,CAR,1,1,0,,0,0,5,0,0,61.5,81.3,79.6,71.7,65.5,74.0,1,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,47,47,0,0,47,0,0,0,37,10,0,2,1,1,0,7,0,0,0,
Khalil Mack,8640,ED,LAC,1,0,0,,0,0,27,0,0,60.0,70.4,76.8,66.8,65.1,73.6,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,28,28,0,0,26,2,0,0,13,14,0,2,3,0,0,2,0,0,0,
Jimmie Ward,8665,S,HST,1,1,0,75.0,0,0,13,0,0,89.9,84.0,75.0,,52.7,67.5,0,0,1,1,63,12.5,1,0,0,77.1,3,0,0,7,0,22,37,2,0,0,2,0,4,35,0,15,24,4,6,3,4,0,0,58,20,19.3
