player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Germain Ifedi,10665,T,CLV,1,100.0,0,8,56.7,61.3,46.4,1,2,63,100.0,100.0,96.0,0,4,1,86,0,0,86,86,65,65,0,0,21,0
Jack Conklin,10642,T,CLV,1,100.0,0,8,60.4,57.3,60.4,0,7,63,100.0,100.0,92.9,0,8,1,86,0,0,0,86,65,65,0,86,21,0
Ethan Pocic,11813,C,CLV,1,100.0,0,8,68.0,66.7,67.8,1,1,63,100.0,100.0,98.4,0,2,0,86,86,0,0,86,65,65,0,0,21,0
Joel Bitonio,8670,G,CLV,1,100.0,0,8,62.8,84.4,47.9,1,0,63,100.0,100.0,99.2,0,1,0,86,0,86,0,86,65,65,0,0,21,0
Wyatt Teller,46131,G,CLV,1,100.0,0,8,59.4,61.5,55.4,2,1,63,100.0,100.0,97.6,0,3,0,86,0,0,0,86,65,65,86,0,21,0
Jonah Williams,41651,T,ARZ,1,100.0,0,1,58.4,76.5,36.6,0,1,50,100.0,100.0,99.0,0,1,0,82,0,0,0,82,55,55,0,82,27,0
Brandon Coleman,123068,T,WAS,1,100.0,0,32,65.1,58.7,65.1,0,1,38,100.0,100.0,96.1,0,2,1,82,0,0,82,82,42,42,0,0,40,0
Hjalte Froholdt,44959,C,ARZ,1,100.0,0,1,64.5,52.5,67.8,0,1,50,100.0,100.0,99.0,2,1,0,82,82,0,0,82,55,55,0,0,27,0
Cornelius Lucas,9025,T,WAS,1,100.0,1,32,57.8,69.7,54.9,0,1,38,100.0,100.0,98.7,2,1,0,82,0,0,0,82,42,42,0,81,40,1
Sam Cosmi,60114,G,WAS,1,100.0,0,32,68.6,87.6,66.3,0,0,38,100.0,100.0,100.0,1,0,0,82,0,0,0,82,42,42,82,0,40,0
Paris Johnson Jr.,129749,T,ARZ,1,100.0,0,1,70.2,73.7,63.2,0,2,50,100.0,100.0,98.0,0,2,0,82,0,0,82,82,55,55,0,0,27,0
Tyler Biadasz,41178,C,WAS,1,100.0,0,32,85.6,42.4,90.6,0,1,38,100.0,100.0,98.7,0,1,0,82,82,0,0,82,42,42,0,0,40,0
Evan Brown,38709,G,ARZ,1,100.0,0,1,52.1,62.8,46.6,0,2,50,100.0,100.0,98.0,0,2,0,82,0,82,0,82,55,55,0,0,27,0
Nick Allegretti,39268,G,WAS,1,100.0,1,32,53.5,60.2,51.5,0,2,38,100.0,100.0,97.4,1,2,0,82,0,82,0,82,42,42,0,0,40,0
Jake Matthews,8641,T,ATL,1,100.0,0,2,62.0,64.7,57.4,0,3,40,100.0,100.0,96.2,0,3,0,81,0,0,81,81,43,43,0,0,38,0
Drew Dalman,52270,C,ATL,1,100.0,0,2,71.3,63.2,71.3,0,0,40,100.0,100.0,97.5,0,1,1,81,81,0,0,81,43,43,0,0,38,0
Matthew Bergeron,99658,G,ATL,1,100.0,0,2,67.2,83.9,59.7,0,1,40,100.0,100.0,98.7,0,1,0,81,0,81,0,81,43,43,0,0,38,0
