player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Justin Herbert,28237,QB,LAC,1,83.7,43,47,4.4,2.64,3,0,0.0,74.5,35,0,24,2.8,53,1,21,27,81.3,67.1,61.3,82.2,1,0,55,0,16.7,109.7,7.5,4,2,0,0,3,1,1.8,274,5.8
Tom Brady,698,QB,TB,1,69.0,42,43,8.8,2.38,1,2,4.3,67.4,29,0,8,0.0,46,0,9,30,80.5,70.8,68.6,62.6,0,0,49,1,37.5,97.6,6.5,3,0,0,0,2,0,0.0,246,5.7
Patrick Mahomes,11765,QB,KC,1,77.8,36,42,6.1,3.04,0,3,6.7,64.3,27,0,13,3.6,46,1,23,16,80.4,79.6,74.7,76.3,1,1,50,0,0.0,85.4,0.0,0,4,0,5,1,1,2.0,320,7.6
Josh Allen,46601,QB,BUF,1,75.7,37,42,8.9,3.01,0,4,9.1,57.1,24,0,19,14.3,52,4,18,4,37.1,75.2,75.3,62.1,0,1,55,0,15.8,80.8,5.8,3,7,0,5,2,2,3.6,253,6.0
Mac Jones,60323,QB,NE,1,82.9,35,39,8.6,2.5,0,3,7.7,71.8,28,0,12,3.4,42,1,14,19,79.2,88.0,85.9,,0,0,42,0,25.0,119.8,7.1,3,0,1,3,2,0,0.0,382,9.8
Kyle Allen,26152,QB,HST,1,75.0,36,38,5.1,2.68,1,1,2.5,65.8,25,0,18,7.4,45,2,9,13,29.9,40.2,38.0,64.3,0,2,47,0,27.8,67.5,11.1,5,2,0,1,1,5,10.6,217,5.7
Kirk Cousins,7102,QB,MIN,1,86.1,36,37,5.9,2.63,0,3,7.7,81.1,30,0,15,3.2,38,1,15,18,79.3,70.8,69.9,60.0,0,1,40,0,6.7,116.1,2.6,1,0,0,1,3,3,7.5,299,8.1
Geno Smith,7820,QB,SEA,1,80.0,35,37,8.6,2.62,0,3,7.7,73.0,27,0,14,3.6,43,1,17,29,31.0,60.3,63.3,47.4,2,1,45,0,21.4,106.6,7.0,3,2,0,0,2,3,6.7,328,8.9
Jimmy Garoppolo,8697,QB,SF,1,75.0,36,37,5.9,2.8,0,1,2.6,70.3,26,0,15,3.7,38,1,12,28,79.7,63.8,62.2,63.2,1,0,39,0,6.7,94.7,2.6,1,0,0,0,1,1,2.6,222,6.0
Jared Goff,10635,QB,DET,1,75.0,32,37,7.6,2.55,1,1,2.6,62.2,23,0,11,4.2,39,1,13,11,79.3,67.6,65.7,62.6,2,0,40,0,18.2,98.9,5.1,2,0,0,2,2,1,2.5,240,6.5
Jacoby Brissett,10725,QB,CLV,1,71.4,35,37,10.8,2.71,0,0,0.0,62.2,23,0,16,8.0,43,2,12,8,79.9,73.7,67.3,74.8,1,1,46,0,25.0,75.3,9.3,4,2,0,1,1,0,0.0,210,5.7
Joe Burrow,28022,QB,CIN,1,65.7,35,37,7.3,2.69,1,3,7.5,59.5,22,0,9,4.3,42,1,13,7,80.7,87.7,85.2,69.3,0,0,45,1,11.1,91.0,2.4,1,4,0,1,1,0,0.0,270,7.3
