player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Keenan Allen,7857,WR,CHI,1,16,0,6,5.8,0,62.5,66.7,2,3,0.0,0,2,1,73.4,62.7,0,7,0.0,0,16,5,87.5,14,106.3,8,57.1,1,15,5,1.0,3.0,1.07,0,10.9,0,42.9,,0,0,25.0,1,1,0,36.2,52.6,0,40,0.0,0,34,3,97.1,33,65.2,7,21.2,0,46,25,8.3,15.3,1.39
Trey McBride,75916,TE,ARZ,1,15,0,1,3.4,0,100.0,,0,0,0.0,0,2,0,73.4,77.6,0,18,9.1,1,11,5,81.8,9,105.8,5,55.6,0,47,30,6.0,9.4,5.22,0,5.7,1,83.3,,0,0,0.0,0,4,0,73.4,82.3,0,15,0.0,0,23,5,100.0,23,104.9,6,26.1,0,55,34,6.8,11.0,2.39
Puka Nacua,100632,WR,LA,1,13,0,26,8.6,0,40.0,0.0,0,2,0.0,0,0,0,70.5,64.0,0,9,7.1,1,14,2,71.4,10,48.8,5,50.0,0,16,14,7.0,8.0,1.6,0,6.6,1,87.5,50.0,1,2,0.0,0,5,0,75.6,92.9,0,29,0.0,0,17,7,100.0,17,118.8,8,47.1,0,101,51,7.3,14.4,5.94
Jakobi Meyers,47468,WR,LV,1,13,0,23,4.0,0,50.0,,0,0,0.0,0,1,0,64.7,60.7,0,17,0.0,0,15,1,93.3,14,79.2,2,14.3,0,17,14,14.0,17.0,1.21,0,10.6,0,77.8,100.0,2,2,0.0,0,5,0,75.6,74.0,1,25,0.0,0,37,7,94.6,35,68.3,9,25.7,0,89,16,2.3,12.7,2.54
Jonnu Smith,11855,TE,MIA,1,11,0,17,4.0,0,0.0,0.0,0,1,,0,0,0,,51.1,0,0,25.0,3,12,0,66.7,8,39.6,1,12.5,0,0,0,,,0.0,0,3.1,1,100.0,,0,0,0.0,0,5,0,76.5,92.0,0,14,5.3,1,19,8,94.7,18,108.3,8,44.4,0,80,55,6.9,10.0,4.44
Cole Kmet,60995,TE,CHI,1,10,0,6,5.0,0,0.0,,0,0,100.0,1,0,0,27.9,40.4,0,0,18.8,3,16,0,68.8,11,39.6,1,9.1,0,0,0,,,0.0,0,8.0,1,77.8,,0,0,0.0,0,2,0,76.5,74.8,0,20,19.4,7,36,7,77.8,28,96.3,9,32.1,0,64,26,3.7,9.1,2.29
CeeDee Lamb,61570,WR,DAL,1,10,0,9,4.0,0,100.0,,0,0,0.0,0,1,0,70.5,74.4,0,11,0.0,0,10,2,90.0,9,91.7,2,22.2,0,12,4,2.0,6.0,1.33,0,0.6,1,100.0,100.0,1,1,0.0,0,1,0,73.4,58.2,0,11,0.0,0,19,5,89.5,17,87.5,5,29.4,0,25,22,4.4,5.0,1.47
Courtland Sutton,48164,WR,DEN,1,10,0,10,10.9,0,71.4,50.0,1,2,16.7,1,4,0,45.8,76.7,0,18,0.0,0,21,5,95.2,20,132.7,7,35.0,2,53,1,0.2,10.6,2.65,0,13.0,0,100.0,,0,0,0.0,0,2,0,70.5,68.5,0,19,0.0,0,18,3,100.0,18,118.8,3,16.7,0,44,5,1.7,14.7,2.44
David Moore,11981,WR,CAR,1,10,0,5,12.6,0,80.0,50.0,1,2,0.0,0,4,0,72.1,90.3,0,21,0.0,0,13,4,92.3,12,151.3,5,41.7,1,54,8,2.0,13.5,4.5,0,18.3,0,33.3,50.0,1,2,0.0,0,1,0,64.7,60.0,0,14,0.0,0,21,1,90.5,19,49.3,3,15.8,0,14,1,1.0,14.0,0.74
Noah Brown,11993,WR,WAS,1,9,0,32,20.7,0,33.3,33.3,1,3,50.0,1,1,0,28.8,54.0,0,19,0.0,0,12,1,100.0,12,56.3,3,25.0,0,19,3,3.0,19.0,1.58,0,6.2,1,80.0,66.7,2,3,0.0,0,2,0,72.1,73.1,0,14,0.0,0,20,4,100.0,20,100.8,5,25.0,0,41,20,5.0,10.3,2.05
Cooper Kupp,11824,WR,LA,1,9,0,26,1.7,0,66.7,0.0,0,1,0.0,0,0,1,68.3,40.0,0,4,0.0,0,15,2,73.3,11,70.1,3,27.3,0,6,4,2.0,3.0,0.55,0,7.0,0,100.0,100.0,1,1,0.0,0,1,0,73.4,67.4,0,27,0.0,0,20,5,100.0,20,147.1,5,25.0,1,49,14,2.8,9.8,2.45
Brock Bowers,146715,TE,LV,1,9,0,23,1.0,0,50.0,,0,0,0.0,0,0,0,64.7,51.8,0,7,13.3,2,15,1,80.0,12,58.3,2,16.7,0,7,6,6.0,7.0,0.58,0,6.2,0,50.0,0.0,0,1,0.0,0,0,0,70.5,51.0,0,13,11.1,4,36,3,83.3,30,65.3,6,20.0,0,31,10,3.3,10.3,1.03
T.J. Hockenson,40912,TE,MIN,1,9,0,18,11.7,0,100.0,100.0,1,1,0.0,0,2,0,70.5,94.5,0,34,0.0,0,5,3,80.0,4,118.8,3,75.0,0,59,24,8.0,19.7,14.75,0,9.3,0,66.7,100.0,1,1,0.0,0,2,0,72.1,66.9,0,29,0.0,0,29,4,89.7,26,95.8,6,23.1,0,55,18,4.5,13.8,2.12
Jaylen Waddle,84088,WR,MIA,1,9,0,17,12.2,0,100.0,100.0,1,1,0.0,0,4,0,73.4,91.2,0,29,0.0,0,14,5,92.9,13,118.8,5,38.5,0,82,21,4.2,16.4,6.31,0,13.0,1,100.0,100.0,1,1,0.0,0,3,0,70.5,84.8,0,24,0.0,0,18,3,100.0,18,158.3,3,16.7,1,62,23,7.7,20.7,3.44
Nico Collins,61441,WR,HST,1,9,0,13,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,10.7,0,66.7,,0,0,20.0,1,2,0,45.8,81.9,0,56,0.0,0,21,4,95.2,20,109.7,6,30.0,0,87,25,6.3,21.8,4.35
Malik Nabers,146759,WR,NYG,1,9,0,21,9.5,0,100.0,,0,0,0.0,0,1,1,68.3,60.1,0,13,0.0,0,5,2,100.0,5,110.4,2,40.0,0,21,2,1.0,10.5,4.2,0,9.4,0,57.1,0.0,0,1,0.0,0,2,0,72.1,60.2,0,21,0.0,0,34,4,97.1,33,75.3,7,21.2,0,43,9,2.3,10.8,1.3
Devaughn Vele,100637,WR,DEN,1,9,0,10,9.7,0,33.3,0.0,0,1,0.0,0,1,0,64.7,61.5,0,5,0.0,0,14,1,92.9,13,42.4,3,23.1,0,5,2,2.0,5.0,0.38,0,11.3,0,83.3,66.7,2,3,0.0,0,3,0,73.4,86.9,0,24,0.0,0,18,5,100.0,18,118.8,6,33.3,0,75,13,2.6,15.0,4.17
Jordan Addison,123000,WR,MIN,1,9,0,18,7.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,57.7,0,7,0.0,0,5,1,80.0,4,95.8,1,25.0,0,7,0,0.0,7.0,1.75,0,15.2,2,100.0,100.0,1,1,0.0,0,5,0,74.6,90.8,0,69,0.0,0,34,6,88.2,30,118.8,6,20.0,0,153,62,10.3,25.5,5.1
Rome Odunze,73774,WR,CHI,1,8,0,6,5.5,0,100.0,100.0,1,1,0.0,0,1,0,68.3,65.9,0,14,0.0,0,16,2,87.5,14,102.1,2,14.3,0,17,6,3.0,8.5,1.21,0,12.5,0,50.0,,0,0,0.0,0,1,0,70.5,56.2,0,12,0.0,0,35,3,97.1,34,59.0,6,17.6,0,22,19,6.3,7.3,0.65
Zay Flowers,97268,WR,BLT,1,8,0,3,-3.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.5,0,4,0.0,0,7,1,85.7,6,83.3,1,16.7,0,4,7,7.0,4.0,0.67,0,15.2,0,80.0,,0,0,0.0,0,2,0,72.1,84.9,0,25,0.0,0,13,4,100.0,13,115.0,5,38.5,0,58,20,5.0,14.5,4.46
Joshua Palmer,62979,WR,LAC,1,8,0,27,23.8,0,33.3,0.0,0,2,0.0,0,2,0,68.3,62.8,0,17,0.0,0,27,2,81.5,22,49.3,6,27.3,0,28,0,0.0,14.0,1.27,0,27.0,0,50.0,,0,0,0.0,0,1,0,64.7,63.6,0,10,0.0,0,14,1,92.9,13,64.6,2,15.4,0,10,0,0.0,10.0,0.77
