player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DJ Moore,48267,WR,CHI,1,10.5,1,50.0,0.0,0,3,0,11.1,1,3,6,0,56.7,70.6,74.2,,73.0,0.0,0,0,31,0.0,0,54,0,8,87.0,47,29.6,16,89.8,16,1,70.4,38,97,40,5.0,12.1,2.06
David Njoku,11784,TE,CLV,1,5.2,2,56.3,40.0,2,5,0,25.0,3,3,8,0,29.1,70.6,53.0,74.0,52.7,68.9,42,1,13,6.6,4,61,0,9,90.2,55,23.0,14,76.0,16,2,8.2,5,52,18,2.0,5.8,0.95
Drake London,86519,WR,ATL,1,12.1,1,60.0,57.1,4,7,0,0.0,0,6,2,0,77.3,71.3,70.9,,76.3,0.0,0,2,17,0.0,0,42,0,9,92.9,39,45.2,19,36.4,15,0,54.8,23,86,34,3.8,9.6,2.21
Elijah Moore,84302,WR,CLV,1,10.2,0,61.5,0.0,0,4,0,0.0,0,5,8,0,76.5,70.1,77.7,,77.1,0.0,0,1,44,0.0,0,49,0,8,100.0,49,42.9,21,56.9,13,0,53.1,26,111,21,2.6,13.9,2.27
Travis Kelce,7844,TE,KC,1,5.8,0,53.8,100.0,1,1,0,12.5,1,4,16,0,54.5,70.1,69.1,17.6,68.8,29.4,15,0,24,3.9,2,51,0,7,90.2,46,49.0,25,68.8,13,0,19.6,10,68,26,3.7,9.7,1.48
Brock Bowers,146715,TE,LV,1,8.8,0,76.9,33.3,1,3,0,0.0,0,5,23,0,78.0,71.7,90.6,,91.5,43.9,18,0,33,0.0,0,41,1,10,90.2,37,48.8,20,136.7,13,1,7.3,3,140,48,4.8,14.0,3.78
Jerry Jeudy,61103,WR,CLV,1,15.0,1,69.2,50.0,1,2,0,0.0,0,9,8,0,78.0,71.1,90.0,,88.9,0.0,0,0,70,0.0,0,61,0,9,96.7,59,32.8,20,137.5,13,1,67.2,41,235,99,11.0,26.1,3.98
Mike Evans,8642,WR,TB,1,12.3,0,66.7,100.0,2,2,0,11.1,1,8,30,0,54.5,70.1,88.4,,85.8,0.0,0,0,27,0.0,0,37,0,8,94.6,35,35.1,13,126.4,12,1,64.9,24,118,25,3.1,14.8,3.37
Malik Nabers,146759,WR,NYG,1,6.1,1,66.7,0.0,0,1,0,20.0,2,3,21,0,38.7,70.6,78.3,,77.5,0.0,0,0,18,0.0,0,44,0,8,90.9,40,34.1,15,81.6,12,0,65.9,29,69,25,3.1,8.6,1.73
Trey McBride,75916,TE,ARZ,1,3.6,1,100.0,100.0,2,2,0,0.0,0,7,1,0,79.4,71.9,80.7,61.4,80.0,42.3,22,0,14,1.9,1,52,0,12,90.4,47,51.9,27,100.0,12,0,5.8,3,96,53,4.4,8.0,2.04
