player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
David Montgomery,45719,HB,CHI,1,32,4,1,13.0,19,0,146,0,0,4,98,37.1,4,9,6,0,0,80.0,69.1,75.4,,64.2,61.0,68.3,60.0,19,0,16,1,20,35,0,0,2,33,2,146,98,3.06,4.6,0.8,32
Josh Jacobs,45953,HB,LV,1,26,2,1,26.3,20,0,76,0,1,2,52,20.7,2,4,23,0,8,79.2,58.7,76.5,,36.6,73.7,56.1,60.0,20,0,38,3,18,30,0,0,3,29,1,76,52,2.0,2.9,2.11,17
Giovani Bernard,7818,HB,CIN,1,25,4,0,0.0,0,0,83,0,2,4,62,57.2,1,4,7,0,6,78.5,72.6,77.1,,72.4,71.8,69.1,60.0,11,0,14,1,6,31,0,0,1,26,1,83,62,2.48,3.3,2.33,19
Derrick Henry,10679,HB,TEN,1,24,4,1,22.4,33,0,147,0,0,4,111,71.2,4,6,31,0,8,78.7,84.8,75.1,,78.7,59.1,83.6,60.0,33,0,5,2,13,26,0,0,2,26,1,147,111,4.63,6.1,0.38,16
Dalvin Cook,11796,HB,MIN,1,24,2,2,28.8,38,0,132,0,0,2,60,17.2,6,10,18,0,4,78.9,72.0,74.9,,33.8,66.9,72.6,,20,0,27,5,22,24,0,0,5,29,1,132,60,2.5,5.5,1.23,20
Salvon Ahmed,57472,HB,MIA,1,23,4,1,25.4,31,0,122,0,0,4,59,42.8,3,6,17,0,7,78.1,78.9,74.7,,14.9,59.5,81.5,60.0,31,0,5,1,14,24,0,0,2,24,1,122,59,2.57,5.3,0.36,16
Frank Gore,2282,HB,NYJ,1,23,3,0,0.0,0,0,59,0,0,3,39,21.2,0,4,22,0,6,78.1,59.9,76.2,,,61.3,59.4,60.0,8,0,6,1,13,26,0,0,1,24,1,59,39,1.7,2.6,0.46,17
Aaron Jones,11937,HB,GB,1,20,2,1,31.7,46,0,145,1,1,2,52,33.9,3,6,12,0,9,77.6,74.9,79.7,,85.9,56.5,76.2,60.0,46,0,13,3,25,22,0,0,4,23,1,145,52,2.6,7.3,0.52,11
Benny Snell Jr.,45954,HB,PIT,1,18,3,1,34.5,29,0,84,0,0,3,50,39.7,3,5,25,0,10,77.0,62.3,78.3,,58.6,56.8,63.5,60.0,29,0,23,3,21,19,0,0,4,21,1,84,50,2.78,4.7,1.1,5
Miles Sanders,40555,HB,PHI,1,17,0,0,0.0,0,0,64,0,0,0,34,0.0,1,1,24,0,1,76.7,57.7,81.1,,82.5,56.4,54.6,60.4,10,0,26,1,26,25,0,0,2,18,0,64,34,2.0,3.8,1.0,16
Jeff Wilson Jr.,29413,HB,SF,1,16,3,0,0.0,0,0,60,0,0,3,37,43.4,2,4,28,0,6,75.8,71.3,73.6,,72.3,51.0,74.0,60.0,12,0,0,0,20,17,0,0,3,16,1,60,37,2.31,3.8,0.0,10
Jonathan Taylor,57488,HB,IND,1,16,4,0,0.0,0,0,83,0,0,4,60,75.0,4,7,14,0,3,76.6,69.4,75.1,,,56.8,71.5,60.0,14,0,12,4,20,17,0,0,5,20,1,83,60,3.75,5.2,0.6,13
James Robinson,22425,HB,JAX,1,16,3,0,0.0,0,0,35,0,0,3,35,34.5,1,3,15,0,1,76.4,54.1,75.3,,26.8,74.4,53.2,60.0,11,0,18,3,12,17,0,0,3,19,0,35,35,2.19,2.2,1.5,15
Le'Veon Bell,7829,HB,KC,1,15,1,0,0.0,0,0,50,0,0,1,40,16.7,1,6,16,0,7,75.7,65.7,78.5,,69.2,61.9,62.8,61.4,12,0,14,1,13,16,0,0,1,16,1,62,40,2.67,4.1,1.08,8
D'Andre Swift,57212,HB,DET,1,15,3,0,0.0,0,0,67,1,0,3,37,38.9,2,5,11,1,6,24.8,57.9,77.7,,76.6,57.6,57.7,,11,0,15,4,25,15,0,0,5,19,2,67,37,2.47,4.5,0.6,7
Chris Carson,12004,HB,SEA,1,15,6,0,0.0,0,0,63,0,0,6,41,96.5,3,6,29,0,2,76.2,63.1,76.1,,72.1,55.5,64.2,60.0,13,0,6,2,18,20,0,0,3,17,0,63,41,2.73,4.2,0.33,13
Nick Chubb,45783,HB,CLV,1,15,2,1,30.0,15,0,50,0,4,2,27,63.5,1,4,8,0,7,76.2,68.9,75.5,,78.5,76.8,63.2,60.0,15,0,16,2,18,17,0,0,2,17,1,50,27,1.8,3.3,0.89,8
Cam Akers,57206,HB,LA,1,15,3,0,0.0,0,0,63,1,0,3,34,42.5,1,5,26,0,11,76.0,64.1,74.1,,52.2,34.4,72.4,60.0,11,0,-1,1,16,17,0,0,3,16,0,63,34,2.27,4.2,-0.06,4
Mike Davis,9559,HB,CAR,1,14,1,0,0.0,0,0,59,0,0,1,31,13.8,1,5,5,0,10,75.5,64.4,74.4,,75.8,58.0,64.6,60.0,12,0,2,2,18,15,0,0,2,16,0,59,31,2.21,4.2,0.11,4
J.K. Dobbins,57366,HB,BLT,1,14,1,0,0.0,0,0,64,0,0,1,27,12.9,1,3,3,1,13,23.6,64.2,76.1,,73.4,59.5,65.1,56.9,11,0,17,1,12,21,0,0,1,15,1,64,27,1.93,4.6,1.42,1
Leonard Fournette,11759,HB,TB,1,14,1,1,34.7,17,0,49,0,2,1,49,61.8,1,6,30,0,11,75.8,62.8,75.2,,27.2,65.5,65.2,60.0,17,0,16,3,21,15,0,0,5,17,2,49,49,3.5,3.5,0.76,3
Clyde Edwards-Helaire,57279,HB,KC,1,14,3,1,20.3,16,0,79,0,0,3,53,75.7,2,3,16,0,3,75.3,75.9,79.0,,,51.6,83.5,60.0,16,0,4,1,25,16,0,0,2,15,0,79,53,3.79,5.6,0.16,11
Raheem Mostert,9783,HB,SF,1,14,2,1,25.0,17,0,68,0,0,2,35,35.7,2,4,28,0,6,75.7,80.9,73.6,,17.1,59.1,82.3,,17,0,0,0,8,15,0,0,0,14,0,68,35,2.5,4.9,0.0,7
J.D. McKissic,11047,HB,WAS,1,13,0,0,0.0,0,0,51,0,0,0,32,0.0,1,3,32,0,4,76.6,69.4,80.1,,69.3,77.8,59.5,60.0,11,0,56,9,41,14,0,0,10,22,0,51,32,2.46,3.9,1.37,8
Zack Moss,40341,HB,BUF,1,13,3,1,32.1,26,0,81,0,0,3,41,72.8,2,2,4,0,2,74.7,71.4,76.6,,78.2,51.5,74.3,,26,0,0,0,17,13,0,0,0,13,0,81,41,3.15,6.2,0.0,11
Austin Ekeler,12164,HB,LAC,1,13,1,1,45.0,27,0,60,0,0,1,34,15.4,1,1,27,0,4,75.6,62.9,77.4,,,59.6,63.9,60.0,27,0,19,4,24,14,0,0,4,17,0,60,34,2.62,4.6,0.79,8
Tony Pollard,27126,HB,DAL,1,12,4,1,58.0,40,0,69,0,2,4,61,169.4,1,2,9,0,5,76.2,81.3,77.0,,86.0,75.9,85.1,38.0,40,0,63,6,31,15,0,0,9,18,2,69,61,5.08,5.8,2.03,7
Matt Breida,12271,HB,MIA,1,12,1,1,27.9,24,0,86,0,0,1,41,28.5,2,4,17,0,3,74.7,92.5,73.8,,65.8,56.9,91.2,60.0,24,0,0,0,3,14,0,0,0,12,0,86,41,3.42,7.2,0.0,9
