"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2022-12-18T21:05:00Z","ARZ","26","13","1.44","17","41","15","-38","DEN","33","14","1.25","9","33"
"2022-12-18T18:00:00Z","ATL","25","17","1.58","15","53","-3","13","NO","32","18","1.48","14","64"
"2022-12-17T21:30:00Z","BLT","22","18","1.79","15","53","-11","9","CLV","27","14","1.49","16","44"
"2022-12-18T01:15:00Z","BUF","25","10","1.61","17","35","-28","-53","MIA","33","13","1.28","22","32"
"2022-12-18T18:00:00Z","CAR","20","17","1.24","13","46","1","-18","PIT","30","16","1.4","14","36"
"2022-12-18T18:00:00Z","CHI","27","16","1.59","20","35","-32","-2","PHI","35","22","1.28","18","39"
"2022-12-18T21:25:00Z","CIN","24","17","1.24","24","38","12","-12","TB","27","19","1.37","7","43"
"2022-12-17T21:30:00Z","CLV","25","15","1.3","16","50","14","-12","BLT","30","17","1.11","19","42"
"2022-12-18T18:00:00Z","DAL","29","6","1.26","21","48","-8","-10","JAX","34","11","1.17","17","59"
"2022-12-18T21:05:00Z","DEN","30","18","1.34","14","43","-5","-7","ARZ","32","11","1.44","17","47"
"2022-12-18T18:00:00Z","DET","24","10","1.41","29","45","-17","-7","NYJ","36","20","1.27","12","58"
"2022-12-20T01:15:00Z","GB","22","16","1.6","5","20","43","-42","LA","26","14","1.3","14","29"
"2022-12-18T18:00:00Z","HST","27","13","1.17","16","25","-11","-28","KC","28","16","1.5","16","44"
"2022-12-17T18:00:00Z","IND","26","18","1.22","14","36","-22","-40","MIN","34","12","1.24","18","56"
"2022-12-18T18:00:00Z","JAX","20","15","1.7","22","32","-12","-48","DAL","40","16","1.44","11","36"
"2022-12-18T18:00:00Z","KC","24","9","1.63","20","30","18","19","HST","35","15","1.45","23","39"
"2022-12-20T01:15:00Z","LA","24","21","1.26","10","40","15","4","GB","31","13","1.55","24","25"
"2022-12-18T21:25:00Z","LAC","24","9","1.16","9","44","14","-44","TEN","30","15","0.99","8","50"
"2022-12-18T21:05:00Z","LV","28","9","1.33","9","44","0","-26","NE","36","19","1.39","10","30"
"2022-12-18T01:15:00Z","MIA","22","11","1.42","10","60","0","6","BUF","32","18","0.95","15","40"
"2022-12-17T18:00:00Z","MIN","31","17","0.91","19","47","18","-2","IND","30","20","1.32","22","36"
"2022-12-18T21:05:00Z","NE","23","21","1.29","15","40","10","-22","LV","30","15","1.3","14","71"
"2022-12-18T18:00:00Z","NO","25","15","1.3","7","57","26","-44","ATL","30","12","1.5","16","50"
"2022-12-19T01:20:00Z","NYG","27","19","1.57","25","44","-14","-11","WAS","33","15","1.46","18","17"
"2022-12-18T18:00:00Z","NYJ","23","12","1.32","17","29","22","-25","DET","31","12","1.51","25","44"
"2022-12-18T18:00:00Z","PHI","20","9","1.83","33","52","62","65","CHI","24","11","1.48","17","47"
"2022-12-18T18:00:00Z","PIT","24","13","1.28","15","53","21","-38","CAR","32","12","1.38","20","50"
"2022-12-16T01:15:00Z","SEA","26","18","1.54","5","40","-14","-56","SF","36","15","1.06","10","50"
"2022-12-16T01:15:00Z","SF","22","9","1.72","25","28","22","-22","SEA","29","17","1.39","28","29"
"2022-12-18T21:25:00Z","TB","24","11","1.34","13","31","15","-21","CIN","32","13","1.5","15","33"
"2022-12-18T21:25:00Z","TEN","29","18","1.05","17","59","7","20","LAC","29","11","1.92","17","35"
"2022-12-19T01:20:00Z","WAS","28","16","1.31","15","40","-3","-4","NYG","31","13","1.89","16","56"
