"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Cole Kmet","78","260","347","12","43","43","12","16","0.32","72","1.24","68.6","-29","Tremaine Edmunds","77","250","361","14","0.18","71","0.71","77.6"
"Mitchell Wilcox","76","250","165","11","68","16","15","7","0.17","92","0.62","53.5","-29","Jahlani Tavai","74","246","176","13","0.19","74","0.89","73.5"
"David Njoku","76","246","314","10","53","35","11","21","0.4","77","1.75","79.4","-6","Demario Davis","74","248","466","9","0.15","74","0.59","78.4"
"Dalton Schultz","77","244","304","10","49","36","13","21","0.35","67","1.46","65.4","13","Kyzir White","74","234","394","14","0.19","73","0.85","62.5"
"Greg Dulcich","76","245","283","4","33","58","9","16","0.26","66","1.31","59.6","-29","Ernest Jones","74","230","314","17","0.28","85","1.17","65.2"
"Shane Zylstra","76","239","83","2","26","33","41","7","0.17","83","0.33","58.9","-20","Frankie Luvu","75","235","295","13","0.29","92","1.13","78"
"Robert Tonyan","77","240","300","2","38","42","20","19","0.3","82","1.25","56.8","22","Eric Rowe","73","210","270","13","0.25","86","1.34","54.8"
"Teagan Quitoriano","78","258","99","21","76","21","3","8","0.19","50","0.3","47.7","-12","Dylan Cole","72","237","229","14","0.25","91","1.24","59"
"Mo Alie-Cox","77","267","235","9","58","33","8","10","0.2","74","0.78","47","0","Drue Tranquill","74","234","400","11","0.18","80","0.76","63.3"
"Evan Engram","75","240","446","5","36","39","24","19","0.33","73","1.37","63.6","-6","C.J. Mosley","74","231","496","13","0.19","67","0.92","68.6"
"Travis Kelce","77","250","506","4","26","46","28","25","0.55","73","2.26","91.1","76","Cody Barton","74","237","319","17","0.28","76","1.15","55.8"
"Tyler Higbee","78","255","372","17","64","15","22","23","0.3","67","1.3","59.3","3","Josey Jewell","74","236","293","19","0.29","75","1.51","73.7"
"Gerald Everett","75","240","390","6","44","41","15","19","0.3","70","1.36","68.2","18","Bobby Okereke","73","235","423","18","0.28","76","1.23","72.1"
"Darren Waller","78","255","169","1","15","64","20","16","0.32","70","1.32","64.8","18","Myles Jack","73","255","316","16","0.3","80","1.13","54"
"Mike Gesicki","78","250","297","6","28","51","20","13","0.26","64","0.92","58.9","12","Quay Walker","76","241","315","11","0.18","71","0.79","55.1"
"T.J. Hockenson","77","244","480","11","48","35","17","20","0.34","68","1.52","66.2","-5","Julian Love","71","195","468","9","0.17","73","0.75","66.5"
"Hunter Henry","77","250","346","9","44","42","11","13","0.24","68","1.2","57.4","-15","Logan Wilson","74","245","441","14","0.25","82","1.09","70.4"
"Juwan Johnson","76","231","314","6","36","48","16","16","0.38","69","1.32","66.3","-15","Tony Fields II","73","220","40","10","0.18","100","0.8","52.4"
"Daniel Bellinger","77","253","205","10","62","23","13","14","0.28","89","0.97","64.3","8","Eric Kendricks","72","232","543","13","0.22","75","1.01","60.8"
"Tyler Conklin","75","254","399","12","60","30","9","17","0.27","67","1.07","55.8","-2","Devin Lloyd","75","235","417","18","0.37","85","1.55","48.2"
"Grant Calcaterra","76","240","74","12","46","40","12","11","0.18","62","1.09","60.8","-24","Damone Clark","75","240","120","13","0.25","94","1.23","60.6"
"Pat Freiermuth","77","258","354","7","63","32","5","23","0.36","65","1.78","79.4","32","Luke Masterson","73","234","68","15","0.29","100","1.44","47.8"
"Noah Fant","76","249","280","11","41","38","17","19","0.36","79","1.48","67.4","2","Willie Gay Jr.","74","240","224","18","0.35","98","1.44","63.7"
"George Kittle","76","250","363","7","55","31","12","17","0.39","77","1.63","74.4","32","Jon Bostic","73","245","135","7","0.15","70","0.57","51.2"
"Cade Otton","77","247","376","5","42","47","10","13","0.23","76","0.95","59.5","2","Ben Niemann","74","235","183","17","0.24","84","0.97","70.1"
"Austin Hooper","76","254","255","4","33","51","15","17","0.33","77","1.49","69.5","3","Christian Kirksey","74","235","433","14","0.24","73","1.12","58.3"
"Logan Thomas","78","250","282","10","27","61","11","14","0.19","62","0.77","50.9","-37","Dre Greenlaw","72","230","442","20","0.29","78","1.23","86.3"
"Trey McBride","75","249","212","8","54","27","10","10","0.14","73","0.6","45.4","-50","Lavonte David","73","233","481","13","0.2","81","0.82","82.8"
"Anthony Firkser","74","241","72","5","17","68","14","12","0.19","67","1.1","61.7","-30","Roquan Smith","73","232","396","12","0.2","75","0.95","64.2"
"Mark Andrews","77","247","392","","12","67","22","25","0.41","62","1.79","77.1","27","Troy Andersen","76","235","145","20","0.42","93","1.94","47.6"
"Dawson Knox","76","254","424","7","31","47","14","14","0.27","74","1.1","64","27","Jack Sanborn","74","234","141","16","0.26","82","1.34","67.3"
"Ian Thomas","76","260","146","23","85","11","2","17","0.25","76","1.21","52.8","-35","Alex Anzalone","75","237","466","8","0.12","79","0.59","60.7"
