"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Antoine Wesley","ARZ","","","","","","","","","","","","","All Defenders","IND","","","","","","","","","","","","","7.54070096368574","46.7960923158245"
"Antoine Wesley","ARZ","","","","","","","","","","","","","Xavier Rhodes","IND","73","218","4.43","3","2","90","325","18","0.29","64","1.42","61.5","14.1155518396095","41.0965682517177"
"Antoine Wesley","ARZ","","","","","","","","","","","","","Isaiah Rodgers","IND","","","","","","","","","","","","","5.75987666708973","1.79984970445479"
"Antoine Wesley","ARZ","","","","","","","","","","","","","Kenny Moore II","IND","69","190","","13","76","1","513","20","0.3","68","1.3","72.5","0.001","3.89967435965204"
"A.J. Green","ARZ","76","210","4.48","3","9","88","411","18","0.33","63","1.75","70.5","All Defenders","IND","","","","","","","","","","","","","43.81368929","53.44572501"
"A.J. Green","ARZ","76","210","4.48","3","9","88","411","18","0.33","63","1.75","70.5","Xavier Rhodes","IND","73","218","4.43","3","2","90","325","18","0.29","64","1.42","61.5","53.05974872","1.921644045"
"A.J. Green","ARZ","76","210","4.48","3","9","88","411","18","0.33","63","1.75","70.5","Isaiah Rodgers","IND","","","","","","","","","","","","","43.81945434","46.5998681"
"A.J. Green","ARZ","76","210","4.48","3","9","88","411","18","0.33","63","1.75","70.5","Kenny Moore II","IND","69","190","","13","76","1","513","20","0.3","68","1.3","72.5","46.61987795","4.924212866"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","421","19","0.41","77","1.92","74.7","All Defenders","IND","","","","","","","","","","","","","26.3246070358011","51.9993812220542"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","421","19","0.41","77","1.92","74.7","Xavier Rhodes","IND","73","218","4.43","3","2","90","325","18","0.29","64","1.42","61.5","39.0126997996532","6.00428584916965"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","421","19","0.41","77","1.92","74.7","Isaiah Rodgers","IND","","","","","","","","","","","","","30.6684814147376","5.09797855118178"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","421","19","0.41","77","1.92","74.7","Kenny Moore II","IND","69","190","","13","76","1","513","20","0.3","68","1.3","72.5","25.9794329752798","40.8971168217027"
"Olamide Zaccheaus","ATL","68","190","","23","42","34","293","14","0.25","59","1.09","65.3","All Defenders","DET","","","","","","","","","","","","","46.28848488","38.66716701"
"Olamide Zaccheaus","ATL","68","190","","23","42","34","293","14","0.25","59","1.09","65.3","Will Harris","DET","74","207","4.41","1","30","11","444","11","0.2","71","0.88","46.2","43.02400632","16.20030021"
"Olamide Zaccheaus","ATL","68","190","","23","42","34","293","14","0.25","59","1.09","65.3","Amani Oruwariye","DET","73","205","4.47","44","1","46","506","14","0.22","59","1.15","59.2","43.36334524","12.44599438"
"Olamide Zaccheaus","ATL","68","190","","23","42","34","293","14","0.25","59","1.09","65.3","AJ Parker","DET","71","178","","2","91","","262","16","0.35","77","1.28","49.6","59.76717249","10.31271108"
"Tajae Sharpe","ATL","74","194","4.55","38","30","31","296","11","0.16","74","0.78","55.1","All Defenders","DET","","","","","","","","","","","","","25.06820236","40.94532813"
"Tajae Sharpe","ATL","74","194","4.55","38","30","31","296","11","0.16","74","0.78","55.1","Will Harris","DET","74","207","4.41","1","30","11","444","11","0.2","71","0.88","46.2","17.65865131","15.21980947"
"Tajae Sharpe","ATL","74","194","4.55","38","30","31","296","11","0.16","74","0.78","55.1","Amani Oruwariye","DET","73","205","4.47","44","1","46","506","14","0.22","59","1.15","59.2","22.95830533","12.3913493"
"Tajae Sharpe","ATL","74","194","4.55","38","30","31","296","11","0.16","74","0.78","55.1","AJ Parker","DET","71","178","","2","91","","262","16","0.35","77","1.28","49.6","27.34379515","13.0647922"
"Russell Gage","ATL","72","184","","22","51","26","311","23","0.4","71","1.78","70.4","All Defenders","DET","","","","","","","","","","","","","65.53559715","49.50560555"
"Russell Gage","ATL","72","184","","22","51","26","311","23","0.4","71","1.78","70.4","Will Harris","DET","74","207","4.41","1","30","11","444","11","0.2","71","0.88","46.2","62.4958033","10.82008744"
"Russell Gage","ATL","72","184","","22","51","26","311","23","0.4","71","1.78","70.4","Amani Oruwariye","DET","73","205","4.47","44","1","46","506","14","0.22","59","1.15","59.2","59.02734026","12.8951727"
"Russell Gage","ATL","72","184","","22","51","26","311","23","0.4","71","1.78","70.4","AJ Parker","DET","71","178","","2","91","","262","16","0.35","77","1.28","49.6","84.6570832","25.49390465"
"Rashod Bateman","BLT","74","210","","61","16","23","294","16","0.25","69","1.39","64.8","All Defenders","CIN","","","","","","","","","","","","","49.50307712","46.82194873"
"Rashod Bateman","BLT","74","210","","61","16","23","294","16","0.25","69","1.39","64.8","Trae Waynes","CIN","72","190","4.31","34","6","49","87","14","0.38","67","1.51","47.4","68.10094245","28.21133189"
"Rashod Bateman","BLT","74","210","","61","16","23","294","16","0.25","69","1.39","64.8","Eli Apple","CIN","73","203","4.4","54","6","36","537","11","0.16","56","0.75","59.8","35.41685756","10.93004481"
"Rashod Bateman","BLT","74","210","","61","16","23","294","16","0.25","69","1.39","64.8","Mike Hilton","CIN","69","184","","1","89","1","437","15","0.24","70","0.95","74.2","2.909802502","7.680572032"
"Marquise Brown","BLT","69","170","","14","33","54","511","23","0.4","69","1.78","71.5","All Defenders","CIN","","","","","","","","","","","","","42.45850576","60.75513219"
"Marquise Brown","BLT","69","170","","14","33","54","511","23","0.4","69","1.78","71.5","Trae Waynes","CIN","72","190","4.31","34","6","49","87","14","0.38","67","1.51","47.4","80.76221212","8.432206959"
"Marquise Brown","BLT","69","170","","14","33","54","511","23","0.4","69","1.78","71.5","Eli Apple","CIN","73","203","4.4","54","6","36","537","11","0.16","56","0.75","59.8","45.60215608","32.75588088"
"Marquise Brown","BLT","69","170","","14","33","54","511","23","0.4","69","1.78","71.5","Mike Hilton","CIN","69","184","","1","89","1","437","15","0.24","70","0.95","74.2","19.09412651","19.45893914"
"James Proche","BLT","","","","","","","","","","","","","All Defenders","CIN","","","","","","","","","","","","","22.9049449389824","24.3134400682097"
"James Proche","BLT","","","","","","","","","","","","","Trae Waynes","CIN","72","190","4.31","34","6","49","87","14","0.38","67","1.51","47.4","62.7476283203265","1.48479023317311"
"James Proche","BLT","","","","","","","","","","","","","Eli Apple","CIN","73","203","4.4","54","6","36","537","11","0.16","56","0.75","59.8","27.8458567160615","1.29919145402647"
"James Proche","BLT","","","","","","","","","","","","","Mike Hilton","CIN","69","184","","1","89","1","437","15","0.24","70","0.95","74.2","0.01","21.3438596018635"
"Emmanuel Sanders","BUF","","","","","","","","","","","","","All Defenders","NE","","","","","","","","","","","","","41.03977638","51.95348909"
"Emmanuel Sanders","BUF","","","","","","","","","","","","","Jalen Mills","NE","72","191","4.61","38","19","40","392","12","0.25","57","0.88","64.5","57.26650449","22.71650535"
"Emmanuel Sanders","BUF","","","","","","","","","","","","","J.C. Jackson","NE","73","198","4.46","47","15","35","434","18","0.23","51","1.22","79.5","27.1233941","19.45626616"
"Emmanuel Sanders","BUF","","","","","","","","","","","","","Myles Bryant","NE","69","185","4.62","1","79","1","221","12","0.2","85","1.05","68.4","51.70651873","9.780717582"
"Stefon Diggs","BUF","72","191","4.46","38","20","42","525","24","0.44","66","1.92","80.5","All Defenders","NE","","","","","","","","","","","","","75.00782309","55.14601449"
"Stefon Diggs","BUF","72","191","4.46","38","20","42","525","24","0.44","66","1.92","80.5","Jalen Mills","NE","72","191","4.61","38","19","40","392","12","0.25","57","0.88","64.5","86.70157021","20.54459363"
"Stefon Diggs","BUF","72","191","4.46","38","20","42","525","24","0.44","66","1.92","80.5","J.C. Jackson","NE","73","198","4.46","47","15","35","434","18","0.23","51","1.22","79.5","54.56222415","23.1003804"
"Stefon Diggs","BUF","72","191","4.46","38","20","42","525","24","0.44","66","1.92","80.5","Myles Bryant","NE","69","185","4.62","1","79","1","221","12","0.2","85","1.05","68.4","99.47815231","11.20614198"
"Isaiah McKenzie","BUF","68","173","4.42","8","64","21","84","13","0.13","64","0.45","58.2","All Defenders","NE","","","","","","","","","","","","","38.83550733","26.80164319"
"Isaiah McKenzie","BUF","68","173","4.42","8","64","21","84","13","0.13","64","0.45","58.2","Jalen Mills","NE","72","191","4.61","38","19","40","392","12","0.25","57","0.88","64.5","44.50819392","1.975205399"
"Isaiah McKenzie","BUF","68","173","4.42","8","64","21","84","13","0.13","64","0.45","58.2","J.C. Jackson","NE","73","198","4.46","47","15","35","434","18","0.23","51","1.22","79.5","20.61996209","2.370246479"
"Isaiah McKenzie","BUF","68","173","4.42","8","64","21","84","13","0.13","64","0.45","58.2","Myles Bryant","NE","69","185","4.62","1","79","1","221","12","0.2","85","1.05","68.4","45.54428227","22.27106807"
"D.J. Moore","CAR","71","215","4.42","38","17","44","505","26","0.4","60","1.95","77.2","All Defenders","TB","","","","","","","","","","","","","56.2931972","57.59843092"
"D.J. Moore","CAR","71","215","4.42","38","17","44","505","26","0.4","60","1.95","77.2","Sean Murphy-Bunting","TB","72","195","4.42","45","31","19","226","19","0.34","63","1.68","61.9","57.89693476","22.0704268"
"D.J. Moore","CAR","71","215","4.42","38","17","44","505","26","0.4","60","1.95","77.2","Carlton Davis","TB","73","206","4.53","71","6","21","299","15","0.22","53","0.81","70.2","56.19873974","25.08492412"
"D.J. Moore","CAR","71","215","4.42","38","17","44","505","26","0.4","60","1.95","77.2","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","41.46562425","9.797116288"
"Robby Anderson","CAR","75","190","","34","36","29","499","17","0.21","46","0.8","59.5","All Defenders","TB","","","","","","","","","","","","","21.21270379","57.92141278"
"Robby Anderson","CAR","75","190","","34","36","29","499","17","0.21","46","0.8","59.5","Sean Murphy-Bunting","TB","72","195","4.42","45","31","19","226","19","0.34","63","1.68","61.9","29.78638724","19.37891134"
"Robby Anderson","CAR","75","190","","34","36","29","499","17","0.21","46","0.8","59.5","Carlton Davis","TB","73","206","4.53","71","6","21","299","15","0.22","53","0.81","70.2","33.58534269","17.01037773"
"Robby Anderson","CAR","75","190","","34","36","29","499","17","0.21","46","0.8","59.5","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","5.533192425","21.53212371"
"Brandon Zylstra","CAR","74","215","","23","55","22","148","15","0.33","82","1.69","71.3","All Defenders","TB","","","","","","","","","","","","","31.79563152","34.26431555"
"Brandon Zylstra","CAR","74","215","","23","55","22","148","15","0.33","82","1.69","71.3","Sean Murphy-Bunting","TB","72","195","4.42","45","31","19","226","19","0.34","63","1.68","61.9","40.01498886","6.550530914"
"Brandon Zylstra","CAR","74","215","","23","55","22","148","15","0.33","82","1.69","71.3","Carlton Davis","TB","73","206","4.53","71","6","21","299","15","0.22","53","0.81","70.2","41.8136929","6.046643921"
"Brandon Zylstra","CAR","74","215","","23","55","22","148","15","0.33","82","1.69","71.3","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","18.60794774","21.66714072"
"Jakeem Grant","CHI","67","169","","24","52","11","88","19","0.41","65","1.5","66.1","All Defenders","SEA","","","","","","","","","","","","","48.4260895","33.30363535"
"Jakeem Grant","CHI","67","169","","24","52","11","88","19","0.41","65","1.5","66.1","Blessuan Austin","SEA","73","195","","15","2","79","86","9","0.15","75","0.83","50","45.59259117","19.98218121"
"Jakeem Grant","CHI","67","169","","24","52","11","88","19","0.41","65","1.5","66.1","Sidney Jones","SEA","72","181","4.47","83","1","9","335","14","0.26","63","1.24","64.6","31.0238115","2.737285097"
"Jakeem Grant","CHI","67","169","","24","52","11","88","19","0.41","65","1.5","66.1","Ugo Amadi","SEA","69","201","4.51","2","87","","340","17","0.3","81","1.38","45.3","67.36065344","10.7047815"
"Damiere Byrd","CHI","69","180","","25","47","26","295","9","0.17","70","0.84","49.4","All Defenders","SEA","","","","","","","","","","","","","34.06609907","39.28572092"
"Damiere Byrd","CHI","69","180","","25","47","26","295","9","0.17","70","0.84","49.4","Blessuan Austin","SEA","73","195","","15","2","79","86","9","0.15","75","0.83","50","30.94565549","10.14664315"
"Damiere Byrd","CHI","69","180","","25","47","26","295","9","0.17","70","0.84","49.4","Sidney Jones","SEA","72","181","4.47","83","1","9","335","14","0.26","63","1.24","64.6","19.24115335","10.40681349"
"Damiere Byrd","CHI","69","180","","25","47","26","295","9","0.17","70","0.84","49.4","Ugo Amadi","SEA","69","201","4.51","2","87","","340","17","0.3","81","1.38","45.3","48.63814306","18.08183844"
"Darnell Mooney","CHI","71","175","4.38","26","41","32","484","20","0.32","58","1.66","72.7","All Defenders","SEA","","","","","","","","","","","","","66.23440406","61.53168351"
