"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","17","315.1","57","0","0","0","0","0","0","213.2301","980.4543","7.2551","102.9248","83.4751","660.2388","4.1012","1.4669","0.7334","0.0851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Justin Jefferson","MIN","wr","13","17","317.9","53","0","0","0","0","0","0","0","0","0","164.1708","112.1668","1573.7644","8.0239","0.6691","0.3346","0.2864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Austin Ekeler","LAC","rb","5","17","295.9","51","0","0","0","0","0","0","205.5339","902.5158","7.4072","97.8079","81.5752","583.689","3.714","3.8939","1.947","0.447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","7","17","305.9","50","0","0","0","0","0","0","0","0","0","147.0682","103.2056","1427.1185","10.1072","1.5857","0.7928","0.089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Bijan Robinson","ATL","rb","11","17","278.7","46","0","0","0","0","0","0","291.4412","1351.0694","10.2191","51.8512","41.3056","316.5751","1.6677","2.2473","1.1237","0.203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Tony Pollard","DAL","rb","7","17","272.8","44","0","0","0","0","0","0","269.3742","1283.106","8.1585","59.0812","47.5734","365.0848","1.9753","1.2352","0.6176","0.0974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Saquon Barkley","NYG","rb","13","17","263.9","42","0","0","0","0","0","0","257.1592","1113.9789","7.852","73.4463","59.5144","365.2605","1.6477","1.7946","0.8973","0.1915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Tyreek Hill","MIA","wr","10","17","274.3","40","0","0","0","0","0","0","11.7447","53.1229","0.7907","143.6692","98.5936","1230.705","7.0949","1.2171","0.6086","0.2855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Travis Kelce","KC","te","10","16","251.5","39","0","0","0","0","0","0","0","0","0","119.2309","90.07","1079.9842","8.9296","1.0816","0.5408","0.2126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Nick Chubb","CLV","rb","5","17","255.8","39","0","0","0","0","0","0","281.3389","1367.6743","9.4559","40.6881","32.8694","228.4452","1.1305","1.823","0.9115","0.3534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Josh Jacobs","LV","rb","13","17","255.3","39","0","0","0","0","0","0","249.4251","1143.3802","8.8507","56.9345","46.2395","333.0398","1.5263","1.7384","0.8692","0.0235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Derrick Henry","TEN","rb","7","17","252.4","38","0","0","0","0","0","0","304.4109","1317.6606","10.1611","37.9591","30.7802","238.7503","0.9793","3.105","1.5525","0.3492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Rhamondre Stevenson","NE","rb","11","17","248.4","37","0","0","0","0","0","0","228.6966","1070.5055","6.6514","67.6581","55.0547","370.4053","1.7165","2.2714","1.1357","0.0742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Stefon Diggs","BUF","wr","13","17","262.9","37","0","0","0","0","0","0","0","0","0","136.5138","95.1626","1208.4993","7.803","0.8476","0.4238","0.2533","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Joe Mixon","CIN","rb","7","17","247.5","37","0","0","0","0","0","0","245.4499","1008.5117","7.6818","59.7289","50.3137","363.6768","2.3761","0.8394","0.4197","0.0201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Aaron Jones","GB","rb","6","17","246.3","36","0","0","0","0","0","0","211.4783","978.693","5.965","72.3586","57.7867","393.0505","2.765","3.0552","1.5276","0.2485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Jahmyr Gibbs","DET","rb","9","17","244.9","36","0","0","0","0","0","0","196.594","883.0056","6.5047","71.6343","58.0712","445.7623","2.5464","1.8166","0.9083","0.256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
