"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jordan Mason","SF","rb","9","NE","22.9","0","0","0","0","0","0","0","18.917","83.7206","0.6911","5.985","4.8516","38.07","0.1819","0.3081","0.1414","0.0414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Saquon Barkley","PHI","rb","5","@TB","19.3","0","0","0","0","0","0","0","18.7798","80.5931","0.7189","4.136","3.3329","23.1426","0.1226","0.2899","0.1316","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","CeeDee Lamb","DAL","wr","7","@NYG","20.4","0","0","0","0","0","0","0","0.6232","3.5514","0.0304","10.1546","7.0792","84.2994","0.5485","0.0847","0.0458","0.0283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","A.J. Brown","PHI","wr","5","@TB","20.2","0","0","0","0","0","0","0","0","0","0","10.7176","7.0256","89.902","0.4863","0","0","0.0316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Ja'Marr Chase","CIN","wr","12","@CAR","20","0","0","0","0","0","0","0","0.1594","0.9043","0.0063","10.0899","7.1854","83.309","0.5561","0.0796","0.0437","0.0257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Amon-Ra St. Brown","DET","wr","5","SEA","19.7","0","0","0","0","0","0","0","0.1391","0.868","0.0065","10.4554","7.6903","79.8851","0.4879","0.0848","0.0466","0.0285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Breece Hall","NYJ","rb","12","DEN","16.9","0","0","0","0","0","0","0","14.9676","62.9267","0.4802","4.5976","3.7263","27.2224","0.188","0.2426","0.1112","0.0301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Kyren Williams","LA","rb","6","@CHI","16.4","0","0","0","0","0","0","0","15.2792","66.3168","0.6676","3.2507","2.6211","18.834","0.1547","0.2349","0.1065","0.0289","20.8814","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Alvin Kamara","NO","rb","12","@ATL","16.3","0","0","0","0","0","0","0","14.9093","59.9271","0.4876","4.7119","3.8394","26.8441","0.1213","0.243","0.1115","0.0312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jahmyr Gibbs","DET","rb","5","SEA","16.2","0","0","0","0","0","0","0","12.0766","56.3383","0.5203","4.8049","3.9488","26.6852","0.1125","0.2059","0.0953","0.0276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
