Week-17-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Indianapolis Colts","IND","D",1,14,"ACTIVE"
2,"Miami Dolphins","MIA","D",2,6,"ACTIVE"
3,"Philadelphia Eagles","PHI","D",3,5,"ACTIVE"
4,"Los Angeles Chargers","LAC","D",4,5,"ACTIVE"
5,"Buffalo Bills","BUF","D",5,12,"ACTIVE"
6,"Seattle Seahawks","SEA","D",6,10,"ACTIVE"
7,"Las Vegas Raiders","LV","D",7,10,"ACTIVE"
8,"Baltimore Ravens","BAL","D",8,14,"ACTIVE"
9,"Kansas City Chiefs","KC","D",9,6,"ACTIVE"
10,"Tampa Bay Buccaneers","TB","D",10,11,"ACTIVE"
11,"Jacksonville Jaguars","JAX","D",11,12,"ACTIVE"
12,"Tennessee Titans","TEN","D",12,5,"ACTIVE"
13,"Green Bay Packers","GB","D",13,10,"ACTIVE"
14,"Minnesota Vikings","MIN","D",14,6,"ACTIVE"
15,"Washington Commanders","WAS","D",15,14,"ACTIVE"
16,"Detroit Lions","DET","D",16,5,"ACTIVE"
17,"Cincinnati Bengals","CIN","D",17,12,"ACTIVE"
18,"Pittsburgh Steelers","PIT","D",18,9,"ACTIVE"
19,"Dallas Cowboys","DAL","D",19,7,"ACTIVE"
20,"Denver Broncos","DEN","D",20,14,"ACTIVE"
21,"New Orleans Saints","NO","D",21,12,"ACTIVE"
22,"Los Angeles Rams","LAR","D",22,6,"ACTIVE"
23,"Chicago Bears","CHI","D",23,7,"ACTIVE"
24,"New York Giants","NYG","D",24,11,"ACTIVE"
25,"Cleveland Browns","CLE","D",25,10,"ACTIVE"
26,"Houston Texans","HOU","D",26,14,"ACTIVE"
27,"Arizona Cardinals","ARI","D",27,11,"ACTIVE"
28,"San Francisco 49ers","SF","D",28,9,"ACTIVE"
29,"New England Patriots","NE","D",29,14,"ACTIVE"
30,"Atlanta Falcons","ATL","D",30,12,"ACTIVE"
31,"New York Jets","NYJ","D",31,12,"ACTIVE"
32,"Carolina Panthers","CAR","D",32,11,"ACTIVE"
