Week-17-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Josh Allen","BUF","QB",1,12,"ACTIVE"
2,"Lamar Jackson","BAL","QB",2,14,"ACTIVE"
3,"Jayden Daniels","WAS","QB",3,14,"ACTIVE"
4,"Joe Burrow","CIN","QB",4,12,"ACTIVE"
5,"Jahmyr Gibbs","DET","RB",1,5,"ACTIVE"
6,"Baker Mayfield","TB","QB",5,11,"ACTIVE"
7,"Ja'Marr Chase","CIN","WR",1,12,"ACTIVE"
8,"Justin Jefferson","MIN","WR",2,6,"ACTIVE"
9,"Sam Darnold","MIN","QB",6,6,"ACTIVE"
10,"Brock Purdy","SF","QB",7,9,"ACTIVE"
11,"Puka Nacua","LAR","WR",3,6,"ACTIVE"
12,"Bo Nix","DEN","QB",8,14,"ACTIVE"
13,"Jared Goff","DET","QB",9,5,"ACTIVE"
14,"Saquon Barkley","PHI","RB",2,5,"ACTIVE"
15,"Kyler Murray","ARI","QB",10,11,"ACTIVE"
16,"Patrick Mahomes","KC","QB",11,6,"ACTIVE"
17,"Nico Collins","HOU","WR",4,14,"ACTIVE"
18,"Mike Evans","TB","WR",5,11,"ACTIVE"
19,"Justin Herbert","LAC","QB",12,5,"ACTIVE"
20,"Jonathan Taylor","IND","RB",3,14,"ACTIVE"
21,"Caleb Williams","CHI","QB",13,7,"ACTIVE"
22,"Jordan Love","GB","QB",14,10,"ACTIVE"
23,"Matthew Stafford","LAR","QB",15,6,"ACTIVE"
24,"Amon-Ra St. Brown","DET","WR",6,5,"ACTIVE"
25,"Geno Smith","SEA","QB",16,10,"ACTIVE"
26,"Bryce Young","CAR","QB",17,11,"ACTIVE"
27,"C.J. Stroud","HOU","QB",18,14,"ACTIVE"
28,"Drake Maye","NE","QB",19,14,"ACTIVE"
29,"Brian Thomas Jr.","JAX","WR",7,12,"ACTIVE"
30,"Aaron Rodgers","NYJ","QB",20,12,"ACTIVE"
31,"Joe Flacco","IND","QB",21,14,"ACTIVE"
32,"Chase Brown","CIN","RB",4,12,"ACTIVE"
33,"Russell Wilson","PIT","QB",22,9,"ACTIVE"
34,"Derrick Henry","BAL","RB",5,14,"ACTIVE"
35,"Mason Rudolph","TEN","QB",23,5,"ACTIVE"
36,"Michael Penix Jr.","ATL","QB",24,12,"ACTIVE"
37,"Kyren Williams","LAR","RB",6,6,"ACTIVE"
38,"A.J. Brown","PHI","WR",8,5,"ACTIVE"
39,"Bijan Robinson","ATL","RB",7,12,"ACTIVE"
40,"Jaxon Smith-Njigba","SEA","WR",9,10,"ACTIVE"
41,"Tee Higgins","CIN","WR",10,12,"PROB"
42,"Aidan O'Connell","LV","QB",25,10,"ACTIVE"
43,"Mac Jones","JAX","QB",26,12,"ACTIVE"
44,"Bucky Irving","TB","RB",8,11,"ACTIVE"
45,"Zach Charbonnet","SEA","RB",9,10,"ACTIVE"
46,"Josh Jacobs","GB","RB",10,10,"ACTIVE"
47,"Davante Adams","NYJ","WR",11,12,"QUEST"
48,"Terry McLaurin","WAS","WR",12,14,"ACTIVE"
49,"Kenny Pickett","PHI","QB",27,5,"ACTIVE"
50,"Tyler Huntley","MIA","QB",28,6,"ACTIVE"
51,"Ladd McConkey","LAC","WR",13,5,"ACTIVE"
52,"Malik Nabers","NYG","WR",14,11,"QUEST"
53,"Courtland Sutton","DEN","WR",15,14,"ACTIVE"
54,"Jauan Jennings","SF","WR",16,9,"ACTIVE"
55,"Spencer Rattler","NO","QB",29,12,"ACTIVE"
56,"De'Von Achane","MIA","RB",11,6,"ACTIVE"
57,"Brock Bowers","LV","TE",1,10,"ACTIVE"
58,"George Kittle","SF","TE",2,9,"ACTIVE"
59,"Dorian Thompson-Robinson","CLE","QB",30,10,"ACTIVE"
60,"Cooper Rush","DAL","QB",31,7,"ACTIVE"
61,"Drew Lock","NYG","QB",32,11,"ACTIVE"
62,"Aaron Jones","MIN","RB",12,6,"ACTIVE"
63,"Drake London","ATL","WR",17,12,"ACTIVE"
64,"Tyjae Spears","TEN","RB",13,5,"ACTIVE"
65,"James Cook","BUF","RB",14,12,"ACTIVE"
66,"Joe Mixon","HOU","RB",15,14,"ACTIVE"
67,"Breece Hall","NYJ","RB",16,12,"ACTIVE"
68,"DJ Moore","CHI","WR",18,7,"ACTIVE"
69,"James Conner","ARI","RB",17,11,"PROB"
70,"Jordan Addison","MIN","WR",19,6,"ACTIVE"
71,"Zay Flowers","BAL","WR",20,14,"PROB"
72,"George Pickens","PIT","WR",21,9,"ACTIVE"
73,"Keenan Allen","CHI","WR",22,7,"ACTIVE"
74,"Deebo Samuel","SF","WR",23,9,"ACTIVE"
75,"Cooper Kupp","LAR","WR",24,6,"ACTIVE"
76,"Calvin Ridley","TEN","WR",25,5,"ACTIVE"
77,"Garrett Wilson","NYJ","WR",26,12,"ACTIVE"
78,"Jakobi Meyers","LV","WR",27,10,"ACTIVE"
79,"Trey McBride","ARI","TE",3,11,"ACTIVE"
80,"D.K. Metcalf","SEA","WR",28,10,"ACTIVE"
81,"Jameson Williams","DET","WR",29,5,"ACTIVE"
82,"Tyreek Hill","MIA","WR",30,6,"QUEST"
83,"Brian Robinson","WAS","RB",18,14,"ACTIVE"
84,"Josh Downs","IND","WR",31,14,"ACTIVE"
85,"Adam Thielen","CAR","WR",32,11,"ACTIVE"
86,"Jerome Ford","CLE","RB",19,10,"ACTIVE"
87,"Khalil Shakir","BUF","WR",33,12,"ACTIVE"
88,"Xavier Worthy","KC","WR",34,6,"ACTIVE"
89,"Sam LaPorta","DET","TE",4,5,"ACTIVE"
90,"DeVonta Smith","PHI","WR",35,5,"ACTIVE"
91,"Travis Kelce","KC","TE",5,6,"ACTIVE"
92,"T.J. Hockenson","MIN","TE",6,6,"ACTIVE"
93,"J.K. Dobbins","LAC","RB",20,5,"ACTIVE"
94,"Jalen McMillan","TB","WR",36,11,"ACTIVE"
95,"Rico Dowdle","DAL","RB",21,7,"ACTIVE"
96,"Isaac Guerendo","SF","RB",22,9,"ACTIVE"
97,"Marvin Harrison Jr.","ARI","WR",37,11,"ACTIVE"
98,"Kendre Miller","NO","RB",23,12,"ACTIVE"
99,"Mark Andrews","BAL","TE",7,14,"ACTIVE"
100,"D'Andre Swift","CHI","RB",24,7,"ACTIVE"
101,"Tyrone Tracy","NYG","RB",25,11,"ACTIVE"
102,"Jayden Reed","GB","WR",38,10,"ACTIVE"
103,"Darnell Mooney","ATL","WR",39,12,"ACTIVE"
104,"Jonnu Smith","MIA","TE",8,6,"ACTIVE"
105,"Michael Pittman Jr.","IND","WR",40,14,"ACTIVE"
106,"Jerry Jeudy","CLE","WR",41,10,"ACTIVE"
107,"Rachaad White","TB","RB",26,11,"ACTIVE"
108,"Alexander Mattison","LV","RB",27,10,"ACTIVE"
109,"Romeo Doubs","GB","WR",42,10,"ACTIVE"
110,"Travis Etienne Jr.","JAX","RB",28,12,"ACTIVE"
111,"Rhamondre Stevenson","NE","RB",29,14,"ACTIVE"
112,"Tank Bigsby","JAX","RB",30,12,"ACTIVE"
113,"Quentin Johnston","LAC","WR",43,5,"ACTIVE"
114,"Rome Odunze","CHI","WR",44,7,"ACTIVE"
115,"Dalton Schultz","HOU","TE",9,14,"ACTIVE"
116,"Xavier Legette","CAR","WR",45,11,"QUEST"
117,"Jaylen Warren","PIT","RB",31,9,"ACTIVE"
118,"DeAndre Hopkins","KC","WR",46,6,"ACTIVE"
119,"Hunter Henry","NE","TE",10,14,"ACTIVE"
120,"Najee Harris","PIT","RB",32,9,"ACTIVE"
121,"Rashod Bateman","BAL","WR",47,14,"ACTIVE"
122,"Ameer Abdullah","LV","RB",33,10,"ACTIVE"
123,"Isiah Pacheco","KC","RB",34,6,"ACTIVE"
124,"Wan'Dale Robinson","NYG","WR",48,11,"ACTIVE"
125,"Javonte Williams","DEN","RB",35,14,"ACTIVE"
126,"Brandin Cooks","DAL","WR",49,7,"ACTIVE"
127,"Olamide Zaccheaus","WAS","WR",50,14,"ACTIVE"
128,"Christian Watson","GB","WR",51,10,"QUEST"
129,"Kareem Hunt","KC","RB",36,6,"ACTIVE"
130,"Antonio Gibson","NE","RB",37,14,"ACTIVE"
131,"Jalen Coker","CAR","WR",52,11,"ACTIVE"
132,"Chigoziem Okonkwo","TEN","TE",11,5,"ACTIVE"
133,"Jaylen Waddle","MIA","WR",53,6,"QUEST"
134,"Marvin Mims Jr.","DEN","WR",54,14,"ACTIVE"
135,"Kayshon Boutte","NE","WR",55,14,"ACTIVE"
136,"Nick Westbrook-Ikhine","TEN","WR",56,5,"ACTIVE"
137,"Tucker Kraft","GB","TE",12,10,"ACTIVE"
138,"Raheem Blackshear","CAR","RB",38,11,"ACTIVE"
139,"Marquise Brown","KC","WR",57,6,"ACTIVE"
140,"Demario Douglas","NE","WR",58,14,"ACTIVE"
141,"Ray-Ray McCloud III","ATL","WR",59,12,"ACTIVE"
142,"Amari Cooper","BUF","WR",60,12,"ACTIVE"
143,"Parker Washington","JAX","WR",61,12,"ACTIVE"
144,"Joshua Palmer","LAC","WR",62,5,"ACTIVE"
