,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,28,RB,5,5,104,408,18,196,1.9,212,2,12,8.7
2,Nick Chubb,CLE,27,RB,5,5,98,593,27,303,3.1,290,3,10,9.8
3,Saquon Barkley,NYG,25,RB,5,5,97,533,19,277,2.9,256,2.6,3,32.3
4,Joe Mixon,CIN,26,RB,5,5,96,302,14,216,2.3,86,0.9,4,24
5,Josh Jacobs,LVR,24,RB,5,5,91,490,26,163,1.8,327,3.6,12,7.6
6,Miles Sanders,PHI,25,RB,5,5,87,414,21,244,2.8,170,2,5,17.4
7,Dameon Pierce,HOU,22,RB,5,5,86,412,21,142,1.7,270,3.1,16,5.4
8,Dalvin Cook,MIN,27,RB,5,5,81,373,21,240,3,133,1.6,8,10.1
9,Ezekiel Elliott,DAL,27,RB,5,5,81,305,14,164,2,141,1.7,2,40.5
10,Jonathan Taylor,IND,23,RB,4,4,81,328,18,214,2.6,114,1.4,11,7.4
11,Jamaal Williams,DET,27,RB,5,2,77,332,19,195,2.5,137,1.8,3,25.7
12,Leonard Fournette,TAM,27,RB,5,5,74,280,11,155,2.1,125,1.7,3,24.7
13,Jeff Wilson,SFO,27,RB,5,3,74,375,16,282,3.8,93,1.3,2,37
14,Christian McCaffrey,CAR,26,RB,5,5,72,324,18,169,2.3,155,2.2,1,72
15,Najee Harris,PIT,24,RB,5,5,69,222,10,140,2,82,1.2,2,34.5
16,James Robinson,JAX,24,RB,5,5,69,286,15,182,2.6,104,1.5,4,17.3
17,Jalen Hurts,PHI,24,QB,5,5,68,266,22,225,3.3,41,0.6,4,17
18,Rhamondre Stevenson,NWE,24,RB,5,0,68,372,21,189,2.8,183,2.7,8,8.5
19,AJ Dillon,GNB,24,RB,5,1,63,245,15,150,2.4,95,1.5,3,21
20,Austin Ekeler,LAC,27,RB,5,5,61,313,12,204,3.3,109,1.8,2,30.5
21,Aaron Jones,GNB,28,RB,5,5,61,390,21,204,3.3,186,3,4,15.3
22,Cordarrelle Patterson,ATL,31,RB,4,3,58,340,19,206,3.6,134,2.3,0,
23,Damien Harris,NWE,25,RB,5,5,57,257,13,166,2.9,91,1.6,4,14.3
24,Kareem Hunt,CLE,27,RB,5,0,57,247,16,133,2.3,114,2,2,28.5
25,Raheem Mostert,MIA,30,RB,5,3,57,260,12,144,2.5,116,2,5,11.4
26,Rashaad Penny,SEA,26,RB,5,5,57,346,15,169,3,177,3.1,2,28.5
27,Antonio Gibson,WAS,24,RB,5,5,56,179,12,97,1.7,82,1.5,3,18.7
28,Breece Hall,NYJ,21,RB,5,0,56,275,13,177,3.2,98,1.8,3,18.7
29,Khalil Herbert,CHI,24,RB,5,1,56,328,14,199,3.6,129,2.3,5,11.2
30,James Conner,ARI,27,RB,5,5,54,200,16,126,2.3,74,1.4,1,54
31,Melvin Gordon,DEN,29,RB,5,1,52,193,9,78,1.5,115,2.2,5,10.4
32,Cam Akers,LAR,23,RB,5,2,51,151,8,65,1.3,86,1.7,1,51
33,Clyde Edwards-Helaire,KAN,23,RB,5,5,50,223,10,77,1.5,146,2.9,2,25
34,Lamar Jackson,BAL,25,QB,5,5,49,374,19,306,6.2,68,1.4,6,8.2
35,Michael Carter,NYJ,23,RB,5,5,47,158,6,113,2.4,45,1,5,9.4
36,Alvin Kamara,NOR,27,RB,3,3,47,203,10,129,2.7,74,1.6,2,23.5
37,David Montgomery,CHI,25,RB,4,4,47,179,7,66,1.4,113,2.4,9,5.2
38,Javonte Williams,DEN,22,RB,4,4,47,204,9,94,2,110,2.3,6,7.8
39,Travis Etienne,JAX,23,RB,5,0,44,215,9,116,2.6,99,2.3,1,44
40,Tony Pollard,DAL,25,RB,5,1,44,248,11,111,2.5,137,3.1,4,11
41,Justin Fields,CHI,23,QB,5,5,42,194,14,135,3.2,59,1.4,3,14
42,Daniel Jones,NYG,25,QB,5,5,41,230,21,186,4.5,44,1.1,1,41
43,Devin Singletary,BUF,25,RB,5,5,40,171,7,104,2.6,67,1.7,1,40
44,Tyler Allgeier,ATL,22,RB,4,1,39,184,7,102,2.6,82,2.1,0,
45,Mark Ingram,NOR,33,RB,5,2,38,144,7,87,2.3,57,1.5,3,12.7
46,Marcus Mariota,ATL,29,QB,5,5,37,156,10,134,3.6,22,0.6,0,
47,Josh Allen,BUF,26,QB,5,5,35,225,17,137,3.9,88,2.5,0,
48,Darrell Henderson,LAR,25,RB,5,3,34,138,7,91,2.7,47,1.4,0,
49,Eno Benjamin,ARI,23,RB,5,0,30,136,7,96,3.2,40,1.3,2,15
50,Chase Edmonds,MIA,26,RB,5,2,29,86,4,53,1.8,33,1.1,0,
51,Alexander Mattison,MIN,24,RB,5,0,29,94,6,50,1.7,44,1.5,5,5.8
52,Isiah Pacheco,KAN,22,RB,5,0,29,140,4,58,2,82,2.8,1,29
53,J.K. Dobbins,BAL,24,RB,3,3,28,108,10,52,1.9,56,2,3,9.3
54,Kyler Murray,ARI,25,QB,5,5,28,133,10,126,4.5,7,0.3,0,
55,D'Andre Swift,DET,23,RB,3,3,27,231,6,148,5.5,83,3.1,2,13.5
56,Jerick McKinnon,KAN,30,RB,5,0,25,106,4,50,2,56,2.2,3,8.3
57,Joe Burrow,CIN,26,QB,5,5,23,85,7,81,3.5,4,0.2,0,
58,Joshua Kelley,LAC,25,RB,5,0,23,104,6,49,2.1,55,2.4,3,7.7
59,Sony Michel,LAC,27,RB,5,0,23,58,3,21,0.9,37,1.6,1,23
60,Kenneth Walker III,SEA,22,RB,4,0,23,146,5,107,4.7,39,1.7,1,23
61,Jacoby Brissett,CLE,30,QB,5,5,21,112,13,76,3.6,36,1.7,1,21
62,Kenyan Drake,BAL,28,RB,3,2,21,65,2,53,2.5,12,0.6,0,
63,Taysom Hill,NOR,32,TE,4,1,21,228,13,171,8.1,57,2.7,0,
64,Deebo Samuel,SFO,26,WR,5,4,21,125,4,49,2.3,76,3.6,2,10.5
65,Rex Burkhead,HOU,32,RB,5,0,20,64,2,43,2.2,21,1.1,2,10
66,Geno Smith,SEA,32,QB,5,5,20,77,7,70,3.5,7,0.4,0,
67,Justice Hill,BAL,25,RB,4,0,19,125,6,83,4.4,42,2.2,3,6.3
68,Caleb Huntley,ATL,24,RB,3,0,19,93,7,55,2.9,38,2,0,
69,Jaylen Warren,PIT,24,RB,5,0,19,94,6,68,3.6,26,1.4,0,
70,Kenneth Gainwell,PHI,23,RB,5,0,18,72,5,39,2.2,33,1.8,1,18
71,James Cook,BUF,23,RB,5,0,17,89,5,30,1.8,59,3.5,0,
72,Patrick Mahomes,KAN,27,QB,5,5,17,92,7,91,5.4,1,0.1,0,
73,J.D. McKissic,WAS,29,RB,5,0,17,65,4,46,2.7,19,1.1,1,17
74,Zack Moss,BUF,25,RB,5,0,17,91,3,69,4.1,22,1.3,0,
75,Craig Reynolds,DET,26,RB,5,0,17,83,4,54,3.2,29,1.7,0,
76,Carson Wentz,WAS,30,QB,5,5,17,77,3,60,3.5,17,1,1,17
77,Russell Wilson,DEN,34,QB,5,5,17,73,4,66,3.9,7,0.4,0,
78,Justin Herbert,LAC,24,QB,5,5,16,17,3,17,1.1,0,0,0,
79,Trey Lance,SFO,22,QB,2,2,16,67,7,50,3.1,17,1.1,2,8
