Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Tyreek Hill,MIA,28,WR,8,8,92,69,961,2,41,663,9.6,298,4.3,11.5,4,17.3,4,4.3,2,106.3
2,Cooper Kupp,LAR,29,WR,7,7,84,64,686,5,40,342,5.3,344,5.4,7.3,3,21.3,2,2.4,4,99.6
3,Stefon Diggs,BUF,29,WR,7,7,73,55,764,7,34,514,9.3,250,4.5,10.6,0,,2,2.7,0,140.4
4,Austin Ekeler,LAC,27,RB,7,7,61,53,357,3,20,-78,-1.5,435,8.2,-0.8,6,8.8,3,4.9,0,107.4
5,Justin Jefferson,MIN,23,WR,7,7,71,52,752,2,31,409,7.9,343,6.6,8.1,3,17.3,1,1.4,2,104.9
6,Michael Pittman Jr.,IND,25,WR,7,7,70,51,528,1,29,306,6,222,4.4,6.2,3,17,3,4.3,2,87.1
7,Ja'Marr Chase,CIN,22,WR,7,7,74,47,605,6,34,332,7.1,273,5.8,9,7,6.7,6,8.1,1,110.5
8,Travis Kelce,KAN,33,TE,7,7,60,47,553,7,36,331,7,222,4.7,7.6,10,4.7,2,3.3,0,144
9,Tyler Lockett,SEA,30,WR,8,8,61,46,531,3,26,440,9.6,91,2,11.7,1,46,1,1.6,3,97.1
10,Marquise Brown,ARI,25,WR,6,6,64,43,485,3,24,326,7.6,159,3.7,10.5,1,43,2,3.1,4,79.2
11,Diontae Johnson,PIT,26,WR,8,8,76,43,372,0,20,289,6.7,83,1.9,10.1,1,43,3,3.9,5,42.2
12,Christian McCaffrey,2TM,26,,8,7,54,43,356,2,16,-22,-0.5,378,8.8,0,5,8.6,2,3.7,1,98.8
13,Mark Andrews,BAL,27,TE,8,8,64,42,488,5,29,343,8.2,145,3.5,10.6,1,42,5,7.8,1,108.1
14,CeeDee Lamb,DAL,23,WR,8,8,73,42,556,3,29,358,8.5,198,4.7,10.4,1,42,4,5.5,2,84
15,Curtis Samuel,WAS,26,WR,8,6,62,42,390,2,23,202,4.8,188,4.5,5.4,5,8.4,4,6.5,1,88.8
16,Jaylen Waddle,MIA,24,WR,8,8,63,42,727,5,34,445,10.6,282,6.7,10,2,21,4,6.3,2,118.9
17,Zach Ertz,ARI,32,TE,8,8,60,41,354,3,21,231,5.6,123,3,7.4,2,20.5,3,5,1,93.3
18,A.J. Brown,PHI,25,WR,7,6,64,39,659,5,27,411,10.5,248,6.4,10.8,3,13,5,7.8,0,121.8
19,Amari Cooper,CLE,28,WR,8,8,66,39,553,5,29,436,11.2,117,3,11.9,0,,6,9.1,2,98.9
20,Mike Evans,TAM,29,WR,7,7,59,39,577,3,28,463,11.9,114,2.9,14,1,39,2,3.4,1,107.8
