,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Christian McCaffrey,SFO,27,RB,2,2,42,268,2,11,78,1.9,190,4.5,1,42
2,Derrick Henry,TEN,29,RB,2,2,40,143,1,9,80,2,63,1.6,0,
3,Tony Pollard,DAL,26,RB,2,2,39,142,2,8,90,2.3,52,1.3,1,39
4,James Conner,ARI,28,RB,2,2,37,168,1,10,135,3.6,33,0.9,5,7.4
5,David Montgomery,DET,26,RB,2,2,37,141,2,7,91,2.5,50,1.4,6,6.2
6,Brian Robinson Jr.,WAS,24,RB,2,2,37,146,2,13,74,2,72,1.9,4,9.3
7,Rachaad White,TAM,24,RB,2,2,34,112,1,7,51,1.5,61,1.8,4,8.5
8,Miles Sanders,CAR,26,RB,2,2,32,115,0,4,70,2.2,45,1.4,1,32
9,Tyler Allgeier,ATL,23,RB,2,1,31,123,2,8,33,1.1,90,2.9,6,5.2
10,Jerome Ford,CLE,24,RB,2,0,31,142,0,4,82,2.6,60,1.9,2,15.5
11,Travis Etienne,JAX,24,RB,2,2,30,117,1,4,63,2.1,54,1.8,7,4.3
12,Saquon Barkley,NYG,26,RB,2,2,29,114,1,7,48,1.7,66,2.3,3,9.7
13,James Cook,BUF,24,RB,2,2,29,169,0,8,63,2.2,106,3.7,1,29
14,Joshua Kelley,LAC,26,RB,2,1,29,130,1,11,88,3,42,1.4,3,9.7
15,Bijan Robinson,ATL,21,RB,2,2,29,180,0,11,109,3.8,71,2.4,2,14.5
16,D'Andre Swift,PHI,24,RB,2,1,29,178,1,10,120,4.1,58,2,5,5.8
17,Kenneth Walker III,SEA,23,RB,2,2,29,107,2,8,80,2.8,27,0.9,4,7.3
18,Kyren Williams,LAR,23,RB,2,1,29,104,3,9,61,2.1,43,1.5,0,
19,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,100,3.6,70,2.5,2,14
20,AJ Dillon,GNB,25,RB,2,1,28,74,0,3,26,0.9,48,1.7,0,
21,Josh Jacobs,LVR,25,RB,2,2,28,46,0,3,8,0.3,38,1.4,1,28
22,Raheem Mostert,MIA,31,RB,2,2,28,158,3,8,143,5.1,15,0.5,3,9.3
23,Rhamondre Stevenson,NWE,25,RB,2,2,27,75,1,6,65,2.4,10,0.4,3,9
24,Jamaal Williams,NOR,28,RB,2,2,27,74,0,3,44,1.6,30,1.1,1,27
25,Joe Mixon,CIN,27,RB,2,2,26,115,0,6,49,1.9,66,2.5,1,26
26,Dameon Pierce,HOU,23,RB,2,2,26,69,0,1,36,1.4,33,1.3,3,8.7
27,Javonte Williams,DEN,23,RB,2,2,25,96,0,4,22,0.9,74,3,4,6.3
28,Cam Akers,LAR,24,RB,1,1,22,29,1,4,15,0.7,14,0.6,4,5.5
29,Daniel Jones,NYG,26,QB,2,2,22,102,1,8,94,4.3,8,0.4,0,
30,Jalen Hurts,PHI,25,QB,2,2,21,72,2,7,69,3.3,3,0.1,1,21
31,Isiah Pacheco,KAN,24,RB,2,1,20,93,0,6,66,3.3,27,1.4,1,20
32,Justice Hill,BAL,26,RB,2,1,19,50,2,4,24,1.3,26,1.4,2,9.5
33,Alexander Mattison,MIN,25,RB,2,2,19,62,0,1,41,2.2,21,1.1,0,
34,Gus Edwards,BAL,28,RB,2,0,18,94,1,7,74,4.1,20,1.1,0,
35,Lamar Jackson,BAL,26,QB,2,2,18,92,0,6,62,3.4,30,1.7,1,18
36,Zack Moss,IND,26,RB,1,1,18,88,1,4,54,3,34,1.9,2,9
37,Dalvin Cook,NYJ,28,RB,2,0,17,40,0,2,18,1.1,22,1.3,3,5.7
38,Austin Ekeler,LAC,28,RB,1,1,16,117,1,4,61,3.8,56,3.5,2,8
39,Najee Harris,PIT,25,RB,2,2,16,74,0,5,26,1.6,48,3,2,8
40,Khalil Herbert,CHI,25,RB,2,2,16,62,0,4,28,1.8,34,2.1,5,3.2
41,Kenneth Gainwell,PHI,24,RB,1,1,14,54,0,4,43,3.1,11,0.8,2,7
42,Jahmyr Gibbs,DET,21,RB,2,0,14,59,0,3,31,2.2,28,2,6,2.3
43,Breece Hall,NYJ,22,RB,2,2,14,136,0,2,38,2.7,98,7,1,14
44,Baker Mayfield,TAM,28,QB,2,2,14,28,0,2,12,0.9,16,1.1,1,14
45,Rico Dowdle,DAL,25,RB,2,0,13,50,0,2,29,2.2,21,1.6,0,
46,Justin Fields,CHI,24,QB,2,2,13,62,1,3,40,3.1,22,1.7,5,2.6
47,Deon Jackson,IND,24,RB,2,1,13,14,0,1,2,0.2,12,0.9,0,
48,Tony Jones,NOR,26,RB,2,0,13,39,2,4,15,1.2,24,1.8,0,
49,Patrick Mahomes,KAN,28,QB,2,2,13,75,0,6,75,5.8,0,0,0,
50,Anthony Richardson,IND,21,QB,2,2,13,75,3,5,59,4.5,16,1.2,0,
51,Sean Tucker,TAM,22,RB,2,0,13,22,0,1,11,0.8,11,0.8,1,13
52,Ezekiel Elliott,NWE,28,RB,2,0,12,42,0,4,39,3.3,3,0.3,0,
53,Taysom Hill,NOR,33,QB,2,1,12,79,0,5,40,3.3,39,3.3,2,6
54,Trevor Lawrence,JAX,24,QB,2,2,12,47,0,3,39,3.3,8,0.7,1,12
55,Chuba Hubbard,CAR,24,RB,2,0,11,76,0,7,25,2.3,51,4.6,4,2.8
56,Desmond Ridder,ATL,24,QB,2,2,11,38,1,3,33,3,5,0.5,0,
57,Devin Singletary,HOU,26,RB,2,0,11,29,0,0,20,1.8,9,0.8,0,
58,Tyjae Spears,TEN,22,RB,2,0,11,76,0,5,43,3.9,33,3,2,5.5
59,Deshaun Watson,CLE,28,QB,2,2,11,67,1,5,46,4.2,21,1.9,1,11
60,Jimmy Garoppolo,LVR,32,QB,2,2,10,12,0,2,7,0.7,5,0.5,1,10
61,Josh Allen,BUF,27,QB,2,2,9,43,0,5,27,3,16,1.8,0,
62,Roschon Johnson,CHI,22,RB,2,0,9,52,1,4,39,4.3,13,1.4,1,9
63,Aaron Jones,GNB,29,RB,1,1,9,41,1,3,25,2.8,16,1.8,2,4.5
64,Samaje Perine,DEN,28,RB,2,0,9,45,0,3,7,0.8,38,4.2,0,
65,Tua Tagovailoa,MIA,25,QB,2,2,9,8,0,1,8,0.9,0,0,0,
66,Deuce Vaughn,DAL,22,RB,2,0,9,24,0,1,20,2.2,4,0.4,0,
67,Jaylen Warren,PIT,25,RB,2,0,9,26,0,1,12,1.3,14,1.6,1,9
68,Zach Wilson,NYJ,24,QB,2,1,9,42,0,3,34,3.8,8,0.9,0,
69,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,18,2.3,4,0.5,0,
70,Damien Harris,BUF,26,RB,2,0,8,36,1,3,23,2.9,13,1.6,0,
71,Latavius Murray,BUF,33,RB,2,0,8,30,1,2,18,2.3,12,1.5,0,
72,Tank Bigsby,JAX,22,RB,2,0,7,13,1,3,5,0.7,8,1.1,2,3.5
73,Zach Charbonnet,SEA,22,RB,2,0,7,27,0,2,14,2,13,1.9,2,3.5
74,Clyde Edwards-Helaire,KAN,24,RB,2,1,7,22,0,1,22,3.1,0,0,2,3.5
75,Keaontay Ingram,ARI,24,RB,2,0,7,2,0,,-1,-0.1,3,0.4,3,2.3
76,Mac Jones,NWE,25,QB,2,2,7,40,0,5,40,5.7,0,0,0,
77,Dak Prescott,DAL,30,QB,2,2,7,20,0,2,5,0.7,15,2.1,0,
78,Deebo Samuel,SFO,27,WR,2,2,7,46,1,2,29,4.1,17,2.4,0,
79,Matthew Stafford,LAR,35,QB,2,2,7,28,0,2,28,4,0,0,0,
80,C.J. Stroud,HOU,22,QB,2,2,7,21,0,1,21,3,0,0,0,
